Sample_name,Locus,file1,file2
Ac16S.PadUp11.4.0321,Ac16S,Locus_Ac16S_34_S34_L001_R1_001.fastq,Locus_Ac16S_34_S34_L001_R2_001.fastq
Ac16S.PadUp11.5.0321,Ac16S,Locus_Ac16S_35_S35_L001_R1_001.fastq,Locus_Ac16S_35_S35_L001_R2_001.fastq
Ac16S.PadUp11.6.0321,Ac16S,Locus_Ac16S_36_S36_L001_R1_001.fastq,Locus_Ac16S_36_S36_L001_R2_001.fastq
Ac16S.PadUp5.4.0321,Ac16S,Locus_Ac16S_37_S37_L001_R1_001.fastq,Locus_Ac16S_37_S37_L001_R2_001.fastq
Ac16S.PadUp5.5.0321,Ac16S,Locus_Ac16S_38_S38_L001_R1_001.fastq,Locus_Ac16S_38_S38_L001_R2_001.fastq
Ac16S.PadUp5.6.0321,Ac16S,Locus_Ac16S_39_S39_L001_R1_001.fastq,Locus_Ac16S_39_S39_L001_R2_001.fastq
Ac16S.PadUp11.1.0421,Ac16S,Locus_Ac16S_40_S40_L001_R1_001.fastq,Locus_Ac16S_40_S40_L001_R2_001.fastq
Ac16S.PadUp11.2.0421,Ac16S,Locus_Ac16S_41_S41_L001_R1_001.fastq,Locus_Ac16S_41_S41_L001_R2_001.fastq
Ac16S.PadUp11.3.0421,Ac16S,Locus_Ac16S_42_S42_L001_R1_001.fastq,Locus_Ac16S_42_S42_L001_R2_001.fastq
Ac16S.PadUp5.1.0421,Ac16S,Locus_Ac16S_43_S43_L001_R1_001.fastq,Locus_Ac16S_43_S43_L001_R2_001.fastq
Ac16S.PadUp5.3.0421,Ac16S,Locus_Ac16S_45_S45_L001_R1_001.fastq,Locus_Ac16S_45_S45_L001_R2_001.fastq
Ac16S.ChkDn.1.0321,Ac16S,Locus_Ac16S_46_S46_L001_R1_001.fastq,Locus_Ac16S_46_S46_L001_R2_001.fastq
Ac16S.ChkDn.2.0321,Ac16S,Locus_Ac16S_47_S47_L001_R1_001.fastq,Locus_Ac16S_47_S47_L001_R2_001.fastq
Ac16S.ChkDn.3.0321,Ac16S,Locus_Ac16S_48_S48_L001_R1_001.fastq,Locus_Ac16S_48_S48_L001_R2_001.fastq
Ac16S.ChkUp.1.0321,Ac16S,Locus_Ac16S_49_S49_L001_R1_001.fastq,Locus_Ac16S_49_S49_L001_R2_001.fastq
Ac16S.ChkUp.2.0321,Ac16S,Locus_Ac16S_50_S50_L001_R1_001.fastq,Locus_Ac16S_50_S50_L001_R2_001.fastq
Ac16S.ChkUp.3.0321,Ac16S,Locus_Ac16S_51_S51_L001_R1_001.fastq,Locus_Ac16S_51_S51_L001_R2_001.fastq
