Sample_name,Locus,Hash,nReads
Ac16S.PadUp11.4.0321,Ac16S,9794a0d15bfdf9d002e1564c85eb0fbf612049ed,16862
Ac16S.PadUp11.4.0321,Ac16S,3cdb756a4829bf3d077ec0af970d9f46af6963b8,5714
Ac16S.PadUp11.4.0321,Ac16S,c3dbdf346cff3c1adad46ee0962d54e90cfd75fa,111130
Ac16S.PadUp11.4.0321,Ac16S,daef6d2f7188a7be298938d3ff50ef6f7d31df43,763
Ac16S.PadUp11.4.0321,Ac16S,538afe58ff9215120fb2a08e109127c6f2562e4e,8567
Ac16S.PadUp11.4.0321,Ac16S,bf42a5bb1ec15e8fe11e20b2b71bddfe749af866,7804
Ac16S.PadUp11.4.0321,Ac16S,4450e479e7a3b55ed4ff30101b2aa81cf02916b4,4981
Ac16S.PadUp11.4.0321,Ac16S,e78cacb282d1da13dab5b7615ffbb32b29e07c4f,227
Ac16S.PadUp11.4.0321,Ac16S,ecf469d00fac1052d28f063710713c13bf303fdd,1400
Ac16S.PadUp11.4.0321,Ac16S,ff5da03589f03bef0eb350d0f95244d5e1c57c54,2474
Ac16S.PadUp11.4.0321,Ac16S,acf0f830a913c2ea4a2059f8bdf041d21ea2bfbd,1245
Ac16S.PadUp11.4.0321,Ac16S,f4b1baaf04a01b98da4a6deb5f74059329c5d984,1094
Ac16S.PadUp11.4.0321,Ac16S,58e45243e0f2107d52459805775bb1372b625c7e,482
Ac16S.PadUp11.4.0321,Ac16S,1fa02e0f86da8b5b984394c049b4cb08140c57da,459
Ac16S.PadUp11.4.0321,Ac16S,14e534dd50c7463d41bd270a1216a20dc0453dfc,308
Ac16S.PadUp11.4.0321,Ac16S,d30ffa492e5abecf536b1b5ea47cf9d2493fc499,304
Ac16S.PadUp11.4.0321,Ac16S,e4ebdf5938035ea91b12b5d144618a5d76ba569f,184
Ac16S.PadUp11.4.0321,Ac16S,891f0cb27e89cd179ace51f0c7e87df7faf20900,138
Ac16S.PadUp11.4.0321,Ac16S,dc0d70cbb23b23fa88b285cd5486f28699d9b4a2,107
Ac16S.PadUp11.4.0321,Ac16S,b415e58c7e62a9cd1375a85253a1d6b48aa24abf,104
Ac16S.PadUp11.4.0321,Ac16S,4064b493e09ad8887749d3657806cba4181e333a,74
Ac16S.PadUp11.4.0321,Ac16S,4706311785f737c836c81dd5c90e1e6c7a420b9f,73
Ac16S.PadUp11.4.0321,Ac16S,c4bcfbc8d7ef0c3d2f80d620abc0b265d2982b89,47
Ac16S.PadUp11.5.0321,Ac16S,9794a0d15bfdf9d002e1564c85eb0fbf612049ed,19254
Ac16S.PadUp11.5.0321,Ac16S,3cdb756a4829bf3d077ec0af970d9f46af6963b8,35099
Ac16S.PadUp11.5.0321,Ac16S,c3dbdf346cff3c1adad46ee0962d54e90cfd75fa,3765
Ac16S.PadUp11.5.0321,Ac16S,daef6d2f7188a7be298938d3ff50ef6f7d31df43,41171
Ac16S.PadUp11.5.0321,Ac16S,538afe58ff9215120fb2a08e109127c6f2562e4e,5901
Ac16S.PadUp11.5.0321,Ac16S,bf42a5bb1ec15e8fe11e20b2b71bddfe749af866,1652
Ac16S.PadUp11.5.0321,Ac16S,4450e479e7a3b55ed4ff30101b2aa81cf02916b4,4126
Ac16S.PadUp11.5.0321,Ac16S,e78cacb282d1da13dab5b7615ffbb32b29e07c4f,768
Ac16S.PadUp11.5.0321,Ac16S,5e1cfbfbc03a5d1c27ee51babd89dbf8b8af613c,9797
Ac16S.PadUp11.5.0321,Ac16S,ecf469d00fac1052d28f063710713c13bf303fdd,503
Ac16S.PadUp11.5.0321,Ac16S,e1eae85fda4f3232050e0bde65f0474923561d6c,1023
Ac16S.PadUp11.5.0321,Ac16S,4fd0ac0a73954770ac57a3573103b795fc76880a,651
