"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","53b14d401857037760fece13b4b00a164f05c639",288800,"Micropsectra","genus",NA,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Micropsectra",""
"2","2e3a429360c13a6a90fca4f3f9b1e3f39dc360bb",1213226,"Kellicottia","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Kellicottia",""
"3","c9081bf7dcf0897fa901d5a6fe195b851d6cee13",204737,"Keratella","genus",NA,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"4","efff49708eb28ab04265747b0200138f30d4eaed",204737,"Keratella","genus",0.9999,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"5","934600e62d71392e2a12b483262bedef84e9c52d",4783,"Phytophthora","genus",NA,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"6","466f07135890ee7f4d73bc32d4047bb36420bd6f",204737,"Keratella","genus",NA,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"7","3eb1c2c70ac692eaa745ebbeabc56c863deb1bbb",204737,"Keratella","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"8","229d786e63b7c6616edf5b384151d47a53a33510",204737,"Keratella","genus",0.9999,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"9","7cb3e6139c4b92ec05b3d017c09ae92ed4fbc351",97226,"Gomphonema","genus",1,"","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema",""
"10","8f9c84ebf284e4e62199c5a49717ab9e29c7b295",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"11","779fbd9dcf89a804c1431bf2668f0e64fde58bde",231623,"Rotaria","genus",1,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"12","1723dccbf081855b7825a66285ddbefb9d96ebae",204737,"Keratella","genus",0.9994,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"13","ff63673bd14ed476a42f6dd10444ac83faeada95",204744,"Synchaeta","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Synchaetidae","Synchaeta",""
"14","62bfc9550015b7db89cd46b3579767e2d3bcc654",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"15","de8c842ac4facebd35d9dbaaf322ec6494260961",231623,"Rotaria","genus",1,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"16","29256b58338919a2db64919c65abeb87134f0915",313557,"Cochliopodium","genus",0.9989,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"17","e8a0db3e4dfe11ccb0ffebafcaa44207ef73e685",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"18","fe3999c730869d86a8d6a623ec318bd7195141ff",204737,"Keratella","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"19","9db194349d9b1ac91a5f41ffe30f7c252f48d669",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"20","7742ff80d011f60aad2398e3cc800727abf023d8",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"21","407ba4fd54f992512e45a919abe80679d5fc5dfc",204737,"Keratella","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"22","74fd1afbdb900f14b4b0b469528a6de1f874f809",104781,"Adineta","genus",0.9967,"Metazoa","Rotifera","Bdelloidea","Adinetida","Adinetidae","Adineta",""
"23","e7e63d9407c4428ba25646a6913b6ccf8dc034cc",204737,"Keratella","genus",0.9992,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"24","ba1f914ad8c33c3c92cc0e4e07229662b1f0350c",231623,"Rotaria","genus",0.9987,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"25","ac12d64fd2475f254495aef0f2a89b46b08c68a7",104781,"Adineta","genus",0.9967,"Metazoa","Rotifera","Bdelloidea","Adinetida","Adinetidae","Adineta",""
"26","0fad533e137c3010755031efabb5f4c0cb9d22d2",204744,"Synchaeta","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Synchaetidae","Synchaeta",""
"27","177ea11f8f66a1ea143463837739f4cf84c19383",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
