"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"2","5dbce0075732b37e517721c275ba3c2e14e50196",9611,"Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"3","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",8098,"Cottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus",""
"4","e65f511d819ef32a2941c6d56d076a8616b71c25",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"5","3fa5cad0e8bd81303eed0492a7c0dd91d85747be",9653,"Procyon","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"6","6634733d917ef2fc77dd7e1780deb0c7f70bbb54",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"7","1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16",9611,"Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"8","916f1fb4062ea2f4254f7fd3b7720aa778b7e367",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"9","0af50c9e935876232e242db91bb835235691bf3a",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"10","dac2b19876eb3a183e6d6768e2b44fb67055d79f",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"11","8001433422f2dfb9b7333084b5ae4a31130f34f2",9653,"Procyon","genus",1,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"12","4be671e1ce0da6b1505cf3f3cbe98a49c6d2d7ff",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
