"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","a51a5e3a1c5b68bca299e9bafc87773d0f8215ea",51338,"Castor canadensis","species",NA,"Metazoa","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis"
"2","5e977d6c7c636bc3abb8e3022cef7385e0f7e916",56072,"Ardea herodias","species",NA,"Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias"
"3","8cd64bc2aa9cfc3ffec13d8baf21b12d22f5de11",121236,"Aquarana","subgenus",NA,"Metazoa","Chordata","Amphibia","Anura","Ranidae","Rana",""
"4","f96019923ddd91753aec4d2c1993306487b62bda",33213,"Bilateria","no rank",0.9787,"Metazoa","","","","","",""
"5","bc65d7a81a876f994d28dc3454c44cc56e8ee555",186625,"Clupeocephala","no rank",0.9993,"Metazoa","Chordata","Actinopteri","","","",""
"6","e124fe6c58b27301d9baaa93e1473296a46f206e",63520,"Piranga ludoviciana","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Thraupidae","Piranga","Piranga ludoviciana"
"7","de55f72562f05471f7446c7fcd685c6c6ffe1722",27706,"Micropterus salmoides","species",NA,"Metazoa","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Micropterus","Micropterus salmoides"
"8","2f05f2134ff0d357b5e30e310fff4fb68442ca85",142476,"Poecile rufescens","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile rufescens"
"9","af3ed03d77cf07676d359171265bf88949ebe67c",142475,"Poecile","genus",NA,"Metazoa","Chordata","Aves","Passeriformes","Paridae","Poecile",""
"10","f1d34c14a0d7662896e1c6d7965b5766f906fb17",8032,"Salmo trutta","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"11","30a13b6d4ae7bef6575db6af8fd64d3b29a475b5",8022,"Oncorhynchus mykiss","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"12","1d72747d973f327b401bb5d3bbb9fc5ffce6b560",117870,"Bathyraja","genus",NA,"Metazoa","Chordata","Chondrichthyes","Rajiformes","Arhynchobatidae","Bathyraja",""
