"qseqid","sscinames"
"76918abfaa90d218d683fdbc4f8024dd430d7d91","Ascaphus truei"
"c6d586dc78d8ef5cac238cba2d5714407775bd69","Bos taurus"
"31adf9b0bfe620438b8e730fd474cc27e61c3cc4","Gasterosteus aculeatus"
"ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab","Sus scrofa"
"f3b1b944f738536215cd355d76bc8c2bffd66624","Oncorhynchus mykiss"
"02e4a86c119ca4b65e5b616135fa996aa2eb4372","Oncorhynchus kisutch"
"30742d31b3cc7a387b96133d0998ecee07c83597","Castor canadensis"
"38e693e5c3a9002b3c7fe03ba0f5d3e6440d86ea","Novumbra hubbsi"
"a56843c86d60d4423f69f4836868d31ea7eadf22","Oncorhynchus mykiss"
"e3bb86462242cc75b2d9159e96f588a2ca09a5d3","Rattus rattus"
"67cdd088bb558352e27cb2b5d229f838e8c11572","Paralabrax nebulifer"
"e330f6d1a7768b21c34c1d9d6814f5b48c87b05a","Perca flavescens"
"2eb18eaf3053e4bb306b47b42bd9c34863aef20b","Lithobates catesbeianus"
"1eacd6b8e7ccfd00e53e98c9ff9ecee454f0f29f","Meleagris gallopavo"
"f890c05925400fa5c31d090422bd25ffc1dbb2d2","Felis catus"
"7dae49817fac3bd37bd1ab61e10a98b36513016b","Felis catus"
"b05eac0ae6bebbb0f133eb32789a54e3cb90ddbe","Cymatogaster aggregata"
"00ee5a56c8d1170d97064d14e3c21996fa86eb6d","Castor fiber"
"042b7e251f5f6cb3090bafc8cbb3da9f5bf6e6e1","Castor fiber"
"63ea546506daae19fd3f9d01d355d7ece46bbdb5","Bos taurus"
"3fa5cad0e8bd81303eed0492a7c0dd91d85747be","Procyon lotor"
"140e4521a50917a6ab302aa8196755f98a78f54b","Castor canadensis"
"bfb8f4efcd1696c7eefa51d14607287c00bdbd7c","Castor canadensis"
"8cc095d0fde7c0840e1ee70e8b2816d586d7c037","Bos taurus"
"20c7f9dbdf79b3ad51debc2428d4a2d27daf3069","Mammuthus primigenius"
"5a0c3363fdff5328d9329fe07af54c881ec0fbf2","Neogale vison"
"7ac490417f5aeaf9e327657f193c8fd6a03e2585","Aplodontia rufa"
"c82f7e346d3caf1921c1359eba4f9b9f03310751","Mammuthus primigenius"
"f3d5863f9d49fc73652ae616bd0a22b9ab62d094","Neurotrichus gibbsii"
"035c13e46fd3efb49b91da1fff7387bb3f4117e3","Mammuthus primigenius"
"0be19d364e09c198fcbdca74c0809ea15ef4a0b9","Mammuthus primigenius"
"0277738e469c8f877329dd0627290cda78519e48","Mammuthus primigenius"
"411112679689e9223635379b74caab9a35dcc004","Mammuthus primigenius"
"9585583df5a45648ca14ba780234a353bca3e01f","Mammuthus primigenius"
"b0c4b5a8c0d0e97a0693fd3acba368d4c3b13bf1","Rana pretiosa"
"c15dd4e5907d04e42eb7e07f6d72f0c65e519f26","Mammuthus primigenius"
"8c3ad99ab8ca092bf8f37f3e20ee0113910b59ad","Mammuthus primigenius"
"021c4f133bb6a2b0495d45f1e9362e1fa5ad692c","Mammuthus primigenius"
"5829bcd703f2a9e5ea2e6c6947852877cd19a983","Mammuthus primigenius"
"a4fd3497e5b0035bfd2414722df4e5763df7dfd5","Castor fiber"
"86fd2f0782c101d951f36091d176b1dd68ef8de1","Mammuthus primigenius"
"69a025b9d94f7eded4ba01e8cfddfcb1be6733f0","Mammuthus primigenius"
"506fb2e0def25a2321a006582264115453eaf867","Castor fiber"
"20ace1da6aaf7efc54e5be3c96d713bc71238ac4","Mammuthus primigenius"
"09f093bfcd98bd11c8beb13cdb216b19b8a8883c","Macropus cf. giganteus TL-2021"
"2a0197678300368ee235231d107a595a8efc3b42","Stenobrachius leucopsarus"
"0efb6a1767e3d8621c3718d7ee000d9c2adfcacd","Sus scrofa"
"7c7d158cdaf60b6e834577eaa341989d2f3a1697","Aplodontia rufa"
"d348c23013e4fa8ffe0fe3396d9f3451fe88db6b","Merluccius productus"
"82d2ca5faea5bec0e9ddf893aea2b2399ae27e8f","Oncorhynchus nerka"
"78c6cda8f1613447cf0cc79a3e7f659d9b9d608b","Salmo trutta"
"ca10abaa969662cded6eba24df2960dad3485719","Micropterus salmoides"
"94b310b913e0d26c0720e1775a3f2a7f2dd6af18","Turdus migratorius"
"9a69c3a268c7129726a4be25bfaacf024a80a18a","Oncorhynchus keta"
"fd7d89190e5c165cf36284ea0fca46c98216328c","Oncorhynchus clarkii"
"98f92aa12195301ebbd47287eb23c45cffe10ffa","Oncorhynchus tshawytscha"
"7aa929fd12fc38856e105d3092ae8752af4b44da","Osphranter rufus"
"d15e926efd8720231adb32a8b4e6e40608827676","Ameiurus nebulosus"
"e747eef0a339a503193d10c42b71ef028bca3fc0","Poecile atricapillus"
"50d5a3f2b4d167cfbca17d817316739f8f89fe8d","Oncorhynchus gorbuscha"
"e3f94823c5b562c70b6976a56b257d07f347300a","Regulus calendula"
"03ac9e716fe523c4c84442c146d5a142dbaec2b8","Hippoglossus hippoglossus"
"dc1779e8fa382387a1bdee2fff5959c7611b90b3","Dinornis giganteus"
"6942200cdd388deece3c3b8d8b7c0a68f344bf32","Paralabrax maculatofasciatus"
"15903b34a9ddf3e5fac7751a3fb4553cba9c950a","Sebastes paucispinis"
"71e16d364efebb9b59a08f3dd90757e3b4b13447","Tilapia sparrmanii"
"a637bf43d5e132d153855d8251665d935ea12a0b","Ophiodon elongatus"
"31026d1c0665501b8e53beadf5a3647582359b14","Paralabrax clathratus"
"311dc383535518bf3e6f854961ac2d777cc957f9","Regulus satrapa"
"d5f832529f6b73fadb1b9087af48bf9a8dc101c8","Aix sponsa"
"815465bf4218c40e60200ea518c5d7cbabd61f1c","Engraulis mordax"
"478dd98db3a0a5b681d314fcd6aa476db6e43489","Thaleichthys pacificus"
"7a3cd79f5f5aa22838cecef14cdd58de3a051b02","Scorpaenichthys marmoratus"
"56b85a262e73a6e60ef0c6d33c4d23a70da33cc0","Sebastes wakiyai"
"d375db6821a4402acdeffb3d216d4abdc355cd48","Melospiza melodia"
"215a1f59dbebd89ecaf8223653610b041c1e6baa","Piranga ludoviciana"
"c458bfbd8c0ac4b00203e7ac33d77c8141488906","Tachycineta thalassina"
"06a946d5a422494c1c67a9c47b31dc42cb821da2","Junco hyemalis"
"d28ed2ba2d710775fd79b25622a042b2c75aafa4","Squalus acanthias"
"8519a7f742cabfdb887dc2013feba40c4584b8db","Didelphis virginiana"
"bbb3bcc890abbefe2371f7ee55542ef8cb9debc9","Osphranter rufus"
"5dbee979ecb7289c82f08bbf7ff5d91a3f8aae01","Haemorhous mexicanus"
"885a8f14568847b76f62b3ae3db8afbb23d933a8","Alosa sapidissima"
"5d6a5f2116231e5e92600d866977dda093cd30bc","Scapanus orarius"
"6251eedf9452700d1868523427d52f08d683f85b","Tachycineta bicolor"
"c079dc9631f80d61302584576eb03ce937a562f7","Megaceryle alcyon"
"e1b718d16ed2c3af23b4603ecba5ccece5f486bf","Mammuthus primigenius"
"34b95af64697c2feb0ab121d484733666197ae1f","Branta canadensis"
"827f99ae61c4f9a80e1b415ff8de0c02d35659dd","Pipilo maculatus"
"cd95a9d4b4b049792bb1cf2033b33c0dc30fef5d","Osphranter rufus"
"31f41238b2d21ab702054de79fed82ed77bc94f2","Osphranter rufus"
"c5e68c1be2dc61dbb94b7d82cf13341612d1617a","Osphranter rufus"
"34c72e05fee9147682747865dcf4a874e8e6dc29","Atheresthes evermanni"
"fed2fe40f29cda89c5b4aa3df66dea6db9fbf2a2","Tilapia sparrmanii"
"4469963007906f1a3b3b48fc9a9583f392160985","uncultured cyanobacterium"
"41f7f70b9a0e5588c1da27aaab8b61682e41e656","Puma yagouaroundi"
"79ef5f3022799012e3a7a11acb9264a1100e9a96","Stegastes aureus"
"5e1ea8292dcf869fddd3868559936f35ed0041e1","Platichthys stellatus"
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","Cottus asper"
"2c79a691f61d8877b4c2f3953447d6e033680d33","Salvelinus confluentus"
"ab5f0eddb2786c5ae144a6bafda5a1edac68365e","Cottus marginatus"
"bc392f2ab2d28f1c9aa2a98ebf78c0d707871993","Anaxyrus boreas"
"70e8e188ebdd7ea3d78d9c745f097cb48e934f95","Entosphenus tridentatus"
"631402d8ed10c8b197e1d67c208b29b9ba254a64","Salvelinus malma"
"d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","Turdus abyssinicus"
"139ff38d8eb60547dba8a13573cc4d1939382544","Pyrrhocorax pyrrhocorax"
"2435eb1079be3ac735d5301e934ec881cf409ceb","Sittiparus varius namiyei"
"3a6a9122e22ef8cce1f5cb1d9da6fda8b3a157ef","Etropus microstomus"
"1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2","Etropus microstomus"
"9592a4ab6453a677ba409de61ccd9ceb9627d20a","Etropus microstomus"
"d3a973efbba962488ffbf56a5faaec76ad1925a8","Sardinops sagax"
"762874ae34a100fa6212e778b2265633b7113596","Ploceus ocularis"
"a8ee646c188b0c06c77f16e89f7e4223df1b3ce1","Sebastes wakiyai"
"01b6f154e9e1c96526482c6b443345d5ebd792d1","Sebastes wakiyai"
"c2695d603e8149b61b7a32bc7919e5ee5e76fd12","Sebastes wakiyai"
"418d5ed20b679f800b258f567825c92d012bc96e","Setophaga kirtlandii"
"86904fc1afb4f55eae3ffb07ed5b27b59ce1da30","Pleuronichthys ritteri"
"73edb32200ba1f33d346e66c58616dc202c26308","Icelus spatula"
"7cbe946625f416ad59615f0ddca7884268f33de2","Troglodytes troglodytes mosukei"
"83c42f6788444d029728771c178933a1212c25d8","Puma concolor"
"f89061c8852671127f3503aebcf7095032b639ad","Ploceus ocularis"
"1a49f11fcb4d876f9b04aebbdae6602f8586ecc9","Oncorhynchus nerka"
"609119e3364be9a488f1610825ea1a7ac3f58db4","uncultured cyanobacterium"
"605c4124d237cd25c388d32a579e0f0c79e2c9b0","Sus scrofa"
"4d4b96470d39566a301dcc9a878b9fd0242e9a4a","Virgulinella fragilis"
"56d172ac9efc487235f92ec4bb30e3e0db90c455","Semicossyphus pulcher"
"44788d7e28fa3d930d177785be4b0d41d52862db","Petrogale xanthopus"
