"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","76918abfaa90d218d683fdbc4f8024dd430d7d91",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"2","30742d31b3cc7a387b96133d0998ecee07c83597",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"3","c6d586dc78d8ef5cac238cba2d5714407775bd69",33213,"Bilateria","clade",NA,"Metazoa","","","","","",""
"4","d375db6821a4402acdeffb3d216d4abdc355cd48",44397,"Melospiza melodia","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia"
"5","6f93809b6bc63b61b0d350733addd08a6ab86f2e",8899,"Ardeidae","family",1,"Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","",""
"6","5a0c3363fdff5328d9329fe07af54c881ec0fbf2",452646,"Neovison vison","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison"
"7","215a1f59dbebd89ecaf8223653610b041c1e6baa",63520,"Piranga ludoviciana","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Thraupidae","Piranga","Piranga ludoviciana"
"8","e3bb86462242cc75b2d9159e96f588a2ca09a5d3",10114,"Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"9","8b14c93f1397b9332dad055f0a0fc595f3646681",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"10","82d2ca5faea5bec0e9ddf893aea2b2399ae27e8f",8023,"Oncorhynchus nerka","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka"
"11","762874ae34a100fa6212e778b2265633b7113596",9126,"Passeriformes","order",NA,"Metazoa","Chordata","Aves","Passeriformes","","",""
"12","ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab",9823,"Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"13","e747eef0a339a503193d10c42b71ef028bca3fc0",48891,"Poecile atricapillus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile atricapillus"
"14","1eacd6b8e7ccfd00e53e98c9ff9ecee454f0f29f",9103,"Meleagris gallopavo","species",NA,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo"
"15","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8",39087,"Arvicolinae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"16","ca10abaa969662cded6eba24df2960dad3485719",27706,"Micropterus salmoides","species",NA,"Metazoa","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Micropterus","Micropterus salmoides"
"17","f3b1b944f738536215cd355d76bc8c2bffd66624",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"18","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",8098,"Cottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus",""
"19","139ff38d8eb60547dba8a13573cc4d1939382544",28725,"Corvidae","family",0.9806,"Metazoa","Chordata","Aves","Passeriformes","Corvidae","",""
"20","2435eb1079be3ac735d5301e934ec881cf409ceb",9153,"Paridae","family",1,"Metazoa","Chordata","Aves","Passeriformes","Paridae","",""
"21","7ac490417f5aeaf9e327657f193c8fd6a03e2585",51342,"Aplodontia rufa","species",NA,"Metazoa","Chordata","Mammalia","Rodentia","Aplodontiidae","Aplodontia","Aplodontia rufa"
"22","9a69c3a268c7129726a4be25bfaacf024a80a18a",8018,"Oncorhynchus keta","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta"
"23","d5f832529f6b73fadb1b9087af48bf9a8dc101c8",8833,"Aix sponsa","species",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","Aix","Aix sponsa"
"24","7aa929fd12fc38856e105d3092ae8752af4b44da",9321,"Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"25","06a946d5a422494c1c67a9c47b31dc42cb821da2",40217,"Junco hyemalis","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Junco","Junco hyemalis"
"26","fd7d89190e5c165cf36284ea0fca46c98216328c",30962,"Oncorhynchus clarkii","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"27","0a3f5fde1bbb570e4705a194d016c59a57f82481",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"28","98f92aa12195301ebbd47287eb23c45cffe10ffa",74940,"Oncorhynchus tshawytscha","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha"
"29","02e4a86c119ca4b65e5b616135fa996aa2eb4372",8019,"Oncorhynchus kisutch","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"30","8519a7f742cabfdb887dc2013feba40c4584b8db",9267,"Didelphis virginiana","species",NA,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana"
"31","d15e926efd8720231adb32a8b4e6e40608827676",27778,"Ameiurus nebulosus","species",NA,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"32","c079dc9631f80d61302584576eb03ce937a562f7",488309,"Megaceryle alcyon","species",NA,"Metazoa","Chordata","Aves","Coraciiformes","Cerylidae","Megaceryle","Megaceryle alcyon"
"33","50d5a3f2b4d167cfbca17d817316739f8f89fe8d",8017,"Oncorhynchus gorbuscha","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha"
"34","78c6cda8f1613447cf0cc79a3e7f659d9b9d608b",8032,"Salmo trutta","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"35","f890c05925400fa5c31d090422bd25ffc1dbb2d2",9682,"Felis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Felis",""
"36","31adf9b0bfe620438b8e730fd474cc27e61c3cc4",69293,"Gasterosteus aculeatus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"37","f3d5863f9d49fc73652ae616bd0a22b9ab62d094",182677,"Neurotrichus gibbsii","species",NA,"Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","Neurotrichus","Neurotrichus gibbsii"
"38","38e693e5c3a9002b3c7fe03ba0f5d3e6440d86ea",8007,"Esociformes","order",1,"Metazoa","Chordata","Actinopteri","Esociformes","","",""
"39","34b95af64697c2feb0ab121d484733666197ae1f",8853,"Branta canadensis","species",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta canadensis"
"40","aa5818327c00eebaf0a1d977dfaac7e0c643c622",9126,"Passeriformes","order",1,"Metazoa","Chordata","Aves","Passeriformes","","",""
"41","c458bfbd8c0ac4b00203e7ac33d77c8141488906",173226,"Tachycineta thalassina","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina"
"42","5dbee979ecb7289c82f08bbf7ff5d91a3f8aae01",30427,"Haemorhous mexicanus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus"
"43","3790a41fc458cb2fa0b80e27a79405121163ae49",338152,"Felinae","subfamily",1,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"44","5d6a5f2116231e5e92600d866977dda093cd30bc",182674,"Scapanus orarius","species",NA,"Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","Scapanus","Scapanus orarius"
"45","7818939be318eeca036d8b3906645d17e81c5012",1,"root","no rank",1,"","","","","","",""
"46","7dae49817fac3bd37bd1ab61e10a98b36513016b",9685,"Felis catus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"47","20c7f9dbdf79b3ad51debc2428d4a2d27daf3069",1,"root","no rank",1,"","","","","","",""
"48","827f99ae61c4f9a80e1b415ff8de0c02d35659dd",95650,"Pipilo maculatus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus"
"49","6a201abd1d3ac2a687b67be26aa88d80872ed628",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"50","0af50c9e935876232e242db91bb835235691bf3a",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"51","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c",9126,"Passeriformes","order",0.9914,"Metazoa","Chordata","Aves","Passeriformes","","",""
"52","1c6d757a385993942374fd4c94f562e4dda52ae5",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"53","dc1779e8fa382387a1bdee2fff5959c7611b90b3",8817,"Dinornis","genus",NA,"Metazoa","Chordata","Aves","Dinornithiformes","Dinornithidae","Dinornis",""
"54","3fa5cad0e8bd81303eed0492a7c0dd91d85747be",9653,"Procyon","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"55","631402d8ed10c8b197e1d67c208b29b9ba254a64",8033,"Salvelinus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus",""
"56","e3f94823c5b562c70b6976a56b257d07f347300a",73321,"Regulus calendula","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Sylviidae","Regulus","Regulus calendula"
"57","71e16d364efebb9b59a08f3dd90757e3b4b13447",8139,"Oreochromis","genus",NA,"Metazoa","Chordata","Actinopteri","Cichliformes","Cichlidae","Oreochromis",""
"58","418d5ed20b679f800b258f567825c92d012bc96e",175121,"Passeroidea","superfamily",1,"Metazoa","Chordata","Aves","Passeriformes","","",""
"59","311dc383535518bf3e6f854961ac2d777cc957f9",13245,"Regulus satrapa","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Sylviidae","Regulus","Regulus satrapa"
"60","94b310b913e0d26c0720e1775a3f2a7f2dd6af18",9188,"Turdus migratorius","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius"
