"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"1","c1751ad8462e6276f93cdd8af3f4dbdb41729bef","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"2","1f0a658b83216e46eedacb36fd30c6bd355122ac","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"3","2a64138f4a786a94ea69b42b1e16fbd2fc8828fd","species",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium psychrophilum","Flavobacterium psychrophilum","consensus","consensus"
"4","a5814df5e0dbafc677829f1c4ee84ba91f3b59b8","species",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium psychrophilum","Flavobacterium psychrophilum","consensus","consensus"
"5","39f7bbe701110e7d32f597fd491fc9c7fc052694","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"6","bd89825dec06cc69722b1fefbdbe92c432f6964b","species",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium psychrophilum","Flavobacterium psychrophilum","consensus","consensus"
"7","c3f842c56f3c830b8c035b1ce108c2d87824e02e","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"8","85765bb266413fe3f12453dd4d302a989b0bc152","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"9","334a1eef882700daee8a544538f601bde4454b5d","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"10","a419fa33bdf50398dd89b7f749193ba291eaa7ad","family","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae",NA,NA,"Parmeliaceae","consensus","consensus"
"11","03305215eda5041311eb9f1ac5120362de78c0ca","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"12","0119ce854ce17231016b4aefdbb91a85e6e18928","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"13","792195d00f3cab8d0469234ff36dad4b55d774ae","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"14","576027e89ec37466f0525b840f05622fb738a245","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
