"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"1","d31458861abd71166b0c84b6fcdd4dff8ea29a40","order","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA,"Diptera","consensus","consensus"
"2","3eefc5e18d830ebe40ddf1bf64cc1413263fd166","order",NA,"Bacillariophyta","Coscinodiscophyceae","Melosirales",NA,NA,NA,"Melosirales","consensus","consensus"
"3","f010a3a4207f74263d7a795942748d4ff7a45473","class","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA,"Leotiomycetes","consensus","consensus"
"4","1a4d033040facccab99968e4873776cf5a27decf","class","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Sordariomycetes","consensus","consensus"
"5","8fb325a2f46b11c4b933958d5f57d7a417c9c11c","family","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA,"Chironomidae","consensus","consensus"
"6","0b7018f74389933bbafb8bed6d263b8724a5dafb","order","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA,"Hypocreales","consensus","consensus"
"7","8ba7caf9cd4a6f71829b39eaf8efb20da9c1d279","family","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,NA,"Nectriaceae","consensus","consensus"
"8","436edc9b91d0d3ba5b28a995dece578e0177d672","class","Metazoa","Chordata","Mammalia",NA,NA,NA,NA,"Mammalia","consensus","consensus"
"9","3272f6c9cbaba73c474997e87357c22dcce92239","class","Metazoa","Chordata","Mammalia",NA,NA,NA,NA,"Mammalia","consensus","consensus"
"10","51b24df83b4a68613b34065c1583207d8fb4ad9b","genus",NA,"Oomycota",NA,"Pythiales","Pythiaceae","Pythium",NA,"Pythium","consensus","consensus"
"11","7c4dc16d44ed404a1a5b9710ead57ee62a27b279","genus",NA,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia",NA,"Pseudo-nitzschia","consensus","consensus"
"12","8ed52d9ad4e39f2a623f95541f35d31b84f27438","species","Metazoa","Mollusca","Gastropoda",NA,"Lymnaeidae","Peregriana","Peregriana dolgini","Peregriana dolgini","consensus","consensus"
"13","bc02f2a31dc3341d916070e2a69ca7f2840c46a6","genus",NA,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia",NA,"Pseudo-nitzschia","consensus","consensus"
"14","cc0fb4cb8bf7627e09005e01cd5e83cc8835d1bc","class",NA,NA,"Dinophyceae",NA,NA,NA,NA,"Dinophyceae","consensus","consensus"
"15","ad6d7e2997431fc7a26b70b98dd5793821289ac4","genus","Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","Nais",NA,"Nais","consensus","consensus"
"16","e138258b9aa7dfdecee4d9bf5a749b408e80e16e","phylum",NA,"Oomycota",NA,NA,NA,NA,NA,"Oomycota","consensus","consensus"
"17","a917c458cf109fdef7f2ac32525f4f143d1ed4fb","class","Metazoa","Chordata","Mammalia",NA,NA,NA,NA,"Mammalia","consensus","consensus"
"18","1338e833c5cc106a1a22f39c43f4ac3db7cb6270","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii","consensus","consensus"
"19","5a4892eb908c6ce3cd6e4fa170f9f536e02f11b5","class","Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA,"Arachnida","consensus","consensus"
"20","007d57343da8b23cf493f3c66d6d59d96617e00f","genus",NA,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia",NA,"Pseudo-nitzschia","consensus","consensus"
"21","3bd45757984c4321ff62162ddf5dbbb19245b041","phylum","Metazoa","Chordata",NA,NA,NA,NA,NA,"Chordata","consensus","consensus"
"22","5f163531b35e785031e3bef381b6a2c8e42ff7af","species","Fungi","Ascomycota","Leotiomycetes",NA,NA,"Leohumicola","Leohumicola verrucosa","Leohumicola verrucosa","consensus","consensus"
"23","f67338a06ccce62cf8fa2654ad74c8577342fef8","order","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA,"Diptera","consensus","consensus"
"24","b8e861bd35a8b432ce585d48c79b2125a561908b","family","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae",NA,NA,"Parmeliaceae","consensus","consensus"
"25","df2066f62e9a5d6c3589cba51e08de488d81de71","order","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA,"Diptera","consensus","consensus"
"26","05ffae7e8304f8eec6ba8d087502e140904c0147","species","Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus cf. giganteus TL-2021","Macropus cf. giganteus TL-2021","consensus","consensus"
"27","b4a254d6544f4bb2a1dd4f143fc4e4b213a18917","species",NA,"Discosea","Flabellinia",NA,"Vannellidae","Vannella","Vannella sp.","Vannella sp.","consensus","consensus"
"28","4ebf63f8ed24ac38f5972c0843195731ed42c58f","genus",NA,"Oomycota",NA,"Pythiales","Pythiaceae","Pythium",NA,"Pythium","consensus","consensus"
