"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","cb0cf229832374ff8f4ce89c20348a90da9c04e1",90988,"Pimephales promelas","species",NA,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas"
"2","7aa929fd12fc38856e105d3092ae8752af4b44da",9321,"Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"3","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a",2012981,"Lampetra sp. CBM:ZF:17561","species",NA,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Lampetra","Lampetra sp. CBM:ZF:17561"
"4","091608e9343c9f2c79ff64e3fcfbcdfbce8653bc",69292,"Gasterosteus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"5","814bd62cd7f0891ddea80fac0be25f86af95d790",90988,"Pimephales promelas","species",NA,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas"
"6","29c5193eb0e4e364b7127ff7590e8eb751d24740",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"7","76918abfaa90d218d683fdbc4f8024dd430d7d91",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"8","d15e926efd8720231adb32a8b4e6e40608827676",27778,"Ameiurus nebulosus","species",NA,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"9","23bf5f5d24f589cba120a8635ee13e9817d90a52",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"10","7ed525639c40b9418b4743e59f833fa5b3bdf355",2743731,"Pogonichthyinae","subfamily",1,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"11","0136045211815efe585d758255e71b356536a546",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"12","08138115cd3348ae7df3386366b72d3f2c9c799f",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"13","f00a9a74f043fbe6fc27d3e155a6e44ecf3c0f11",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"14","18e037be8d4b3d7ff078a6a7f93a36824a74af4c",2743731,"Pogonichthyinae","subfamily",0.9997,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"15","be471fc50919fc3fef3fd721b6dabc9ccd707821",2743731,"Pogonichthyinae","subfamily",1,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"16","dc78ea7000749cdaa33f9199c52df6f0f90be099",9126,"Passeriformes","order",0.9012,"Metazoa","Chordata","Aves","Passeriformes","","",""
"17","be1bd85cbedd796b3b70618ed8248f5c66768c49",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"18","7cbe946625f416ad59615f0ddca7884268f33de2",9126,"Passeriformes","order",1,"Metazoa","Chordata","Aves","Passeriformes","","",""
"19","6f74ea5d6a7d9a8f2d3fc543c6652a3c85e75e3d",38609,"Diprotodontia","order",1,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"20","a7517d5f93621c76c69106131eab915faa19f6b4",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"21","75e73e13ea568bb911b99e63cc8a634d76007bff",8112,"Percoidei","suborder",1,"Metazoa","Chordata","Actinopteri","Perciformes","","",""
"22","4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b",2743731,"Pogonichthyinae","subfamily",1,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"23","1a7210bb944614e2740db83d5a31b18a5bd8b7dc",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"24","c4f793f214b4797a41cbee59b06acb41f4c38601",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"25","f2cd49b8de739c1d861686981591382353ee740c",8112,"Percoidei","suborder",1,"Metazoa","Chordata","Actinopteri","Perciformes","","",""
"26","fe72cd5c92fc95d33982bc5916c5d015404e2977",1489872,"Percomorphaceae","clade",1,"Metazoa","Chordata","Actinopteri","","","",""
"27","b691daf5f3e55296cbb67deae952dd7956d05afd",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"28","612b5c4dd09654241a7d4507f9440c98bf19cee7",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"29","a541e363cb43edf898d30bc72c605a15295ca279",69292,"Gasterosteus","genus",0.9996,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"30","64acd71396ce9fd7a044de196d7f1e36a58c8f32",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"31","7d8d284f8419abb75e2ddb771080f1475447d26c",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"32","406fa60aca9050eb5a745a0151f0b0d8f8f925d3",7746,"Petromyzontidae","family",1,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"33","df5823fe2a8d10862daf8b3122776f35f7432a10",69292,"Gasterosteus","genus",0.9996,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"34","7c3a071d9b4e988f7367ae8ae7bf3ada64fdd9af",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"35","ee10a57b8e892ee72bf167c0efd0a15ec40cd488",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"36","c5096108c306c4feda0e54dde259d212245b2d5a",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"37","00ee5a56c8d1170d97064d14e3c21996fa86eb6d",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"38","471e79a5296218d92da79623f4a5b9f0494cb457",9434,"Myotis","genus",NA,"Metazoa","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis",""
"39","63a7d0273f9bdd41fc062c411d5c529730a67ff1",337752,"Sciurini","tribe",1,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"40","6bb82dc3ab69db941b42e0021db20651357c3dc0",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"41","6b62cb49827add1486b1f50f6e5c442dc78756d8",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"42","f643b2f3a82df74c5d2960936c2e014d060e3a22",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"43","78c762f9db65e338362e3ca9eaa2cf5fcdf91ec4",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"44","f3d5863f9d49fc73652ae616bd0a22b9ab62d094",182677,"Neurotrichus gibbsii","species",NA,"Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","Neurotrichus","Neurotrichus gibbsii"
"45","9a7efd07611ee7040d6cb54525c9577ff620ceff",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"46","bfa2079293edd4c2929d2b4a350ff6c366c410b5",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"47","e368135f1f80a3dbb955ae387fb0fea06cbe4a7f",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"48","9cd29cad00fb199120f2c8821f31312fbfa2648a",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"49","239223568792b608bf5f9df63bdfabcb2abd1c87",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"50","c8bf72e849315de1601919eb767cd800400519d3",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"51","7c23ac26c1c5e06f1ae20ecb5e63f9fa4fb68550",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"52","95cac0e8257d19eb84caf4471d055d1afc771f1e",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"53","d9b3c39469c83a3e67e3a86fa99be0e62b85b972",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"54","fb2fc3b043c98c512d1bf2becfb8f32ed2ab0c04",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"55","0ecafcca90025eef2d7cc7e21e8a16227fcd0cb5",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
