"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon"
"1","30742d31b3cc7a387b96133d0998ecee07c83597","species","Metazoa","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis","Castor canadensis"
"2","2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus"
"3","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8","family","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae",NA,NA,"Cricetidae"
"4","1a50e3486cdc5423f8b831ff444cf54e91042554","family","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae",NA,NA,"Didelphidae"
"5","358d0def35bc8bcf2711011fb63f7fc511496cc5","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae"
"6","f49ae8c6819abdfd33d13f2b07c6fcbbc25ee4f0","family","Metazoa","Chordata","Mammalia","Carnivora","Felidae",NA,NA,"Felidae"
"7","e3326d78fc42729ea464440aa62ec3ce02bd2829","species","Metazoa","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis","Castor canadensis"
"8","29c5193eb0e4e364b7127ff7590e8eb751d24740","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii"
"9","ddf5d8f01c176ab003be35dd8935dab512bf36c1","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens"
"10","1d9c79934127687c5695d31ec87c6e1a8762723d","genus","Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus",NA,"Lepus"
"11","418d5ed20b679f800b258f567825c92d012bc96e","family","Metazoa","Chordata","Aves","Passeriformes","Parulidae",NA,NA,"Parulidae"
"12","6f74ea5d6a7d9a8f2d3fc543c6652a3c85e75e3d","order","Metazoa","Chordata","Mammalia","Diprotodontia",NA,NA,NA,"Diprotodontia"
"13","07122a09e420f0d98cd3019bb7a8f3da9909e375","genus","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex",NA,"Sorex"
"14","7bbeecf008775a49187717ad00b4df38eeda8bc9","order","Metazoa","Chordata","Mammalia","Primates",NA,NA,NA,"Primates"
"15","4c562c7a275414a00788a05c97abe672981ffcea","family","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae",NA,NA,"Cricetidae"
"16","acb132e82e2ef43f8eac6c7e5dd85c551168b718","genus","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex",NA,"Sorex"
"17","73bd07c218ab7e4ae33a1653d793820dc5cbb2c4","family","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae",NA,NA,"Didelphidae"
"18","e949919da98e5306e2e0256d20339908ccb29c81","family","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae",NA,NA,"Didelphidae"
"19","e38e779b032805db5aa7de7dc90149d3fce72e79","genus","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex",NA,"Sorex"
"20","5ec793e1fa5b1af03b12d12d1f83d8206437e32c","family","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae",NA,NA,"Didelphidae"
"21","a50124b9266a0eb0c87fe119cb9cefe63a948734","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus",NA,"Peromyscus"
"22","bd0035049d9540b3b4f593e82ad1c77adddd9921","genus","Metazoa","Chordata","Aves","Anseriformes","Anatidae","Anas",NA,"Anas"
"23","7ed525639c40b9418b4743e59f833fa5b3bdf355","species","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas","Pimephales promelas"
"24","a05528c413125215bde6d2205cba6d625e7228f9","species","Metazoa","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis","Castor canadensis"
"25","be1bd85cbedd796b3b70618ed8248f5c66768c49","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch"
