"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"d31458861abd71166b0c84b6fcdd4dff8ea29a40","   7148","Nematocera","suborder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"d5e05a4ebb57e6e0dec41aaad82823d67e83004e","      1","root","no rank",NA,"","","","","","",""
"8fb325a2f46b11c4b933958d5f57d7a417c9c11c","  54970","Chironominae","subfamily","0.9009","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"59f11a7c5b1f4d776af7f087b691274ec5b698c2","      1","root","no rank",NA,"","","","","","",""
"a917c458cf109fdef7f2ac32525f4f143d1ed4fb"," 117571","Euteleostomi","no rank","0.9020","Metazoa","Chordata","","","","",""
"23ca525364e8b6375d96e892f103bad9a3392d95"," 131567","cellular organisms","no rank","0.9952","","","","","","",""
"51b24df83b4a68613b34065c1583207d8fb4ad9b","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"8ed52d9ad4e39f2a623f95541f35d31b84f27438","   2759","Eukaryota","superkingdom","0.9942","","","","","","",""
"05ffae7e8304f8eec6ba8d087502e140904c0147"," 117571","Euteleostomi","no rank","0.9020","Metazoa","Chordata","","","","",""
"3bd45757984c4321ff62162ddf5dbbb19245b041"," 117571","Euteleostomi","no rank","0.9527","Metazoa","Chordata","","","","",""
"ad6d7e2997431fc7a26b70b98dd5793821289ac4","1780200","Naidinae","subfamily","0.9945","Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","",""
"c12e29311cde1d7041ce69afb2d9ba6d232870f3","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"a0808c3049d8cb6510e36914b4b81d242264bca7","   2836","Bacillariophyta","phylum","0.9982","","Bacillariophyta","","","","",""
"e138258b9aa7dfdecee4d9bf5a749b408e80e16e","   4762","Oomycetes","class","0.9889","","","Oomycetes","","","",""
"6f3dec293a7c259697081faab2f6c3abcd833adc","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"0e79f625557e9166d21f9471469ee4e5480925ba","      1","root","no rank",NA,"","","","","","",""
"91bbc1e51a125be2f65edc314af8512a10b1ecb0","   7148","Nematocera","suborder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"a4955db6a33a187d8a4e44dd205d36c34a9a453c","   2836","Bacillariophyta","phylum","0.9968","","Bacillariophyta","","","","",""
"ba5bafc248955996337d87d85ed09c1dbc1dcae2","  84394","Ploima","order","0.9991","Metazoa","Rotifera","Monogononta","Ploima","","",""
"45cce0ab502ea227c2555d039ea633a5cc839cf3","   2759","Eukaryota","superkingdom","0.9885","","","","","","",""
"3fe135097cca9c29f08eea2472bdb581627f518b"," 131567","cellular organisms","no rank","0.9831","","","","","","",""
"c4f33ee1103a884a6de1ef81226370d13e9fc3c4","   2759","Eukaryota","superkingdom","0.9885","","","","","","",""
"b642c491cd5ea03e7fcf7468de5a3ff9078d4748","   2759","Eukaryota","superkingdom","0.9865","","","","","","",""
"4ebf63f8ed24ac38f5972c0843195731ed42c58f","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"09f5edd605a81fcaed7f2b8823f4475b73a97389","   2836","Bacillariophyta","phylum","0.9994","","Bacillariophyta","","","","",""
"72138a1dd3a2674ba14f4e4160b0b0205203c2e9","      1","root","no rank",NA,"","","","","","",""
"8aec68e5d4f69166f3e1af0672454ac15ac1d19d","   7148","Nematocera","suborder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"5a889979ebbaf84484fe731b07521e74c5d8521b","   2759","Eukaryota","superkingdom","0.9977","","","","","","",""
"06c5efdd23279c7da68cc0d281b7903ee4c47cb2","   2836","Bacillariophyta","phylum","1.0000","","Bacillariophyta","","","","",""
"5f8e661a900cfe45b5a4f6621853db1c106d466b","  33850","Bacillariophycidae","no rank","1.0000","","Bacillariophyta","Bacillariophyceae","","","",""
"8159a1d98bcfda1ce415ab396391544e450308b5","   2759","Eukaryota","superkingdom","0.9952","","","","","","",""
"1c6c1a8871a14684139f7f2ab11b72720e4aa84f","  33850","Bacillariophycidae","no rank","1.0000","","Bacillariophyta","Bacillariophyceae","","","",""
"3448a08ae1de52a23ded69db9912a2e77392d789","   2759","Eukaryota","superkingdom","0.9391","","","","","","",""
