"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","c0d693b826b55fc41437ca8b44bc533701fbadd9",231623,"Rotaria","genus",1,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"2","f1bc355ae1f739fc3840ffd79b1fad35529b3c60",231623,"Rotaria","genus",1,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"3","9f19d8b35f541d1c3e67a5a609543272edf4be60",4783,"Phytophthora","genus",0.9588,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"4","2372bd452ea5f2b3661b968bc472f58808598a71",288800,"Micropsectra","genus",NA,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Micropsectra",""
"5","f725f15dfea22df53d90a24d9bb1b3f9820172c0",204737,"Keratella","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"6","0b1d4a135e86ce9af39aa23a5a504f4f515d52b7",4783,"Phytophthora","genus",0.9997,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"7","4d1d9811ebe7f4cd649efa0c2393739dee1a53ab",1302608,"Eiseniella","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Eiseniella",""
"8","ca92320d135d64863c42dd1a6cb43a3c42842961",77570,"Stylodrilus","genus",1,"Metazoa","Annelida","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus",""
"9","6d7d74f92c180202f94c38e21bf2c1756e332c47",2809,"Batrachospermum","genus",1,"","","Florideophyceae","Batrachospermales","Batrachospermaceae","Batrachospermum",""
"10","0af1e3f05a3a6f01c136e47f8fbc665d874b52ea",288800,"Micropsectra","genus",NA,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Micropsectra",""
"11","02403dd959dc86a1478ef3d990876ad9a57cba75",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"12","aecc1625633747aa8204499d10106d755856775e",204737,"Keratella","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"13","818a8694ab294182d458973f0b372d1b10051ee3",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"14","8700d189e03f259c31ce0a5ef90a914b02a3ff74",204737,"Keratella","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"15","979775b1d517c0a8fbbbba9397bf781d6efc46f0",161231,"Octolasion","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Octolasion",""
"16","62c5f5224e7b5f58b57f012ca8db42bd98ec83df",231623,"Rotaria","genus",1,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"17","b7acf72dc8b9b63546e46206ad3d95a1124300b1",231623,"Rotaria","genus",1,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"18","9593053670d8b9bcdae020f622434fd54b68a00e",96445,"Lecane","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Lecanidae","Lecane",""
"19","826f369426dc8aa5538be786cd2a8579baf32edf",6083,"Hydra","genus",NA,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra",""
"20","9e0464800572e20de257de26f1af2c3ec83c9621",231623,"Rotaria","genus",1,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"21","13fe126719f3b038a3168c2bd72e3cde01974779",177662,"Neophylax","genus",1,"Metazoa","Arthropoda","Insecta","Trichoptera","Uenoidae","Neophylax",""
"22","cdcc5676984a0ac683532e6cc3f3256d39a9faa9",161231,"Octolasion","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Octolasion",""
"23","17f787ce3a894f5b8b2d1304f39e5cc341325647",204737,"Keratella","genus",NA,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"24","32951538a654db6a62c9a3ca2384e2b213a4d3a7",131581,"Altica","genus",1,"Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Altica",""
"25","bc79b7bd17f864f5d50dc6f4e2f715f7de70be43",177632,"Rhyacophila","genus",0.9992,"Metazoa","Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",""
"26","aa028c251e2c6cc7d81ba615f0b5ef412e3c00d1",27388,"Aporrectodea","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea",""
"27","a0a28926df243f30e8d0ac1a96be1a45627ba8c4",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"28","f98f2d551be21e55130cb7ca9e0bd6e1db12cee2",214137,"Eupithecia","genus",NA,"Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Eupithecia",""
"29","18a3e50bf09cc1032d0e6dcec7b0051a3bc37d36",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"30","409ee0bff4c38744a05ad3a4af0812c08ce7ff3f",74734,"Rhyacodrilus","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","Rhyacodrilus",""
"31","a567a555223b57b6f76939e646cc623be9ca9edd",96445,"Lecane","genus",0.9968,"Metazoa","Rotifera","Monogononta","Ploima","Lecanidae","Lecane",""
"32","446911b50a94a952e4dd39dde1c8f906df80bae6",177647,"Micrasema","genus",1,"Metazoa","Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema",""
"33","79d62814629a17202a4498cf589dadb575f7fffb",10114,"Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"34","b235f29de1201e43bc89dafb5b5aed74ce1c8663",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"35","3ca1c131468c5e5697864cddc45649687cc80b76",6397,"Lumbricus","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus",""
"36","bb69355880a91005aa946e3094aad7451dc594c8",231623,"Rotaria","genus",1,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"37","731b95f2d8fa3cd65b07b0a33ded3fcb057f6bf7",96445,"Lecane","genus",0.9968,"Metazoa","Rotifera","Monogononta","Ploima","Lecanidae","Lecane",""
"38","075eb6dd0eb25084b554b1dc50090f1394cda6cd",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"39","cae80952481f65d0f2cf8c16c3572fce2d01b1f1",6397,"Lumbricus","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus",""
"40","c71d803cc21e899a760a22eca62fc5b6dc06c0c4",27388,"Aporrectodea","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea",""
"41","707b99f1761315fce1acbad73f892938b65df464",4783,"Phytophthora","genus",NA,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"42","8c9b32a3355e0f2ae017bce3f3ed2e58babc19ab",6083,"Hydra","genus",1,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra",""
"43","644b0e38accd84b2565c1c045c52d3e5babf984a",572706,"Argyresthia","genus",1,"Metazoa","Arthropoda","Insecta","Lepidoptera","Argyresthiidae","Argyresthia",""
"44","43346387ac934a75d8511202d26c8d81dcfae7ff",96445,"Lecane","genus",0.9968,"Metazoa","Rotifera","Monogononta","Ploima","Lecanidae","Lecane",""
"45","e339065ad52d667ffab7d46a6826102e54a82064",6397,"Lumbricus","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus",""
"46","ab7b7d74d733cb2b8d100ad84ad43ead08411607",1646327,"Chyrandra","genus",1,"Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Chyrandra",""
"47","5bb93ed05c7cab02513cced754b2f0e4164e9b7d",36142,"Isotomurus","genus",1,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Isotomurus",""
"48","76b8a418132d1aa5f1d00f25f65691ed9409b630",27388,"Aporrectodea","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea",""
"49","5026872c8376f0fec1cf5ebfb00e812d3d73629f",177674,"Limnephilus","genus",NA,"Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus",""
"50","1b74c5dbf8fc5ec71959709df5f8006573de3f8e",1628347,"Chamaedrilus","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Enchytraeidae","Chamaedrilus",""
"51","5fa363e751a0f8ff4efe580b10aa8fc510e9f538",177674,"Limnephilus","genus",1,"Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus",""
"52","200c2c3e57225ea66b6f16dcecea27d4fce6695a",6542,"Arion","genus",NA,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion",""
"53","dd1fbae04948e00c17a981de6719e0a6c68baa1e",1628347,"Chamaedrilus","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Enchytraeidae","Chamaedrilus",""
"54","d43c38258a0f02aca44810dfe4103830cb6a29c7",76586,"Limnodrilus","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","Limnodrilus",""
"55","bc00a17a4d3fafc6413e32dffde1d565ce549eee",204744,"Synchaeta","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Synchaetidae","Synchaeta",""
"56","612a808b462dd51fdb2c608b1f01821515c4eaaf",97226,"Gomphonema","genus",1,"","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema",""
"57","3ba7b008a5bf7340324d4487e4aa85787c9d64db",121148,"Acartia","genus",0.9995,"Metazoa","Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia",""
"58","fa544ad0f98958a40f891d1d52877845633682bb",6677,"Balanus","genus",1,"Metazoa","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus",""
"59","1a18b863c9d0383fea948983043b1664136a7fb3",6836,"Calanus","genus",1,"Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus",""
"60","bf6ceabe52317cd214571de154936cd872046d51",163471,"Paracalanus","genus",1,"Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus",""
"61","698784c5a3420ce8de01ce964c7f73380d9d3dce",6087,"Hydra vulgaris","species",NA,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris"
"62","6d5130b77e63f58b005a65b65dd484b9a50601d8",13347,"Armadillidium vulgare","species",NA,"Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare"
"63","1adadc156d27b264f7c164620b97e31ba2660933",1192214,"Dolophilodes novusamericanus","species",NA,"Metazoa","Arthropoda","Insecta","Trichoptera","Philopotamidae","Dolophilodes","Dolophilodes novusamericanus"
"64","27e373c602616ee5afdfe15778bea1e289159e4d",4786,"Phytophthora cryptogea","species",NA,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora cryptogea"
"65","cc0958788f86c2cca445bf0cbe5e674d5a86a0a5",403552,"Micropsectra polita","species",NA,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Micropsectra","Micropsectra polita"
"66","cc8ac130e985c2cdb262482dc0e62d4361825c29",688422,"Oligocentria semirufescens","species",NA,"Metazoa","Arthropoda","Insecta","Lepidoptera","Notodontidae","Oligocentria","Oligocentria semirufescens"
"67","20fb63768bb1bf3be61099bdb703429dd9102575",1190534,"Phytophthora lacustris","species",NA,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora lacustris"
"68","5a5679ddeba13993e0615c14d1091f2ffcc96fe9",683867,"Aeshna constricta","species",NA,"Metazoa","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","Aeshna constricta"
"69","927a1dd918a3bbb0b20c5e3223c9f03426354896",369823,"Pythium sterilum","species",NA,"","","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium sterilum"
"70","6ed53fbf8e63702e9d7c9127612591f096959695",6087,"Hydra vulgaris","species",NA,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris"
"71","f83b5c0dc40b571febdf4be8b1c003664bd8d835",359324,"Phytophthora gallica","species",NA,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gallica"
"72","aba79f4abfb908023063234232da09d412d4596d",302032,"Aporrectodea caliginosa","species",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea","Aporrectodea caliginosa"
"73","0768f21f7a0bd7805511090c51f2490fabf2bb3f",320090,"Phlogophora periculosa","species",NA,"Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Phlogophora","Phlogophora periculosa"
"74","281ee7acd6d12173e05b3df2f978758ed8f9cc45",1655980,"Corythucha padi","species",NA,"Metazoa","Arthropoda","Insecta","Hemiptera","Tingidae","Corythucha","Corythucha padi"
"75","bf2e50eb1f4119e4b571d2182ec611e74e5f1aa8",302032,"Aporrectodea caliginosa","species",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea","Aporrectodea caliginosa"
"76","c9e7ade64d86316dcc047defd4b45fb612d44089",1821206,"Phytophthora pseudocryptogea","species",NA,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora pseudocryptogea"
"77","9a995481ae3ae1b308b3b089520f11912a0bcfb6",6082,"Hydra viridissima","species",NA,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra viridissima"
"78","3cf7625ed38dbd949ff8152ea3f397daff45ec4d",230254,"Scaphinotus marginatus","species",NA,"Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Scaphinotus","Scaphinotus marginatus"
"79","f2664020bc901e996044f2f43143295261a15972",572748,"Epinotia albangulana","species",NA,"Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epinotia","Epinotia albangulana"
"80","b06fe26d6a389b1ea405e9e6382e23375118ecbc",4787,"Phytophthora infestans","species",NA,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora infestans"
