"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","6785301e730aad280f607641258d1565592b8db6",69292,"Gasterosteus","genus",0.9996,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"2","ef174dae3857925ac504852ad9a76eb055107890",69292,"Gasterosteus","genus",0.9996,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"3","a6b5004ad2a65458527e0f7a2d79c5677c9fd07c",69292,"Gasterosteus","genus",0.9692,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"4","f58a13b46baf0b45696c33076c21aef3e6551c8d",69292,"Gasterosteus","genus",0.9995,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"5","c82b00d717919e4086632863f8b9b5ba0a259077",13103,"Lampetra","genus",0.905,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Lampetra",""
"6","ab51f96ad6d6a17f3913cc2ab951446d0495408d",69292,"Gasterosteus","genus",0.9936,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"7","92e68938a2e87e93622c3fba938ebb2e203731dd",69292,"Gasterosteus","genus",0.9994,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"8","04782db9c273a0f8c376df5c653a6b926fc5574b",69292,"Gasterosteus","genus",0.9973,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"9","6fa9b9e048f9ee1ca4ef640cc29bd5d706675a71",69292,"Gasterosteus","genus",0.9658,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"10","f2c0c41714281a7e146a3b356c109e7d026f1392",69292,"Gasterosteus","genus",0.9995,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"11","225f5d86e07b43fd061a92834f9e0e6229366de9",69292,"Gasterosteus","genus",0.9944,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"12","cb1e1d65dc3af8198fd2d45c62d88aba9ae25436",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"13","5a666e6ab10b8542143aa8e2949b7ffdac0a0629",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"14","cb73b65c61cba9b694321a40110a15fd3d910de3",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"15","64f4604aa7d0e94ac434629d66b995d467fc8449",214916,"Cottus asper","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus","Cottus asper"
"16","d3cb38780bab13cb52935acf4e92db8a87f6c632",9823,"Sus scrofa","species",0.9852,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
