"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"3c41ac759f0e980a008efe5d96ff13e51aad1909","   2836","Bacillariophyta","phylum","0.9972","","Bacillariophyta","","","","",""
"4aab721e7a5aa2eb762b1b3c4993e93842acb431","   2759","Eukaryota","superkingdom","0.9999","","","","","","",""
"f0d09d00944b2ba48b61b4bbecb2e738c3cb8b16","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"e9ae04a410735949efe3ed7149bb088bf3e57e70","   2759","Eukaryota","superkingdom","0.9914","","","","","","",""
"290d16fbe14c5c0b729585bcec94ae20e2a66f29","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"5fb2c5b8a1da76223c3c28c406e65c8483d5fc85","  33154","Opisthokonta","no rank","1.0000","","","","","","",""
"11c3f4bcb9b4d7691a3e0bc2b049d997df820fe2","      1","root","no rank","1.0000","","","","","","",""
"6fd8f7e5bfd941d475e6bec6ef361dedbfd85a6b","      1","root","no rank","1.0000","","","","","","",""
"2ec78f4e561eff6f145269b3281cf497f7627dca","   2836","Bacillariophyta","phylum","0.9995","","Bacillariophyta","","","","",""
"87ba0421fb51964f19c8fa2d310dfb9a0a7e36a5","      1","root","no rank","1.0000","","","","","","",""
"5a67680af5acdc80d500136b1930f6e0cf99106d","   2836","Bacillariophyta","phylum","0.9984","","Bacillariophyta","","","","",""
"0adf7b9444acb6f8eb10175a487eef85ba324bcc","   2836","Bacillariophyta","phylum","0.9995","","Bacillariophyta","","","","",""
"cc4d546c59e596a8656d74389072139c4f75ab5c","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"5c90c12d31c9f794ef76f65721ca0872b9870ffc","      1","root","no rank","1.0000","","","","","","",""
"9e5f9a11911e23c80ead23b92c1cd8360835b1a5","      1","root","no rank","1.0000","","","","","","",""
"1d83734ad1508a2bc3da6c3e93043f11d6241edd","  33208","Metazoa","kingdom","0.9699","Metazoa","","","","","",""
"6fe4801a3caa0ed7d9bbae761dce12731007a8e6","      1","root","no rank","1.0000","","","","","","",""
"538ab04f1dd237010a320cee7b9d76d8b9c7cf08","   2759","Eukaryota","superkingdom","0.9967","","","","","","",""
"8278f17acfb259439877603a23a8314c3af064f6","   2759","Eukaryota","superkingdom","0.9914","","","","","","",""
"7f77a1e269b16ffd1131b86ebd9532b5c9e41301","      1","root","no rank","1.0000","","","","","","",""
"632fc231ae48a82b422d56899551151b21c9dfb1","   2759","Eukaryota","superkingdom","0.9914","","","","","","",""
"7fb0245b1119062be33fc38cd1223bda7a9143e4","  33213","Bilateria","no rank","1.0000","Metazoa","","","","","",""
"ef7342bea578dd8a7447b1f4d6e47534a1984f0c","   2759","Eukaryota","superkingdom","0.9948","","","","","","",""
"7fcf8ab238c7b5c792191ef8d9113bb83cb93c97"," 131567","cellular organisms","no rank","1.0000","","","","","","",""
"9d61965c40b9f40342adf7d0a45e19b8642052bf","      1","root","no rank","1.0000","","","","","","",""
"0f85a713e73489ebade9f91c85f71c308591c105","      1","root","no rank","1.0000","","","","","","",""
"f7134332cfbc68026dfb6e9b23413341871f153f","   2759","Eukaryota","superkingdom","0.9955","","","","","","",""
"6f3dec293a7c259697081faab2f6c3abcd833adc","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"5b8326ca03801655d479f857c33c40ad6767f0a2","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"16988ffd70686e9d0642dab01078c6c7a18f0349","  84315","Cyclopidae","family","1.0000","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","",""
"b6eb85735e04339d4143c6ef2558f72dbdcc2a5a","  33154","Opisthokonta","no rank","1.0000","","","","","","",""
"72138a1dd3a2674ba14f4e4160b0b0205203c2e9","      1","root","no rank",NA,"","","","","","",""
"9918c5018b9ae38381840e28df7e87bb60119e81","   2836","Bacillariophyta","phylum","0.9975","","Bacillariophyta","","","","",""
"610f4c97d9c5ceacb87070226d825a975b46e7b3","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"f2874d3a74c7b348ec38b3187dcaf7972884d912","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"ad1fea252b45e23e3cde64abaa64e6b81cd7d959","      1","root","no rank","1.0000","","","","","","",""
"8dab23964c757f95d65aaa406761e509dca089bb","      1","root","no rank","1.0000","","","","","","",""
"fc871ef619918ad3b2b98baf99d85ac21e56c102","      1","root","no rank","1.0000","","","","","","",""
