"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"c6d586dc78d8ef5cac238cba2d5714407775bd69","  33213","Bilateria","clade",NA,"Metazoa","","","","","",""
"8001433422f2dfb9b7333084b5ae4a31130f34f2","   9653","Procyon","genus","1.0000","Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"580a64b0134da56e49bf06482ed6ee164d8a6ec5","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"c161735732d10ef81323d9b5812491897d2eb5ab"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"5c024b1d5c5f25af45599d69bd92b8837b2ba62f","   9987","Sylvilagus","genus",NA,"Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus",""
"63a7d0273f9bdd41fc062c411d5c529730a67ff1"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","   9881","Odocoileinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"4c562c7a275414a00788a05c97abe672981ffcea","  39087","Arvicolinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"5dbce0075732b37e517721c275ba3c2e14e50196","   9611","Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"091608e9343c9f2c79ff64e3fcfbcdfbce8653bc","  69292","Gasterosteus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","   8098","Cottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus",""
"76918abfaa90d218d683fdbc4f8024dd430d7d91","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"f5b5aded2ca74ffb7f6b02448ffa90a36de662df"," 337963","Neotominae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"3fa5cad0e8bd81303eed0492a7c0dd91d85747be","   9653","Procyon","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"0af50c9e935876232e242db91bb835235691bf3a","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"e3bb86462242cc75b2d9159e96f588a2ca09a5d3","  10114","Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"358d0def35bc8bcf2711011fb63f7fc511496cc5","1437010","Boreoeutheria","clade","0.9999","Metazoa","Chordata","Mammalia","","","",""
"0b2473adae40604dc47e40335c7c0099a7839bd0"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"acb132e82e2ef43f8eac6c7e5dd85c551168b718"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"da86e55cb2b03c4f47a877c184e63d907a48bc4e","   9072","Phasianinae","subfamily",NA,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"4d564e2a1a7ead61ad62ba25643eeb5b17e99559","   8825","Neognathae","infraclass","1.0000","Metazoa","Chordata","Aves","","","",""
"de50006c0606a56568f714e8edd3a9d7dbaafd05"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"298dae79d14c3c665b4a97bad3ba5129f4d3edf1"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"e65f511d819ef32a2941c6d56d076a8616b71c25","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"ca4009e9f4961a466d717e77ddddcf64a374073d","   8830","Anatidae","family",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"6666721eae42fcc70157266782136a10e19f633d"," 182677","Neurotrichus gibbsii","species",NA,"Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","Neurotrichus","Neurotrichus gibbsii"
"1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16","   9611","Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"30742d31b3cc7a387b96133d0998ecee07c83597","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"600c3ffc12a39542606a5575eae4598e32b7a7ef","   9220","Picidae","family","1.0000","Metazoa","Chordata","Aves","Piciformes","Picidae","",""
"6462dbf63e62e398d26bf5c29e87efc9d3ca7d23"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"99488912055f9a72b152b5a73849666822523c2b","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"c24e95dbde7a3427f51629ee0cd5cd6f69cc5e56"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"be1bd85cbedd796b3b70618ed8248f5c66768c49"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"f6d7634c612415d9fe80a78512aa078bc21988e5","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"b217b460eb20f2d114907a16c3b4135ac6baa1a2","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"feb0ffe115c58211c69e4ae14b5d3f6bea7efb40","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"5760723c6e28c8e3422ee285d0f778f5923b74fb","  30427","Haemorhous mexicanus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus"
"207c14cbfcb7a263875f05f027c82467ac1f04e7","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"26470fe2a0190a46adf18aa10cbadb375c913f20","   9643","Ursus americanus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus americanus"
"7a35a7a6e6b06289f03917c259ace3cc19abc283","  39087","Arvicolinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"762874ae34a100fa6212e778b2265633b7113596","   9126","Passeriformes","order",NA,"Metazoa","Chordata","Aves","Passeriformes","","",""
"482dd87ad7fd2ed0427383e4d62983daac55f1d6","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
