"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","a7bcf3cad8ee61e816ed63d444ebf74c7f906882",84315,"Cyclopidae","family",1,"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","",""
"2","e864144462235d141f0af38ea0bf2f67d72d3f88",9307,"Macropodidae","family",1,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","",""
"3","5ddbb5829d185bf9512e81c2bb645929ed2666ca",172515,"Baetidae","family",1,"Metazoa","Arthropoda","Insecta","Ephemeroptera","Baetidae","",""
"4","44e5618a821b6d1ed2e1b380fd976f11a37fdcd0",172515,"Baetidae","family",1,"Metazoa","Arthropoda","Insecta","Ephemeroptera","Baetidae","",""
"5","21492dc517642bd2cfe7f909c08bfe8c3e0b945b",33823,"Aphelenchoididae","family",0.9906,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
"6","0fcf7e6460963080e825f4d3f9f142a30c158a01",1365474,"Stephanodiscaceae","family",1,"","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","",""
"7","1f3ae8251c96efbb44bbd184fe7e2cd5759fc59b",9307,"Macropodidae","family",1,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","",""
"8","18393db0869f06e45c98f798207d38be5265ae6c",50633,"Ephemerellidae","family",1,"Metazoa","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","",""
"9","9d3503fc676e514006703fcb4d2b7fcba2015b11",33823,"Aphelenchoididae","family",0.9906,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
"10","d19ce2bdd8795ffadb3553ac2bd99bd79ca6f9fc",2109251,"Naididae","family",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","",""
"11","8afc3c81d9c4355c94a354e435897ae7e4a89d36",1365474,"Stephanodiscaceae","family",1,"","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","",""
"12","d12d852484e158fe2016f3ee1c1e6c06e233b0e5",33823,"Aphelenchoididae","family",1,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
"13","4a2714fd48a88f95a61de26c2027d7f4c2c6d50c",7149,"Chironomidae","family",1,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"14","a8bf7f1e72027a83085d38ba1c0cf15f4d4edaeb",9307,"Macropodidae","family",1,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","",""
"15","dc5f1a79cd776318f9da96dceb54bb9e5443d7bb",33823,"Aphelenchoididae","family",0.9998,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
"16","9f42a40d84d000a6e971bae59beef570642cc126",7149,"Chironomidae","family",1,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"17","6bd80b9a923b050188a2e107a856ed9804b6d28c",41042,"Tipulidae","family",1,"Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","",""
"18","628f0d0baa0cdb6e1ccf156a614c9bfa7682d584",33823,"Aphelenchoididae","family",1,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
"19","64b548c8992558f0dfcbb7a08dc15f7bb1833c65",55711,"Sphaeriidae","family",1,"Metazoa","Mollusca","Bivalvia","Veneroida","Sphaeriidae","",""
"20","ac27d4c3609640b5719dbbc70a5185f8fea8b0a6",41372,"Chaetonotidae","family",0.9995,"Metazoa","Gastrotricha","","Chaetonotida","Chaetonotidae","",""
"21","d43c7738683360e325743c2f67c88ff8f59a5a4c",5799,"Eimeriidae","family",0.8906,"","Apicomplexa","Conoidasida","Eucoccidiorida","Eimeriidae","",""
"22","a06f0d23bb932f316bb24350c311139a1e539f59",5799,"Eimeriidae","family",0.8906,"","Apicomplexa","Conoidasida","Eucoccidiorida","Eimeriidae","",""
"23","ec5111235438b2b418bce196a1ceec5849fd37eb",9307,"Macropodidae","family",1,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","",""
"24","f7b041e2365ea0162e1e8225de39b31f21febd31",7149,"Chironomidae","family",1,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"25","e56e42a99b0b5257ccc8093700dc5a64cdd1c2b9",50633,"Ephemerellidae","family",1,"Metazoa","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","",""
"26","a424c1227228a2df16d91974a5f8c6deba384803",33823,"Aphelenchoididae","family",0.9998,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
"27","3c7643b4dfe601fe9de82f12c62b976aaae48400",41042,"Tipulidae","family",1,"Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","",""
"28","fddea9a42ba8d1ef421dc10b0b465accfedeac84",50645,"Limnephilidae","family",1,"Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","",""
"29","116a4c209ed15a57f62a356be16a53bbd8184f85",84315,"Cyclopidae","family",1,"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","",""
"30","16988ffd70686e9d0642dab01078c6c7a18f0349",84315,"Cyclopidae","family",1,"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","",""
"31","d5eb55d56ab79499711f8a77a8c19f2a164dc3db",41372,"Chaetonotidae","family",1,"Metazoa","Gastrotricha","","Chaetonotida","Chaetonotidae","",""
