"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"0b116b364fae6bb31cb89334ec948134838858ac","   7148","Nematocera","suborder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"a6e83df903fb66c9642deeaf01c3cf0d53625cce","      1","root","no rank","1.0000","","","","","","",""
"7f0b3247a9492a7eaae4b7c704a8e3e110781aec","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"3d49f0d5a6eea73689a019c53cc7d626074e4bc5","      1","root","no rank","1.0000","","","","","","",""
"dd57dd225b7758e357e76eb0ce35d48f1fcd75a9","      1","root","no rank","1.0000","","","","","","",""
"afda3e2d9ec2b5ec38a91a2a1bff0b4d6cbaf860","      1","root","no rank",NA,"","","","","","",""
"94075b064d94920d4acc111edfaf44a90738e16b","   7496","Pterygota","subclass","1.0000","Metazoa","Arthropoda","Insecta","","","",""
"10abc800f8e1b45f364cd0c96d699274751afbbc","      1","root","no rank","1.0000","","","","","","",""
"2cccc455fe24e45d9e191762b73503e703e08497","      1","root","no rank","1.0000","","","","","","",""
"d3368930ad7d79a02fccf3e890a7fe236c873e3b","      1","root","no rank","1.0000","","","","","","",""
"553afd6abf63bd86c330e8a4e8bb8d9e5f535a58","      1","root","no rank","1.0000","","","","","","",""
"612767f9eab3a88ca4c2f5ed2e91dc48f4cb9606","      1","root","no rank","1.0000","","","","","","",""
"6f0234b83f093e42866328f18229fd549456cd19","      1","root","no rank","1.0000","","","","","","",""
"22980cec2b23949826e6d1f769cba2f074ce3b8b","      1","root","no rank","1.0000","","","","","","",""
"c2bc8be3459fe7563683757fd630d58b3048f2f3","  43808","Orthocladiinae","subfamily","1.0000","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"1075232a493ed22f070a03b353b8f51e1dfd9f11","      1","root","no rank","1.0000","","","","","","",""
"435eb0f16dadd4497681333247b10b94fb51a30c","  43808","Orthocladiinae","subfamily","0.9999","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"f3ef605113437079aad1675303b928a1e54e1802","  43786","Culicomorpha","infraorder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"dd679026567fe800da003094c926fcd4622b5bf4","      1","root","no rank","1.0000","","","","","","",""
