"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","d4364bf5744dcd57c0b4aeed034e37b8ab36d975",131567,"cellular organisms","no rank",1,"","","","","","",""
"2","5fb2c5b8a1da76223c3c28c406e65c8483d5fc85",33154,"Opisthokonta","no rank",1,"","","","","","",""
"3","e9ae04a410735949efe3ed7149bb088bf3e57e70",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"4","4821fa1e196e2845c28e9b25ee25625ff669872d",2836,"Bacillariophyta","phylum",1,"","Bacillariophyta","","","","",""
"5","290d16fbe14c5c0b729585bcec94ae20e2a66f29",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"6","0adf7b9444acb6f8eb10175a487eef85ba324bcc",2836,"Bacillariophyta","phylum",0.9995,"","Bacillariophyta","","","","",""
"7","b4a254d6544f4bb2a1dd4f143fc4e4b213a18917",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"8","5b8326ca03801655d479f857c33c40ad6767f0a2",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"9","09a13a0b702d3550d7d8100040b3550264d27f64",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"10","c4915b20b2f60686dfd243ef015b51bdecf06f89",72532,"Tanytarsini","tribe",1,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"11","632fc231ae48a82b422d56899551151b21c9dfb1",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"12","fc807d59198735e63f02e89a2daee91b1f97bf87",2759,"Eukaryota","superkingdom",0.9761,"","","","","","",""
"13","07ae5fe0b10ebcaeea34469e038ed968044f70f8",1,"root","no rank",NA,"","","","","","",""
"14","8b484921b10a38f8a0d9f32478e83de371b0c3c0",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"15","7cead4d0a3a368df94b0ec77416c5781d0e50f74",33154,"Opisthokonta","no rank",0.9186,"","","","","","",""
"16","220b0c54076a23768398c0cc216f61c5ce943bdc",1,"root","no rank",NA,"","","","","","",""
"17","7256c7204ba1584c500741317ef61cf9420dd4db",33154,"Opisthokonta","no rank",1,"","","","","","",""
"18","8a744f7b0202352550d6594a43ecb514706005ba",43808,"Orthocladiinae","subfamily",1,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"19","19725f85d737a28b29c8d4c4b656dea4a0df1675",2836,"Bacillariophyta","phylum",1,"","Bacillariophyta","","","","",""
"20","bf42e98f394ea426a96985657c84f4ebdcbe884e",77744,"Chydorus","genus",NA,"Metazoa","Arthropoda","Branchiopoda","Diplostraca","Chydoridae","Chydorus",""
"21","a41903f26061e0750bea8135a7a82b66df6afd0f",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"22","7a675a965eda56bb67d4bfe0f062216e19a0cef5",4762,"Oomycetes","class",1,"","","Oomycetes","","","",""
