"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"580a64b0134da56e49bf06482ed6ee164d8a6ec5"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","  8098","Cottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus",""
"091608e9343c9f2c79ff64e3fcfbcdfbce8653bc"," 69292","Gasterosteus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"7c3a071d9b4e988f7367ae8ae7bf3ada64fdd9af"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"c6d586dc78d8ef5cac238cba2d5714407775bd69"," 33213","Bilateria","clade",NA,"Metazoa","","","","","",""
"be1bd85cbedd796b3b70618ed8248f5c66768c49","504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","  9881","Odocoileinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"2edf0a480d06e67f93bcbeae9edfac6b997d3fca"," 38609","Diprotodontia","order","0.9999","Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"76918abfaa90d218d683fdbc4f8024dd430d7d91"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"199e257a656754c51df04d3fccc696275d10a201"," 30962","Oncorhynchus clarkii","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"a7517d5f93621c76c69106131eab915faa19f6b4"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"0ecafcca90025eef2d7cc7e21e8a16227fcd0cb5"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"7d8d284f8419abb75e2ddb771080f1475447d26c"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"534b8708a986b734fffa0345eac2f5cc0ed2bb57","  7746","Petromyzontidae","family","1.0000","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"1c01db632f9ba165ce69ffa8ff3659e2f63c01d0","  7746","Petromyzontidae","family","1.0000","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"d1c346e6e75aea77a4d766b8faf43588bf15e344","  7746","Petromyzontidae","family","1.0000","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"df085b77e30362139da671ff30e6ea4f3697e682","504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"2817aafa6569f8200392aa55112177131860ad70"," 33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"e4d5f37f904242c1f7fa09ec752befcbf1b6f317","  7746","Petromyzontidae","family","1.0000","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"e7973b2b485602e4e940235898ddc4a6ba1e801b","504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"0af50c9e935876232e242db91bb835235691bf3a","  8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
