"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd",9881,"Odocoileinae","subfamily",1,"Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"2","580a64b0134da56e49bf06482ed6ee164d8a6ec5",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"3","c161735732d10ef81323d9b5812491897d2eb5ab",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"4","76918abfaa90d218d683fdbc4f8024dd430d7d91",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"5","63a7d0273f9bdd41fc062c411d5c529730a67ff1",337752,"Sciurini","tribe",1,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"6","c6d586dc78d8ef5cac238cba2d5714407775bd69",33213,"Bilateria","clade",NA,"Metazoa","","","","","",""
"7","ca4009e9f4961a466d717e77ddddcf64a374073d",8830,"Anatidae","family",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"8","bb87f4d05cc6774f5a47305343551793e64ea656",9126,"Passeriformes","order",NA,"Metazoa","Chordata","Aves","Passeriformes","","",""
"9","e14e1f15bc261b8f029873ea31fa9c11c74a28d9",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"10","23c619d6fffd998ebd33fc4a32feda91287ea49e",55153,"Sciuridae","family",1,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"11","45721731a9a394fddfa6c6f7409e02297ba8586c",9612,"Canis lupus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"12","23bf5f5d24f589cba120a8635ee13e9817d90a52",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"13","5760723c6e28c8e3422ee285d0f778f5923b74fb",30427,"Haemorhous mexicanus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus"
"14","f5b5aded2ca74ffb7f6b02448ffa90a36de662df",337963,"Neotominae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"15","da56b1b8cf1fb161ba73132aac5b3db82eed53bd",9611,"Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"16","9a33de19684dd94fef15cc285fa6e9a6a7284e64",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"17","060038ee970c3a87a7be3fe4ded995ee70e4781e",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"18","c24e95dbde7a3427f51629ee0cd5cd6f69cc5e56",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"19","fd6f171efdd5f89ac88b1f03ccb21e50ef80fb39",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"20","25b83d0918dcc786038dcdaf1e18f84156d66c63",314145,"Laurasiatheria","superorder",1,"Metazoa","Chordata","Mammalia","","","",""
"21","60f862653aeb87e2d63ea13f26455ce3a43bbf2c",9979,"Leporidae","family",1,"Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","",""
"22","86192beffdb20507fc83226d579f8a2f2676bb48",10009,"Tamiasciurus hudsonicus","species",NA,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus hudsonicus"
"23","5a7e5ebe5d3d6d76de3044040dccd1ab3d048894",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"24","de99103917cdf896c2129bcee3ed6d3f61b0fa94",8899,"Ardeidae","family",0.9968,"Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","",""
"25","2435eb1079be3ac735d5301e934ec881cf409ceb",9153,"Paridae","family",1,"Metazoa","Chordata","Aves","Passeriformes","Paridae","",""
"26","c6cb649a3099b3f66e1d20dc768f63c3c58f8ef4",9126,"Passeriformes","order",0.9951,"Metazoa","Chordata","Aves","Passeriformes","","",""
"27","6c10b5899bba357b017747ab42656440e6bd11e6",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"28","a48239a814ca2f97d04e6d8f3da83a28fb959072",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"29","298dae79d14c3c665b4a97bad3ba5129f4d3edf1",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"30","3d6805a33d82861249370295909b75949fd6d3f9",84832,"Molothrus","genus",NA,"Metazoa","Chordata","Aves","Passeriformes","Icteridae","Molothrus",""
"31","ee10a57b8e892ee72bf167c0efd0a15ec40cd488",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"32","59309486d84462893840a85fbdc4aeff89a26639",314146,"Euarchontoglires","superorder",0.9999,"Metazoa","Chordata","Mammalia","","","",""
"33","cd96104d5817e1d988581df7bd3e69e90fdb9b7a",9126,"Passeriformes","order",1,"Metazoa","Chordata","Aves","Passeriformes","","",""
"34","da86e55cb2b03c4f47a877c184e63d907a48bc4e",9072,"Phasianinae","subfamily",NA,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"35","4d2e7d035ba7b470e9fd980a40b9b2d3ddb042fc",44393,"Zonotrichia leucophrys","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia leucophrys"
"36","4e42cc29702d8a120abfa683a9aec205d1386ba6",9126,"Passeriformes","order",NA,"Metazoa","Chordata","Aves","Passeriformes","","",""
"37","96751cd5f71d830f39666f62d6de08e350b14ec5",9434,"Myotis","genus",1,"Metazoa","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis",""
"38","44788d7e28fa3d930d177785be4b0d41d52862db",38609,"Diprotodontia","order",1,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"39","a7517d5f93621c76c69106131eab915faa19f6b4",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"40","61602d6fd0323c47c860a36a1b77639d6ce625c8",9133,"Fringillidae","family",NA,"Metazoa","Chordata","Aves","Passeriformes","Fringillidae","",""
"41","f567384b2a1b55b1f1380360b42f191b4f64ebdd",1437010,"Boreoeutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"42","62ab1045b2aca6e72979d0bee0bcd083f1bffea7",9319,"Osphranter robustus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter robustus"
"43","182bc8da7cbcc10efec892510f56ea34fe8643a2",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"44","ba0104fb697fe1abcecbedf8a9b009b43d78750c",1,"root","no rank",1,"","","","","","",""
"45","de50006c0606a56568f714e8edd3a9d7dbaafd05",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"46","7c23ac26c1c5e06f1ae20ecb5e63f9fa4fb68550",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"47","02aaf3cd3aed8108f916d40649a12271d7c0dde0",9881,"Odocoileinae","subfamily",1,"Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"48","f1f6b3592566ea6f97551f9d8c4d7571e5d60dcf",9220,"Picidae","family",1,"Metazoa","Chordata","Aves","Piciformes","Picidae","",""
"49","a7ca236469c1051d91c8fa18e21f8d4d4725dc36",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"50","5433f97dacc41c9aa19cc32f05d56ea55e977527",400782,"Parulidae","family",1,"Metazoa","Chordata","Aves","Passeriformes","Parulidae","",""
"51","09c6e1785ec090a52b290777a5058509454bf61f",1,"root","no rank",1,"","","","","","",""
"52","438c6462968cec9141b9624af425076c0df41022",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"53","60bae576e1162a8312b8a84b4831b1a1fc8236a2",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
