"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","21492dc517642bd2cfe7f909c08bfe8c3e0b945b",33823,"Aphelenchoididae","family",0.9906,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
"2","b3261520ea4f69f29f387bc7c6386c6ca670cd8d",33823,"Aphelenchoididae","family",0.9998,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
"3","16fb345b02dfc18c58393d29c6e98807779b2732",33823,"Aphelenchoididae","family",1,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
"4","58c2b1c3ca2946c19f9332c367d9a5e1dd9a0ab6",50633,"Ephemerellidae","family",1,"Metazoa","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","",""
"5","0fcf7e6460963080e825f4d3f9f142a30c158a01",1365474,"Stephanodiscaceae","family",1,"","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","",""
"6","8afc3c81d9c4355c94a354e435897ae7e4a89d36",1365474,"Stephanodiscaceae","family",1,"","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","",""
"7","f7b041e2365ea0162e1e8225de39b31f21febd31",7149,"Chironomidae","family",1,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"8","b55656c3f7a1114072ce2f9345a93ae381135aab",77569,"Lumbriculidae","family",1,"Metazoa","Annelida","Clitellata","Lumbriculida","Lumbriculidae","",""
"9","209bf801921061e4881fb5b30db0ab82c17dd82b",5799,"Eimeriidae","family",0.9705,"","Apicomplexa","Conoidasida","Eucoccidiorida","Eimeriidae","",""
"10","ac3bea1709ab7fff2b85abc5eb5ba0bb7647ae0c",7149,"Chironomidae","family",0.9063,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"11","74f38aab3802d0b78538fd089495972f1f6fd5f0",36668,"Formicidae","family",1,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","",""
"12","18393db0869f06e45c98f798207d38be5265ae6c",50633,"Ephemerellidae","family",1,"Metazoa","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","",""
"13","4a2714fd48a88f95a61de26c2027d7f4c2c6d50c",7149,"Chironomidae","family",1,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"14","d19ce2bdd8795ffadb3553ac2bd99bd79ca6f9fc",2109251,"Naididae","family",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","",""
"15","dc5f1a79cd776318f9da96dceb54bb9e5443d7bb",33823,"Aphelenchoididae","family",0.9998,"Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","",""
