"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"2","8001433422f2dfb9b7333084b5ae4a31130f34f2",9653,"Procyon","genus",1,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"3","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd",9881,"Odocoileinae","subfamily",1,"Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"4","580a64b0134da56e49bf06482ed6ee164d8a6ec5",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"5","c161735732d10ef81323d9b5812491897d2eb5ab",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"6","5c024b1d5c5f25af45599d69bd92b8837b2ba62f",9987,"Sylvilagus","genus",NA,"Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus",""
"7","3fa5cad0e8bd81303eed0492a7c0dd91d85747be",9653,"Procyon","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"8","c6d586dc78d8ef5cac238cba2d5714407775bd69",33213,"Bilateria","clade",NA,"Metazoa","","","","","",""
"9","1eacd6b8e7ccfd00e53e98c9ff9ecee454f0f29f",9103,"Meleagris gallopavo","species",NA,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo"
"10","76918abfaa90d218d683fdbc4f8024dd430d7d91",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"11","f5b5aded2ca74ffb7f6b02448ffa90a36de662df",337963,"Neotominae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"12","e3bb86462242cc75b2d9159e96f588a2ca09a5d3",10114,"Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"13","63a7d0273f9bdd41fc062c411d5c529730a67ff1",337752,"Sciurini","tribe",1,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"14","2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"15","e65f511d819ef32a2941c6d56d076a8616b71c25",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"16","5dbce0075732b37e517721c275ba3c2e14e50196",9611,"Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"17","091608e9343c9f2c79ff64e3fcfbcdfbce8653bc",69292,"Gasterosteus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"18","0af50c9e935876232e242db91bb835235691bf3a",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"19","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",8098,"Cottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus",""
"20","f3b74c85c0bdd0beba57a87b50994f3a01ddd199",371919,"Pheucticus melanocephalus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Fringillidae","Pheucticus","Pheucticus melanocephalus"
"21","acb132e82e2ef43f8eac6c7e5dd85c551168b718",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"22","1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16",9611,"Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"23","ca4009e9f4961a466d717e77ddddcf64a374073d",8830,"Anatidae","family",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"24","30742d31b3cc7a387b96133d0998ecee07c83597",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"25","358d0def35bc8bcf2711011fb63f7fc511496cc5",1437010,"Boreoeutheria","clade",0.9999,"Metazoa","Chordata","Mammalia","","","",""
"26","5a0c3363fdff5328d9329fe07af54c881ec0fbf2",452646,"Neovison vison","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison"
"27","4c562c7a275414a00788a05c97abe672981ffcea",39087,"Arvicolinae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"28","215a1f59dbebd89ecaf8223653610b041c1e6baa",63520,"Piranga ludoviciana","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Thraupidae","Piranga","Piranga ludoviciana"
"29","600c3ffc12a39542606a5575eae4598e32b7a7ef",9220,"Picidae","family",1,"Metazoa","Chordata","Aves","Piciformes","Picidae","",""
"30","5a7e5ebe5d3d6d76de3044040dccd1ab3d048894",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"31","180046113845208f689e73af56f5eec48d462dec",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"32","c24e95dbde7a3427f51629ee0cd5cd6f69cc5e56",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"33","4c1a1b668bc13c2183571cc993ef9a20ffb811ff",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"34","ebfdc0a153d719a21b03b26c5b220ea447328d42",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"35","06a946d5a422494c1c67a9c47b31dc42cb821da2",40217,"Junco hyemalis","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Junco","Junco hyemalis"
"36","e3326d78fc42729ea464440aa62ec3ce02bd2829",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"37","36ff96b706bd295122b47e7c982a3b75f731f866",337963,"Neotominae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"38","3444727e70fffd5ecab6f16303976e812a7db959",38609,"Diprotodontia","order",0.9999,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"39","a0daaf1883d8676ffde9138de81c9c0fb02898dd",1437010,"Boreoeutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"40","23c619d6fffd998ebd33fc4a32feda91287ea49e",55153,"Sciuridae","family",1,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"41","9a33de19684dd94fef15cc285fa6e9a6a7284e64",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"42","880de629655fb36303b2094ea7f4c6cefad0ef5c",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"43","23bf5f5d24f589cba120a8635ee13e9817d90a52",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"44","31268e5b8e1aa518274534fbf128bb4d4b74c798",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"45","365b18eb9faef269be3cfc7cb5ae4beae10fac16",9159,"Passer","genus",NA,"Metazoa","Chordata","Aves","Passeriformes","Passeridae","Passer",""
"46","2afb8eb51b7a78b0a77b9fce48cc62ad7d0ca3f6",10114,"Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"47","feb3e9a85c140e1d7069726c88c9d4e1ea06cd18",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"48","a426780e439ff6e04e7c60b1ea9ca40b2376c047",13712,"Tamias","genus",0.9967,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","Tamias",""
"49","be929d59f95212d097434e07dd025e90b78d2b90",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"50","48cbf8b98f2fdaa8d203340c52074b26e3dcdaee",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"51","e2fe7bb3d7fdb8cf07e021471ffb48378ba164d6",337752,"Sciurini","tribe",1,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"52","de50006c0606a56568f714e8edd3a9d7dbaafd05",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
