"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"0d7b46cf177d5a0ea4665071f28f282d76010e50","  43808","Orthocladiinae","subfamily","1.0000","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"c86a9fb7abaab60bfb49285ab4fa9e11fe8f16dd","  43808","Orthocladiinae","subfamily","1.0000","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"33b5a24257919060718d5cb00eb0c2db077398ab","  43808","Orthocladiinae","subfamily","0.9992","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"435eb0f16dadd4497681333247b10b94fb51a30c","  43808","Orthocladiinae","subfamily","0.9999","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"aa07e23e6d0c007a6c74b65b61b1fcf8471e90e2","  72530","Chironomini","tribe","1.0000","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"efd1b8d9703f19838079230586b9f49c0b2c6e4a","  43786","Culicomorpha","infraorder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"cff271bd2ffb422a8cfea0ada0afb3508f7c13de","  84394","Ploima","order","0.8585","Metazoa","Rotifera","Monogononta","Ploima","","",""
"d5034a777c40ec145a5c38ec8255a8b7eb948398","  43808","Orthocladiinae","subfamily","1.0000","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"b1a7be705b16ce61ae8a3226291cb2b14ff91d20","  27402","Bosmina","genus","1.0000","Metazoa","Arthropoda","Branchiopoda","Diplostraca","Bosminidae","Bosmina",""
"ff2af10bb96877305ff42f8e50fb082030ea1060","  43786","Culicomorpha","infraorder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"6b320437f8807ffdbfab0d03ae60e463949bcff6","  43786","Culicomorpha","infraorder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"7ae896a79e2e24480ab43daf88d7a577c9e1b404","   7191","Simulium","genus","1.0000","Metazoa","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",""
"bb660789afb3531132b3be7815bcf8b49c73f739"," 245077","Acanthocyclops vernalis","species",NA,"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Acanthocyclops","Acanthocyclops vernalis"
"f3ef605113437079aad1675303b928a1e54e1802","  43786","Culicomorpha","infraorder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"8983f7f4b808cd7ab216010fc1a9afeb1f9b2a16","  70405","Nemouroidea","superfamily","1.0000","Metazoa","Arthropoda","Insecta","Plecoptera","","",""
"2a8003eb4103e30ac258304794df74b6101c4bab","  43808","Orthocladiinae","subfamily","0.9974","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"7e8c999e21367175d65b71e8ca83f386972a20c6","  30073","Ephemeroptera","order","0.9033","Metazoa","Arthropoda","Insecta","Ephemeroptera","","",""
"24507f72e63b65f783a19480224d84d4bd563588"," 149990","Parachela","order","0.9973","Metazoa","Tardigrada","Eutardigrada","Parachela","","",""
"6b3934f8d27904bc265eac1e49b81f572b9897a6","  43786","Culicomorpha","infraorder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"c9311f55049baf1ac1e360a31003193ebcd51986","  43786","Culicomorpha","infraorder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"f6223113a3900348ad489af584b56ea4ec847b20","  84394","Ploima","order","0.9885","Metazoa","Rotifera","Monogononta","Ploima","","",""
"00fd59fdb9ce609949e5790ec3d5afe527e958d7","  33283","Tylenchomorpha","infraorder","1.0000","Metazoa","Nematoda","Chromadorea","Rhabditida","","",""
"ea552555c8c2ace27950f5e8084b47dec16f10a3","  84394","Ploima","order","0.9999","Metazoa","Rotifera","Monogononta","Ploima","","",""
"39a99378c5043c4ad40589fdd49f881b6a3e5cf8"," 204737","Keratella","genus","1.0000","Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"01d31eaa7fe8ec42b56e02facdbcf365591dff42","  43808","Orthocladiinae","subfamily","0.9947","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"a537f78fc1645a8126cbc7190b862bcb1c0349f6","   6236","Rhabditida","order","1.0000","Metazoa","Nematoda","Chromadorea","Rhabditida","","",""
"468e9f409d7ab2c86c18c370547031cdc936c0d6","  30073","Ephemeroptera","order","0.9033","Metazoa","Arthropoda","Insecta","Ephemeroptera","","",""
"c918d01b4143660bc3c0234c42a37be1800e4e87"," 149990","Parachela","order","1.0000","Metazoa","Tardigrada","Eutardigrada","Parachela","","",""
"0f891d25379ee21e4614109a95e68d040ba8688b","  30073","Ephemeroptera","order","0.9033","Metazoa","Arthropoda","Insecta","Ephemeroptera","","",""
"73e0b30a16f982121cbe6e5282e5d55779c454ca"," 392043","Botanophila fugax","species",NA,"Metazoa","Arthropoda","Insecta","Diptera","Anthomyiidae","Botanophila","Botanophila fugax"
"15f952be388bfd54f35934973fcdc4b83c6e6f89","  70222","Plectus aquatilis","species",NA,"Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Plectus","Plectus aquatilis"
"d497fdc8e6011f67c9537b56e1fae7387f5cf6e9","  84394","Ploima","order","0.9999","Metazoa","Rotifera","Monogononta","Ploima","","",""
"33dae53d5fb3f6bd70515c5bd0cab6dc1c96c40e","  84394","Ploima","order","0.9981","Metazoa","Rotifera","Monogononta","Ploima","","",""
"4be7255ad9735db15fdc01d53cd378e5c9a8d88d","  84394","Ploima","order","0.9999","Metazoa","Rotifera","Monogononta","Ploima","","",""
"5da80e8bf6d32c84c9462d0bfce47c8db0074d18","   9307","Macropodidae","family","1.0000","Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","",""
"e8bad1d687eacc8800aa35d4dfa0287b74b6c396","1113332","Pterocomma smithiae","species",NA,"Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Pterocomma","Pterocomma smithiae"
"d6a271b3f51d56ecc0ca212451e9964a34eeaa2e","  84394","Ploima","order","0.9958","Metazoa","Rotifera","Monogononta","Ploima","","",""
"744c97b7b7b07e7bce6c545744e09f73b1ce4fa6"," 205101","Keratella cochlearis faluta","subspecies",NA,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella","Keratella cochlearis"
"2d0196f547d22f86a70f1da38d865b3dc71e4ee5","  84315","Cyclopidae","family","1.0000","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","",""
"104ec7e7c63e2ca9b4652d55fae44fd2c4e0e255","  43786","Culicomorpha","infraorder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"752036fc33c7e5d37fd6817ee4222388d1d6dc2d"," 149990","Parachela","order","0.9930","Metazoa","Tardigrada","Eutardigrada","Parachela","","",""
"e19f4d4a3737b3050ec536f90261db28705f984a"," 204737","Keratella","genus","1.0000","Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"55059f516f771e2a3d8e71de37120e26654c5243","  72532","Tanytarsini","tribe","1.0000","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"1b8fdd32069da28c7d0ec6da81be9f4768f3dab1"," 149990","Parachela","order","0.9973","Metazoa","Tardigrada","Eutardigrada","Parachela","","",""
"4861c4b9d8d29b1af954aa52c1028dfaf3502df9","  84394","Ploima","order","0.9999","Metazoa","Rotifera","Monogononta","Ploima","","",""
"246a8869e7776406565324ef1ae01ecb19a4e704","  72532","Tanytarsini","tribe","1.0000","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"a2e360ed6646524eb2a940e8ec37c80587d9a62b","  30073","Ephemeroptera","order","0.9033","Metazoa","Arthropoda","Insecta","Ephemeroptera","","",""
"7489595ccc3fe45361fbf8d08201cc7addefebed","  72532","Tanytarsini","tribe","1.0000","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"3eda872a524fb2ec10d51fcf35e7a7ad060e2437"," 149990","Parachela","order","0.9999","Metazoa","Tardigrada","Eutardigrada","Parachela","","",""
"142e4db771ae5d9b5a27fe311e1b49fa6e55d58d","  84394","Ploima","order","1.0000","Metazoa","Rotifera","Monogononta","Ploima","","",""
"8d7fad852b461aa28cb30dd033cfb79ed740795d"," 231623","Rotaria","genus","1.0000","Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"b0e9cec4f74c84471983e7b83a2478982bf7ac04","  30073","Ephemeroptera","order","0.9033","Metazoa","Arthropoda","Insecta","Ephemeroptera","","",""
"84eefb638ffddfca2123255e88f5defb3d279481","  43786","Culicomorpha","infraorder","1.0000","Metazoa","Arthropoda","Insecta","Diptera","","",""
"1027731453dc6ee53af993dc2156f1886de66b32"," 313557","Cochliopodium","genus","1.0000","","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"f09aa671861f4020e9a4d1092e4c717d8198c510"," 204737","Keratella","genus","1.0000","Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"3b3a011f995be56ac1fa1e2f0d7923f8a9a37f9c","  84394","Ploima","order","1.0000","Metazoa","Rotifera","Monogononta","Ploima","","",""
"4efc2613a7d5e0e9a36f2c33e286bc1724781e1f","   8019","Oncorhynchus kisutch","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"1ddf70906ec0401257a00c33387e17b9709d1e91","1969545","Limnodrilus hoffmeisteri complex lineage VII","subspecies",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","Limnodrilus","Limnodrilus hoffmeisteri"
"6a404a966efca1ddffe01414f8df455e49ec170b","   9307","Macropodidae","family","1.0000","Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","",""
"6dc3272856554d6951bac868ff7385ac76814153","   6383","Tubificina","suborder","1.0000","Metazoa","Annelida","Clitellata","Haplotaxida","","",""
