"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon"
"1","c6f3c8eb52e7a968233cc662521c244f41d47a6a","order",NA,"Bacillariophyta","Coscinodiscophyceae","Melosirales",NA,NA,NA,"Melosirales"
"2","3370159413b5a23a3f78491af7baad48247f6709","species","Metazoa","Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Baetis bicaudatus","Baetis bicaudatus"
"3","0931cc24ed75a22b66ea7a027fc890d17f08db52","class",NA,"Bacillariophyta","Coscinodiscophyceae",NA,NA,NA,NA,"Coscinodiscophyceae"
"4","883c2445314de9048d37e51e06c34db7b1aac2c0","species",NA,"Oomycota",NA,"Peronosporales","Peronosporaceae","Phytophthora","Phytophthora frigida","Phytophthora frigida"
"5","11cc42785513d2392d474f945f2af88983cbda4d","family","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae",NA,NA,"Parmeliaceae"
"6","68a6474797cb53724091b3faa570d82f7f4d68ec","phylum",NA,"Oomycota",NA,NA,NA,NA,NA,"Oomycota"
"7","e947f3948e5d95eaa640e5440c4700b675363bd0","species","Fungi","Ascomycota","Leotiomycetes",NA,NA,"Leohumicola","Leohumicola verrucosa","Leohumicola verrucosa"
"8","1afe509aefc387d2ec453c2c1b7a587c904865ce","class","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Sordariomycetes"
"9","b836ef53a2e54629166d048641fa012e6cb80066","genus",NA,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia",NA,"Pseudo-nitzschia"
"10","b89bf5783388377ab61882949a78afdbf4514696","class",NA,"Bacillariophyta","Coscinodiscophyceae",NA,NA,NA,NA,"Coscinodiscophyceae"
"11","104b48e605a124cb045f11b4e4059ee0610204c1","family","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,NA,"Nectriaceae"
