"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxID","score","taxon"
"1","580a64b0134da56e49bf06482ed6ee164d8a6ec5","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"consensus","consensus","Dicamptodon"
"2","c51ba26786eb5812df3c3d681e5755e302ae36ac","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","consensus","consensus","Perca flavescens"
"3","c6d586dc78d8ef5cac238cba2d5714407775bd69","species","Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","consensus","consensus","Bos taurus"
"4","8e5fb424831d8863aa9ddae5847022470ba0f1a9","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"consensus","consensus","Cottidae"
"5","ca4009e9f4961a466d717e77ddddcf64a374073d","genus","Metazoa","Chordata","Aves","Anseriformes","Anatidae","Anas",NA,"consensus","consensus","Anas"
"6","5d2be06aa1ff742a96eae7b10b30f83e45e7047a","genus","Metazoa","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax",NA,"consensus","consensus","Phalacrocorax"
"7","097a152c219da9af2fd576074865eb81e7bfd7c2","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"consensus","consensus","Cottidae"
"8","f2a25ce492a30a4768da727b9f52dd7dbc9c9c3f","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","consensus","consensus","Oncorhynchus clarkii"
"9","fd0f9ab975371e1ffcf2abb49fbe0f9193f83c99","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"consensus","consensus","Cottidae"
"10","e57c51158619fccc3fb62acfd0583380b9c627e3","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","consensus","consensus","Oncorhynchus mykiss"
"11","5a40ba128affb337e0f4ef136d888fd9001599dd","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","consensus","consensus","Oncorhynchus clarkii"
"12","f78e25ea3cd72ae2175b33d8fe81e921b6cc36bd","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"consensus","consensus","Cottidae"
"13","9c7862e78c6125096094eb37008bbb6febcbeaa2","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","consensus","consensus","Oncorhynchus clarkii"
"14","5283992258b3263ebe315aff962006eae1c76627","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","consensus","consensus","Perca flavescens"
"15","30653d8276bc10f8ff41fe57c6a7ea5092df4092","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"consensus","consensus","Cottidae"
"16","d6d7333ba5d29b5c2437d8be4ef0426e4b543437","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"consensus","consensus","Cottidae"
"17","0f6c3c2dd10fca4be78a15c7c2a227e7ea298d40","genus","Metazoa","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",NA,"consensus","consensus","Epeorus"
"18","6b932fc0195945c54561b77fdf95c2b361d77887","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"consensus","consensus","Dicamptodon"
"19","d850301399f367fa5261a6e0ff3ff3c9629dc194","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","consensus","consensus","Oncorhynchus mykiss"
"20","356c9e8e032ccd933d99e6e70be0f03d79687d91","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"consensus","consensus","Cottidae"
"21","861a5b665ecb74d74f7408dc2a49fb5de92793e6","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","consensus","consensus","Oncorhynchus mykiss"
"22","2c753ecadecff44576c280a2c44a93bd3e326c95","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","consensus","consensus","Oncorhynchus clarkii"
"23","bd2f7a173fd3c733d5234b14bff67d4c2dd58316","genus","Metazoa","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax",NA,"consensus","consensus","Phalacrocorax"
"24","1b0a7e6eae9c451c3bf3a636331436d5cb037572","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","consensus","consensus","Perca flavescens"
"25","97b6884dc34e40c08d9c3679f041859aa94f904f","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","consensus","consensus","Oncorhynchus clarkii"
"26","bc56a2be1b74b1bbd5ef45d8c2af3aea3efbb54f","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"consensus","consensus","Cottidae"
"27","97a550a41a291f4645061c2e3f02a91c3d4de78b","genus","Metazoa","Chordata","Aves","Passeriformes","Turdidae","Turdus",NA,"consensus","consensus","Turdus"
"28","23c619d6fffd998ebd33fc4a32feda91287ea49e","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"29","9c97beb16679ecb7372370a34b07e5df5923ff76","family","Metazoa","Chordata","Aves","Passeriformes","Fringillidae",NA,NA,"consensus","consensus","Fringillidae"
