"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon"
"1","29c5193eb0e4e364b7127ff7590e8eb751d24740","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii"
"2","23bf5f5d24f589cba120a8635ee13e9817d90a52","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss"
"3","7ed525639c40b9418b4743e59f833fa5b3bdf355","species","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas","Pimephales promelas"
"4","08138115cd3348ae7df3386366b72d3f2c9c799f","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"Cottidae"
"5","f00a9a74f043fbe6fc27d3e155a6e44ecf3c0f11","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"6","18e037be8d4b3d7ff078a6a7f93a36824a74af4c","family","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae",NA,NA,"Leuciscidae"
"7","be471fc50919fc3fef3fd721b6dabc9ccd707821","species","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas","Pimephales promelas"
"8","dc78ea7000749cdaa33f9199c52df6f0f90be099","family","Metazoa","Chordata","Aves","Passeriformes","Turdidae",NA,NA,"Turdidae"
"9","be1bd85cbedd796b3b70618ed8248f5c66768c49","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch"
"10","7cbe946625f416ad59615f0ddca7884268f33de2","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"11","6f74ea5d6a7d9a8f2d3fc543c6652a3c85e75e3d","order","Metazoa","Chordata","Mammalia","Diprotodontia",NA,NA,NA,"Diprotodontia"
"12","a7517d5f93621c76c69106131eab915faa19f6b4","genus","Metazoa","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",NA,"Epeorus"
"13","75e73e13ea568bb911b99e63cc8a634d76007bff","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","Perca flavescens"
"14","4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b","species","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas","Pimephales promelas"
"15","f2cd49b8de739c1d861686981591382353ee740c","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","Perca flavescens"
"16","fe72cd5c92fc95d33982bc5916c5d015404e2977","species","Metazoa","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Lepomis","Lepomis gibbosus","Lepomis gibbosus"
"17","b691daf5f3e55296cbb67deae952dd7956d05afd","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"18","612b5c4dd09654241a7d4507f9440c98bf19cee7","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss"
"19","64acd71396ce9fd7a044de196d7f1e36a58c8f32","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"20","406fa60aca9050eb5a745a0151f0b0d8f8f925d3","family","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae",NA,NA,"Petromyzontidae"
