"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","091608e9343c9f2c79ff64e3fcfbcdfbce8653bc",69292,"Gasterosteus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"2","c4f793f214b4797a41cbee59b06acb41f4c38601",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"3","a541e363cb43edf898d30bc72c605a15295ca279",69292,"Gasterosteus","genus",0.9996,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"4","df5823fe2a8d10862daf8b3122776f35f7432a10",69292,"Gasterosteus","genus",0.9996,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"5","471e79a5296218d92da79623f4a5b9f0494cb457",9434,"Myotis","genus",NA,"Metazoa","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis",""
"6","6b62cb49827add1486b1f50f6e5c442dc78756d8",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"7","f643b2f3a82df74c5d2960936c2e014d060e3a22",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"8","9a7efd07611ee7040d6cb54525c9577ff620ceff",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"9","bfa2079293edd4c2929d2b4a350ff6c366c410b5",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"10","e368135f1f80a3dbb955ae387fb0fea06cbe4a7f",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"11","fb2fc3b043c98c512d1bf2becfb8f32ed2ab0c04",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"12","f508aa2c7ac6fb7774bd234785a5d5a0d9bfe1af",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"13","c36de2f97f1e499dcb7519b773162f03e82e79b7",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"14","163e6486e6af0fdd07e9e23613560494a2cb69aa",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"15","7dbf395943f2d5fbcd48d1ecf04177754e45897c",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"16","8e352ae22ba9910557dc96f252478fdcd333ea60",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"17","5c024b1d5c5f25af45599d69bd92b8837b2ba62f",9987,"Sylvilagus","genus",NA,"Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus",""
"18","283644eb8d941b9a13d3362d651fe1e62f80f90d",69292,"Gasterosteus","genus",0.9996,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"19","fd1db39cdfb63cb59fde8427d0cdb9a8d7bfe7f8",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"20","e3bb86462242cc75b2d9159e96f588a2ca09a5d3",10114,"Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"21","ab20adb2f565faa4c2dafcd3ae4149b331904014",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"22","080414d0bb67438c6fccb4bec9182ce0510a1d58",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"23","66fb384732741dbf52dc01b1552bdfa53fa619b9",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"24","d330ddf0a2a0c096d1f61432854aeeff740d6057",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"25","b4442c2ae269e1acfdb9d603b17033c061d90e8a",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"26","36407875cc923275d51190ecc01211e3e41564d4",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"27","89e2d20999fe3c3d0c9521bfb496f072a09590b6",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"28","e65f511d819ef32a2941c6d56d076a8616b71c25",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"29","8ca724635221340c6b4ee2d1081994aa500c9c1d",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"30","44ac2ce445bc278084d598fb82d267fb5c2a63e3",9605,"Homo","genus",1,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"31","dd28e16bf1e48a6808059b3cc5e6c3e8fd917dc0",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"32","cc7ddb41c2ce0eb464889d51bab2f23d42c4f437",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"33","3fa5cad0e8bd81303eed0492a7c0dd91d85747be",9653,"Procyon","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"34","cb0cf229832374ff8f4ce89c20348a90da9c04e1",90988,"Pimephales promelas","species",NA,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas"
"35","7aa929fd12fc38856e105d3092ae8752af4b44da",9321,"Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"36","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a",2012981,"Lampetra sp. CBM:ZF:17561","species",NA,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Lampetra","Lampetra sp. CBM:ZF:17561"
"37","814bd62cd7f0891ddea80fac0be25f86af95d790",90988,"Pimephales promelas","species",NA,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas"
"38","d15e926efd8720231adb32a8b4e6e40608827676",27778,"Ameiurus nebulosus","species",NA,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"39","f3d5863f9d49fc73652ae616bd0a22b9ab62d094",182677,"Neurotrichus gibbsii","species",NA,"Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","Neurotrichus","Neurotrichus gibbsii"
"40","78c6cda8f1613447cf0cc79a3e7f659d9b9d608b",8032,"Salmo trutta","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"41","da83c719cc06209b92f6b2c6a335a055a2db77cf",9823,"Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"42","cf62a26ab8c1b5312a68133cb90988e0b24ee387",9612,"Canis lupus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"43","ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab",9823,"Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"44","827f99ae61c4f9a80e1b415ff8de0c02d35659dd",95650,"Pipilo maculatus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus"
"45","eccfd48eb4674a8cfcb69e95f0a2b4abc5a80ea8",9612,"Canis lupus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
