"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","e3bb86462242cc75b2d9159e96f588a2ca09a5d3",10114,"Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"2","4d599bf71d8ba588d94d18e520b7f12419c17cd6",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"3","091608e9343c9f2c79ff64e3fcfbcdfbce8653bc",69292,"Gasterosteus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"4","334d14d4c60937f5fd35b2803afc9d66a7408620",8295,"Ambystoma","genus",0.9997,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"5","052d18a1a6f40077add20bb33ad60dfadcfb86fb",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"6","deaadc11b0189c975741718d011ab0f6897f6066",10114,"Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"7","8005d06b5717f047aac5d6ee7238b50bd1f9a895",8867,"Cygnus","genus",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","Cygnus",""
"8","e9641671a85dc5e33d0d65806d441032b1375e9b",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"9","00a087f7239da5d4c077535f394c6bc1868e04d3",9935,"Ovis","genus",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis",""
"10","5a666e6ab10b8542143aa8e2949b7ffdac0a0629",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"11","ea62e2e47d7dd107663f724d398ad768284fd5fb",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"12","3e20d1d38c970172540aa32f850086fcf5f7557e",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"13","21172a93ab34a2c825ff5680bbceecf51bcbf7f9",9653,"Procyon","genus",1,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
