"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","36683d7032f8baf2707b0cc8fb43833e46ccc136",467035,"Diphascon","genus",0.963,"Metazoa","Tardigrada","Eutardigrada","Parachela","Hypsibiidae","Diphascon",""
"2","50035903d30ead9e781afb8e143dcf79507f14f3",97226,"Gomphonema","genus",1,"","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema",""
"3","e8a1d4a59246ce995393486773d5a9ff79b50ab1",97226,"Gomphonema","genus",1,"","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema",""
"4","0f21f9b6cf0b395b84ca9f9cfc3e7d90fdc862b1",1156569,"Polyarthra dolichoptera","species",1,"Metazoa","Rotifera","Monogononta","Ploima","Synchaetidae","Polyarthra","Polyarthra dolichoptera"
"5","a51a5e3a1c5b68bca299e9bafc87773d0f8215ea",51338,"Castor canadensis","species",NA,"Metazoa","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis"
"6","1bad710d1ce8db5392d59e632c2875122b6e667f",6543,"Arion rufus","species",NA,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion rufus"
"7","bc8a7e1f338e757a182159228324ed173a2f681c",391768,"Chironomus whitseli","species",NA,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Chironomus","Chironomus whitseli"
"8","a4edfee5211dfdad0ff8816935f95d1ec22b541a",1073088,"Deroceras invadens","species",NA,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","Deroceras","Deroceras invadens"
"9","2d1f0280c125d8b20b76d4d5124ee777a4c48c24",565147,"Dendrobaena attemsi","species",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Dendrobaena","Dendrobaena attemsi"
"10","186744d4c7de3ad98815eb96c88c8ffbe7aca380",253456,"Prophysaon andersoni","species",NA,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Prophysaon","Prophysaon andersoni"
