"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8",39087,"Arvicolinae","subfamily",0.9468,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"2","674af3b33c7bae7701e8234ea49ccd2c64e251d3",32523,"Tetrapoda","clade",1,"Metazoa","Chordata","","","","",""
"3","1d9c79934127687c5695d31ec87c6e1a8762723d",9979,"Leporidae","family",1,"Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","",""
"4","9c97beb16679ecb7372370a34b07e5df5923ff76",37599,"Carduelinae","subfamily",NA,"Metazoa","Chordata","Aves","Passeriformes","Fringillidae","",""
"5","e949919da98e5306e2e0256d20339908ccb29c81",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"6","73bd07c218ab7e4ae33a1653d793820dc5cbb2c4",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"7","5ec793e1fa5b1af03b12d12d1f83d8206437e32c",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"8","a50124b9266a0eb0c87fe119cb9cefe63a948734",337963,"Neotominae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"9","bd0035049d9540b3b4f593e82ad1c77adddd9921",8830,"Anatidae","family",0.9962,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"10","be1bd85cbedd796b3b70618ed8248f5c66768c49",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"11","3444727e70fffd5ecab6f16303976e812a7db959",38609,"Diprotodontia","order",0.9999,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"12","a1e9fcf50d7a6b6981a4ee396ec595ed81e24e0e",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"13","a05528c413125215bde6d2205cba6d625e7228f9",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"14","104cd8b505413febe007af9b157d44c05f6316a0",8830,"Anatidae","family",0.9964,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"15","3f4244f5f9fad0d75922a1569d94ab3eb33f3c86",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"16","3fbf788f1c2636c3191deb6273665cb86db852d9",33213,"Bilateria","clade",0.9344,"Metazoa","","","","","",""
"17","1253c453616d5428cb079ffadb26eacdaa44588c",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"18","7fbfe2c57d2acda04680a67874efb6d865db0a97",9347,"Eutheria","clade",0.9999,"Metazoa","Chordata","Mammalia","","","",""
"19","6a201abd1d3ac2a687b67be26aa88d80872ed628",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"20","72a7f8663817f9ad988cb7648f85d33f98d258d7",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"21","9e5a587b3445b4c5e7acbb8ed13e59411b6a8b27",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"22","26687294c098bffbb9a67cd3955ac0597b76e24a",126287,"Didelphinae","subfamily",0.9999,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"23","71af3877e5027588b85b33c8f9610503cdf2af74",32523,"Tetrapoda","clade",1,"Metazoa","Chordata","","","","",""
"24","cf02c7ac513865d632d7fcda290bf109dbf1b8f5",9347,"Eutheria","clade",0.9993,"Metazoa","Chordata","Mammalia","","","",""
"25","308db18c6bf1525b24967bd6b8226a33664efb18",504568,"Salmoninae","subfamily",0.9958,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"26","014379c43ccdafb1ab3f71417144ded8ee254e7a",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"27","5c3496567394d3a30f2827bf85811435f093d835",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"28","71892e2b7f0fd32f93e3686338fc51d1aa2a6a4a",183663,"Soricinae","subfamily",0.9846,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"29","c84e42605c03a126ea41adece7c6e0b077fcefff",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"30","4139cc4fa1f13b573dab596d1cfa19518ddc246b",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"31","23c028aed3e55ece7d6dd3dfa4e93a0defff131b",9126,"Passeriformes","order",0.936,"Metazoa","Chordata","Aves","Passeriformes","","",""
"32","3bc4f1bac2e4baecd9b210ab909e63d766edcf19",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"33","0b34556c93828447d5183be47f47768c88c6e05c",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"34","6f93809b6bc63b61b0d350733addd08a6ab86f2e",8899,"Ardeidae","family",0.9925,"Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","",""
"35","2c89d33051547d287b66c7779c8a52499f8d0329",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"36","4efe675016c464c3220dcb566fc715559a5c1f4e",8830,"Anatidae","family",0.9963,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"37","2aabdc69f5f7834996039f4029fa03ecfe70ffc0",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"38","d44650aa63984723c4bb0aa0fec4e806e19d3f4b",33213,"Bilateria","clade",0.9516,"Metazoa","","","","","",""
"39","d7e9d3272d199f80c92efe9d80cbca5bef6d4fb3",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"40","0b19869fd0acbf15c5eaac9aca77104403ac0584",337963,"Neotominae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"41","a1bb23180a60b999c8d34cebb59b701acaaaf72c",337752,"Sciurini","tribe",0.9996,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"42","e90cb50c95abca6c27ea5a0ed733b60795c2bd88",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"43","ac34a352a5d7b37c85722b4e5597d00db11c5f06",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
