"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","4aab721e7a5aa2eb762b1b3c4993e93842acb431",2759,"Eukaryota","superkingdom",0.9999,"","","","","","",""
"2","2ec78f4e561eff6f145269b3281cf497f7627dca",2836,"Bacillariophyta","phylum",0.9995,"","Bacillariophyta","","","","",""
"3","11c3f4bcb9b4d7691a3e0bc2b049d997df820fe2",1,"root","no rank",1,"","","","","","",""
"4","8278f17acfb259439877603a23a8314c3af064f6",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"5","87ba0421fb51964f19c8fa2d310dfb9a0a7e36a5",1,"root","no rank",1,"","","","","","",""
"6","f0d09d00944b2ba48b61b4bbecb2e738c3cb8b16",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"7","e9ae04a410735949efe3ed7149bb088bf3e57e70",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"8","4ea75560f13adb08dc229ee20e139d3156f244dd",1,"root","no rank",1,"","","","","","",""
"9","3c41ac759f0e980a008efe5d96ff13e51aad1909",2836,"Bacillariophyta","phylum",0.9972,"","Bacillariophyta","","","","",""
"10","290d16fbe14c5c0b729585bcec94ae20e2a66f29",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"11","bd907eebe8c54fc35994d00b3318b898ebb79a51",2836,"Bacillariophyta","phylum",0.9995,"","Bacillariophyta","","","","",""
"12","435eb0f16dadd4497681333247b10b94fb51a30c",43808,"Orthocladiinae","subfamily",0.9999,"Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","",""
"13","751b2fc80d7156e8463bcbb25fcf267eddd9457e",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"14","632fc231ae48a82b422d56899551151b21c9dfb1",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"15","a2b492c5b8b21bd2b9ec216d96eb001b102e578d",2759,"Eukaryota","superkingdom",1,"","","","","","",""
"16","6fd8f7e5bfd941d475e6bec6ef361dedbfd85a6b",1,"root","no rank",1,"","","","","","",""
"17","7fcf8ab238c7b5c792191ef8d9113bb83cb93c97",131567,"cellular organisms","no rank",1,"","","","","","",""
"18","710252f6a8b4028dcd560de4055c65e6b3dc6c25",1,"root","no rank",1,"","","","","","",""
"19","44e243b439736bfac18b1bf6d92f98eb5c01247c",2759,"Eukaryota","superkingdom",0.9914,"","","","","","",""
"20","9e25bd6c089c4e6ad5c653d1bfeb5bdefa090b51",1,"root","no rank",1,"","","","","","",""
"21","6fe4801a3caa0ed7d9bbae761dce12731007a8e6",1,"root","no rank",1,"","","","","","",""
"22","5fb2c5b8a1da76223c3c28c406e65c8483d5fc85",33154,"Opisthokonta","no rank",1,"","","","","","",""
