"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"1","4aab721e7a5aa2eb762b1b3c4993e93842acb431","genus",NA,"Oomycota",NA,"Peronosporales","Peronosporaceae","Phytophthora",NA,"Phytophthora","consensus","consensus"
"2","435eb0f16dadd4497681333247b10b94fb51a30c","family","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA,"Chironomidae","consensus","consensus"
"3","b7220d233106989b67bfa40ad077b5a4fda917bf","species","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Brillia","Brillia sp. BOLD:AAN2569","Brillia sp. BOLD:AAN2569","consensus","consensus"
"4","6a89863f9c758ccef58102b6db2d845a60e18fdb","kingdom","Metazoa",NA,NA,NA,NA,NA,NA,"Metazoa","consensus","consensus"
"5","000082ea4a273eafa547a3d94bb9f1a4f838fa03","class",NA,NA,"Dinophyceae",NA,NA,NA,NA,"Dinophyceae","consensus","consensus"
"6","331629b7ed12282d28df304a8c8680f00d59185f","class","Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA,"Eurotatoria","consensus","consensus"
"7","8b868bdff43936de569d770b96c658d4e255c676","class","Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA,"Arachnida","consensus","consensus"
"8","0dbdb30a5bb14727854eb8442c8abd5d9be82ce5","class","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Sordariomycetes","consensus","consensus"
"9","4b3cdac308d0b552f96dad85f60bfda34674fd8a","phylum","Metazoa","Nematoda",NA,NA,NA,NA,NA,"Nematoda","consensus","consensus"
"10","ca7373fd3f45955a47d890eb8469349659ba30ec","phylum",NA,"Oomycota",NA,NA,NA,NA,NA,"Oomycota","consensus","consensus"
"11","d2daeaff3d2f737fdbd82776833e7bb3284d7110","class","Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA,"Eurotatoria","consensus","consensus"
"12","104ff07beebd6145d07c99c6adc4d16f36fe9361","class",NA,"Proteobacteria","Betaproteobacteria",NA,NA,NA,NA,"Betaproteobacteria","consensus","consensus"
"13","63f4fd558c89f7f268b0d37c3999235b8c4ed0c0","order",NA,"Oomycota",NA,"Pythiales",NA,NA,NA,"Pythiales","consensus","consensus"
"14","d172aa96e91a4e276a9e109b21a875a9328ed791","species","Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Articulospora","Articulospora tetracladia","Articulospora tetracladia","consensus","consensus"
"15","8bebf60c4b8b60382321b128659c30c284721ec0","order",NA,"Oomycota",NA,"Pythiales",NA,NA,NA,"Pythiales","consensus","consensus"
"16","6ae456942c139d5b457430920cd52b1e00c89ed9","species",NA,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia palea","Nitzschia palea","consensus","consensus"
"17","d5e2f51372ff372e0eddcc17e3b6a174302ad485","class","Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA,"Eurotatoria","consensus","consensus"
"18","067883f2b376b97c81d2128588c2e11199f9d8e8","species",NA,"Bacillariophyta","Bacillariophyceae","Naviculales","Pinnulariaceae","Pinnularia","Pinnularia sp.","Pinnularia sp.","consensus","consensus"
"19","8eb2d5b631d4a2bb80ff2a0f6a3a7cdf9c625c58","phylum","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota","consensus","consensus"
"20","e25ac29b642f0e813d6eb9764e7e9e0828702a76","phylum","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota","consensus","consensus"
"21","4c66dccbcc689010580c44793e559ef1856f1a05","genus",NA,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia",NA,"Nitzschia","consensus","consensus"
"22","16988ffd70686e9d0642dab01078c6c7a18f0349","genus","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Acanthocyclops",NA,"Acanthocyclops","consensus","consensus"
"23","df0545579376fa367a8c979d84e5f4bdb6e86566","species",NA,"Oomycota",NA,"Peronosporales","Peronosporaceae","Phytophthora","Phytophthora bilorbang","Phytophthora bilorbang","consensus","consensus"
"24","23d04118532ce3eb5998b527b35551df5f4db862","order","Metazoa","Rotifera","Eurotatoria","Ploima",NA,NA,NA,"Ploima","consensus","consensus"
"25","c95ce7d562f4733c768f576237d3f840db4fa019","genus",NA,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia",NA,"Nitzschia","consensus","consensus"
"26","90854a14345290d5b47d5209eb789afaac6c4353","species","Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Articulospora","Articulospora tetracladia","Articulospora tetracladia","consensus","consensus"
"27","004fe7bd416f0a8ab4d7bb0552c164d31a60d724","order","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA,"Agaricales","consensus","consensus"
"28","a261597a26ca4f5da8947de322745704ac74bc75","class","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA,"Leotiomycetes","consensus","consensus"
"29","19bf694bc3ea6b203c82640fe3c95a2a058de3d9","class","Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA,"Eurotatoria","consensus","consensus"
"30","3745be94cb5b02c0788fd3884f9ae9c9f4fbe6c0","class","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,"Agaricomycetes","consensus","consensus"
"31","b7aa0dcee2ad62ee4e5681f97a1c8a23080c4176","genus",NA,"Bacillariophyta","Bacillariophyceae","Naviculales","Pinnulariaceae","Pinnularia",NA,"Pinnularia","consensus","consensus"
"32","aa845d66f08db9b6d602e882a155d333c9256451","family",NA,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae",NA,NA,"Bacillariaceae","consensus","consensus"
"33","f463437f3d692bf418c9f2b76583762f43cd551b","class",NA,"Proteobacteria","Betaproteobacteria",NA,NA,NA,NA,"Betaproteobacteria","consensus","consensus"
"34","4748ba1d38032b66716f065fadbef7c530c4f28f","species",NA,"Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","Gomphonema parvulum","Gomphonema parvulum","consensus","consensus"
"35","c93e76aa41d5aad633410aded38da5b4d85ff334","family",NA,"Oomycota",NA,"Pythiales","Pythiaceae",NA,NA,"Pythiaceae","consensus","consensus"
"36","171af9ea3c35cd9f8b6dd88d135324d4216c73f1","class","Metazoa","Nematoda","Chromadorea",NA,NA,NA,NA,"Chromadorea","consensus","consensus"
"37","1a2c26e19b93515cca3a136dd64c3d7e0c5ed64d","family",NA,NA,"Dinophyceae","Peridiniales","Ostreopsidaceae",NA,NA,"Ostreopsidaceae","consensus","consensus"
"38","8793f2bbb3e61ad3713db446d348854fc6e227af","genus","Fungi","Ascomycota","Leotiomycetes",NA,NA,"Leohumicola",NA,"Leohumicola","consensus","consensus"
"39","ea6bc78172eb7fe93ed295444184263613f662fc","genus",NA,"Discosea","Flabellinia","Dactylopodida","Paramoebidae","Korotnevella",NA,"Korotnevella","consensus","consensus"
