"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","c161735732d10ef81323d9b5812491897d2eb5ab",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"2","580a64b0134da56e49bf06482ed6ee164d8a6ec5",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"3","76918abfaa90d218d683fdbc4f8024dd430d7d91",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"4","63a7d0273f9bdd41fc062c411d5c529730a67ff1",337752,"Sciurini","tribe",1,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"5","c6d586dc78d8ef5cac238cba2d5714407775bd69",33213,"Bilateria","clade",NA,"Metazoa","","","","","",""
"6","ca4009e9f4961a466d717e77ddddcf64a374073d",8830,"Anatidae","family",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"7","f5b5aded2ca74ffb7f6b02448ffa90a36de662df",337963,"Neotominae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"8","23c619d6fffd998ebd33fc4a32feda91287ea49e",55153,"Sciuridae","family",1,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"9","9bb9b0ca0ff04246c282a4ecaa318c8af7a948bb",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"10","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd",9881,"Odocoileinae","subfamily",1,"Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"11","6a201abd1d3ac2a687b67be26aa88d80872ed628",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"12","6f93809b6bc63b61b0d350733addd08a6ab86f2e",8899,"Ardeidae","family",1,"Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","",""
"13","da86e55cb2b03c4f47a877c184e63d907a48bc4e",9072,"Phasianinae","subfamily",NA,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"14","09c6e1785ec090a52b290777a5058509454bf61f",1,"root","no rank",1,"","","","","","",""
"15","dac66c6958eb6715abd0243ec2f5592da97cb1f5",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"16","298dae79d14c3c665b4a97bad3ba5129f4d3edf1",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"17","7dae49817fac3bd37bd1ab61e10a98b36513016b",9685,"Felis catus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"18","f47dad9cb9d3cf52c86783898d849142bca1476c",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"19","52832db53013282ac9d722352b64d882bb4ddf36",38609,"Diprotodontia","order",0.9999,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"20","a0de50866a09243951862dbc8ca45a4cdc3bffbd",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"21","71af3877e5027588b85b33c8f9610503cdf2af74",32523,"Tetrapoda","clade",1,"Metazoa","Chordata","","","","",""
"22","6162577dad77b615bca5543992542e30cecfbe59",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"23","45c890edf81e9de77589080e0b5ff4b306291390",9526,"Catarrhini","parvorder",1,"Metazoa","Chordata","Mammalia","Primates","","",""
"24","674af3b33c7bae7701e8234ea49ccd2c64e251d3",32523,"Tetrapoda","clade",1,"Metazoa","Chordata","","","","",""
"25","922459c4f0ee9c073a69b57c95394a67c8edd86a",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"26","34496b13bf92b81ce9cdf89c65bb2e64ca5b3852",10114,"Rattus","genus",1,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"27","a509e6c3a18d5d776a8b71fd331a0f72d5fc18ca",338152,"Felinae","subfamily",1,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"28","88868f145c43408aa6c27982badd3cf6c7435c45",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"29","7bef4439bb4a7d16aff702f6a9aed9d750e66e69",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"30","37c2390b3ed79e0f3e825a98dc39359df5fb5405",33213,"Bilateria","clade",NA,"Metazoa","","","","","",""
"31","5a7e5ebe5d3d6d76de3044040dccd1ab3d048894",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"32","b245de1ca82ac7a2ac8703dd5bab5342d28bd4ab",9612,"Canis lupus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"33","9a33de19684dd94fef15cc285fa6e9a6a7284e64",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"34","7f1d99649c0636e370401ffdfa7af2332a73f670",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"35","bef923c4fc85efb095fe423affaf30d69a3126d9",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"36","d071447bb8ca2177c49e93535e90db16ffe738c3",39087,"Arvicolinae","subfamily",0.9999,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"37","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c",9126,"Passeriformes","order",0.9914,"Metazoa","Chordata","Aves","Passeriformes","","",""
"38","7eead34e363df27775f985a0cb2ce490701fcb19",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"39","59935306e064ee65c30b448fd33dd315a2d06546",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"40","432494d314a63b8174c361a5fb7aa57bcad4619e",9126,"Passeriformes","order",NA,"Metazoa","Chordata","Aves","Passeriformes","","",""
"41","a48239a814ca2f97d04e6d8f3da83a28fb959072",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
