"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"1","c161735732d10ef81323d9b5812491897d2eb5ab","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus","consensus","consensus"
"2","580a64b0134da56e49bf06482ed6ee164d8a6ec5","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"3","63a7d0273f9bdd41fc062c411d5c529730a67ff1","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae","consensus","consensus"
"4","c6d586dc78d8ef5cac238cba2d5714407775bd69","species","Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Bos taurus","consensus","consensus"
"5","ca4009e9f4961a466d717e77ddddcf64a374073d","genus","Metazoa","Chordata","Aves","Anseriformes","Anatidae","Anas",NA,"Anas","consensus","consensus"
"6","f5b5aded2ca74ffb7f6b02448ffa90a36de662df","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus",NA,"Peromyscus","consensus","consensus"
"7","23c619d6fffd998ebd33fc4a32feda91287ea49e","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae","consensus","consensus"
"8","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","family","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae",NA,NA,"Cervidae","consensus","consensus"
"9","6a201abd1d3ac2a687b67be26aa88d80872ed628","order","Metazoa","Chordata","Mammalia","Primates",NA,NA,NA,"Primates","consensus","consensus"
"10","6f93809b6bc63b61b0d350733addd08a6ab86f2e","genus","Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea",NA,"Ardea","consensus","consensus"
"11","da86e55cb2b03c4f47a877c184e63d907a48bc4e","species","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus","Gallus gallus","Gallus gallus","consensus","consensus"
"12","dac66c6958eb6715abd0243ec2f5592da97cb1f5","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii","consensus","consensus"
"13","298dae79d14c3c665b4a97bad3ba5129f4d3edf1","genus","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex",NA,"Sorex","consensus","consensus"
"14","f47dad9cb9d3cf52c86783898d849142bca1476c","family","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae",NA,NA,"Didelphidae","consensus","consensus"
"15","52832db53013282ac9d722352b64d882bb4ddf36","order","Metazoa","Chordata","Mammalia","Diprotodontia",NA,NA,NA,"Diprotodontia","consensus","consensus"
"16","a0de50866a09243951862dbc8ca45a4cdc3bffbd","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens","consensus","consensus"
"17","71af3877e5027588b85b33c8f9610503cdf2af74","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens","consensus","consensus"
"18","6162577dad77b615bca5543992542e30cecfbe59","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"19","45c890edf81e9de77589080e0b5ff4b306291390","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens","consensus","consensus"
