"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","e581511a85c97395241e8c0bcd3296f658835de4",10114,"Rattus","genus",1,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"2","a534d4f83c74750eaa61a5f15ae7ff7737ed7919",69292,"Gasterosteus","genus",0.9979,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"3","b9f433d38ddc0485623e8b341ee54a62e4153e52",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"4","59a00a7ae25cdddd4e16823aa7411a162e479068",69292,"Gasterosteus","genus",0.9832,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"5","bf8857e146d259b435da3b3ecda92b7d8e93170b",9611,"Canis","genus",0.9735,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"6","fcf12b4366a2f089a3a3b87b529c526cb2657e9c",69292,"Gasterosteus","genus",0.9992,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"7","82aace1aee49024fe92268819616077ab75d3f8c",9611,"Canis","genus",0.9998,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"8","63b7959bbc0453212dd3b7cd465ece3db654600b",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"9","83789b2f1200fa857a6d388511fda1051cc98435",9682,"Felis","genus",1,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Felis",""
"10","6fcfaa000784d24eeeb1ecac011c61a783b37331",9682,"Felis","genus",1,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Felis",""
"11","c65e75ab714c3e5ec382285d6c26595be2d49615",10114,"Rattus","genus",1,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"12","baaecdaa8e8fcf241058faf6260996990265dedb",9611,"Canis","genus",0.9991,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"13","4da4adf259909217f0995841c5b508855801086b",10114,"Rattus","genus",1,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"14","84e5b7ec8576d3eaa216d353a003fb77c4dd83a4",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"15","e2a6d24173a6333c585aee2c85ed26f932456e5b",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"16","8b514cfc2acffd72621e53b64cc7b05edca3f3a0",9611,"Canis","genus",0.9989,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"17","77052766a0fd39664293c8d5ed0ebdfed7697773",10114,"Rattus","genus",1,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"18","f1a7f59212d52b9eb79dfcec95e74584ccae0f88",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"19","66dc810106d65967c51ab3b764f324e76fe302bc",10114,"Rattus","genus",0.9886,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"20","0273a0598816349012a832e5b355f0b9756975d1",9611,"Canis","genus",0.9926,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"21","f6d7634c612415d9fe80a78512aa078bc21988e5",9606,"Homo sapiens","species",0.9984,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
