"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"f6d7634c612415d9fe80a78512aa078bc21988e5","   9606","Homo sapiens","species","0.9984","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"b806e85cec8b147a120199e4ec81679d027868cc"," 504568","Salmoninae","subfamily","0.9959","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"45c890edf81e9de77589080e0b5ff4b306291390","   9526","Catarrhini","parvorder","0.9620","Metazoa","Chordata","Mammalia","Primates","","",""
"6162577dad77b615bca5543992542e30cecfbe59","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"0b2c3efb5f2bb34108dfb6fbafbb471051ab59a2"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"37c2390b3ed79e0f3e825a98dc39359df5fb5405","  33213","Bilateria","clade",NA,"Metazoa","","","","","",""
"91323d22064a9f57d1a9d28e43bb25cfb3d7850e","   9347","Eutheria","clade","0.9996","Metazoa","Chordata","Mammalia","","","",""
"6e8ff6a8cefa5c3e4dc636a03b9abc1bd46613a1","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"f8f7670e61d64ed66609d0c0185716fb997ff901"," 117571","Euteleostomi","clade","0.9565","Metazoa","Chordata","","","","",""
"a4d0ed7a5830d0521678eb20e1e4da941e9f043f","   9126","Passeriformes","order","0.9524","Metazoa","Chordata","Aves","Passeriformes","","",""
"edfd5ebc795fba37dc3121bc7967e24408cb52d3"," 504568","Salmoninae","subfamily","0.9997","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"d071447bb8ca2177c49e93535e90db16ffe738c3","  39087","Arvicolinae","subfamily","0.9999","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","   9126","Passeriformes","order","0.9914","Metazoa","Chordata","Aves","Passeriformes","","",""
"3edf92028c4df324c20ca766e2133c5667b2e6c1"," 337963","Neotominae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"ed947cab6e7ec1c1e6f04bf5c2581f1d73292a07","  32523","Tetrapoda","clade","1.0000","Metazoa","Chordata","","","","",""
"fc36279fab67948c98ee3c2495b060cdedfe3bef","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"a61e33242a20f3bd98721edc138fd964d3f00816","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"e581511a85c97395241e8c0bcd3296f658835de4","  10114","Rattus","genus","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"831e18b9d7b06083528be1480197f7ad27192cea"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"52b243aa0f20605f285bc1dc5738230e4ac2d4f0","  33213","Bilateria","clade","0.9517","Metazoa","","","","","",""
"4bcf98976488f81fa25b3b8d4dad55d94f89da6f","   9347","Eutheria","clade","0.9940","Metazoa","Chordata","Mammalia","","","",""
"3db492f4716a04f894bceb195ec2df6c0ff627ce","   9319","Osphranter robustus","species","0.9934","Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter robustus"
"7c62cceb94d75be73aca0f171a04453733737d40","   8830","Anatidae","family","0.9961","Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"c6be405669c4d4d5ae91e15576ef8906a3ca3a41"," 183663","Soricinae","subfamily","0.9512","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"08c79b0be594a12b12743136f1fcdcbaa5d91d9b"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"ad13c2e917ab43a3d54201c7b3c20d8c688ea5c1","   8830","Anatidae","family","0.9963","Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"5b9709ef11f333dd40b1d8c9641074a1309aff2e","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"b6b31c935db698ed479cf15f6f3b52cbe2ce4b32"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"cca52c63d08d364b65e687e8b845bc3dfe32d380"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"044f948296f650cc2162dc5bf5111440f3f6f115"," 504568","Salmoninae","subfamily","0.9372","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"03ebf697d1d89a310bc8f93c85608f05e2e4213c","   9347","Eutheria","clade","0.9660","Metazoa","Chordata","Mammalia","","","",""
"5e08243add1f3244899d45e4e31cf18f8af6bd3f"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"1a5899b9fd810230a7596995a978358f42979a45","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"e72055022b8149f013d288146db1df79fcbb8f7b","   9347","Eutheria","clade","0.9987","Metazoa","Chordata","Mammalia","","","",""
"bcc368af35adec610c3b1489de8c562da9a94e6b","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"bb1cc3902b7d9e1b902a44ba619d14a2c6f909b6"," 466585","Tetraoninae","subfamily","0.9987","Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"733188111a756f8216f98a3dfad1f09f1aa265db","   9126","Passeriformes","order","0.9527","Metazoa","Chordata","Aves","Passeriformes","","",""
"357b9a688d76a802e0f18af7556286f6f5ef0576"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"a534d4f83c74750eaa61a5f15ae7ff7737ed7919","  69292","Gasterosteus","genus","0.9979","Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"b9f433d38ddc0485623e8b341ee54a62e4153e52","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"b6121ac847c1861a2ac06f2c262814c24e721886","   9526","Catarrhini","parvorder","0.9963","Metazoa","Chordata","Mammalia","Primates","","",""
"44d1216137dce83e101b77a76dc260d246d933ef","   9072","Phasianinae","subfamily","0.9990","Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"bf050a8d62baaa2e9b33758aef3532bea8258718","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"f520151d6aebf896f1fe2ca895516ac334964241"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"b91a4eac21ebd0152d846f23017c95861bdbaf05"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"f22f946bfb36bec4651a7c53b06a54c54c649c6c","   8830","Anatidae","family","0.9964","Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"0ef847ecc2c0f9b9bc623b156a2a005c9bbd006d","  33213","Bilateria","clade","0.9497","Metazoa","","","","","",""
"e2c71b543132b7f139214530f2a5cc808a95523d"," 504568","Salmoninae","subfamily","0.9947","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"59a00a7ae25cdddd4e16823aa7411a162e479068","  69292","Gasterosteus","genus","0.9832","Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"2846a27344f1a76d2076389d4dadb798a647854c","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"2618d151a6c6fdbcbdb850cd860a72e130f7f688","   9606","Homo sapiens","species","0.9980","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"15303538ed66578728be5fa6bc0b151077eb2d54","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"587bcb3b10bc30eec6a0b5e7d666120eb419f235","   9347","Eutheria","clade","0.9933","Metazoa","Chordata","Mammalia","","","",""
"c49a8f7144e51f8a0d46c19d4c50ac4e41772a40","  39087","Arvicolinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"00b8e512f12556cd32b58967a8549852c37a6146","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"388a75c1694321e22d76ff1143fc7ee6ca233b5f","   7746","Petromyzontidae","family","0.9996","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"85608f4b95519563e1702090189d590590cea61b","  69291","Gasterosteidae","family","0.9975","Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","",""
"26c83621552ce0bff8db551c5129d9eccf7d9a50"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"880de629655fb36303b2094ea7f4c6cefad0ef5c","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"80b393f13810fac57278c2947983d31c1972003b"," 337752","Sciurini","tribe","0.9997","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"bf8857e146d259b435da3b3ecda92b7d8e93170b","   9611","Canis","genus","0.9735","Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"c8bf72e849315de1601919eb767cd800400519d3","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"3342529986f8f5933a533bf1f2e975e9b677cb7b","   8092","Cottidae","family","0.9216","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"20a9c4751ed251e3c0f35a775d46c080075382d8","   8830","Anatidae","family","0.9130","Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"d9d02206537e8133d653947016d2dd4e6de63cc8","      1","root","no rank","1.0000","","","","","","",""
"26bb3e8f98369d243b1bdf2572ec27140e21ecf0"," 338152","Felinae","subfamily","0.9868","Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"35e334311044348b8d39fb275ce94e11c2cf361d","   9126","Passeriformes","order","0.9922","Metazoa","Chordata","Aves","Passeriformes","","",""
"27be7981df00db99c81810189ca1c2e675e49b56","   9347","Eutheria","clade","0.9996","Metazoa","Chordata","Mammalia","","","",""
"331c8a92b593e743348bc1a05ed5afcd32bd3629","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
