"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","9f19d8b35f541d1c3e67a5a609543272edf4be60",4783,"Phytophthora","genus",0.9588,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"2","aecc1625633747aa8204499d10106d755856775e",204737,"Keratella","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"3","62d55bb014a6bdcf12cbac4b96ec9645e7a5636e",74726,"Chaetogaster","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","Chaetogaster",""
"4","2942441d8663055c93d656cb7191b61ffbfaffd3",73391,"Allolobophora","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Allolobophora",""
"5","b808652549ce5c7265dcbc03189b154eac6cea48",204737,"Keratella","genus",0.9994,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"6","aedb2eeca2342a679c70a574f8cab3150aa3bb37",204737,"Keratella","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"7","63c8109e9be51ce1f9ee61ed62248297b421dc27",286681,"Ramazzottius","genus",1,"Metazoa","Tardigrada","Eutardigrada","Parachela","Ramazzottiidae","Ramazzottius",""
"8","ca1bdfce6b20de4aa1c98ff8afac6dfc90958f54",204737,"Keratella","genus",0.9999,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"9","8a1812d4313e66eec7b3c7ceabeaf8387e2b3f7c",204737,"Keratella","genus",0.9721,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"10","32013ea1387ed4c58382b65a03d683e526cdc925",104781,"Adineta","genus",0.8274,"Metazoa","Rotifera","Bdelloidea","Adinetida","Adinetidae","Adineta",""
"11","1027731453dc6ee53af993dc2156f1886de66b32",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"12","914887a6c127ead47d0c3768ee3b948230fcd803",1302608,"Eiseniella","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Eiseniella",""
"13","6dd0bfbbd8b37fff2ab4f09030abf3ab81b990cd",104787,"Macrotrachela","genus",1,"Metazoa","Rotifera","Bdelloidea","Philodinida","Philodinidae","Macrotrachela",""
"14","8c9b32a3355e0f2ae017bce3f3ed2e58babc19ab",6083,"Hydra","genus",1,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra",""
"15","9a7e334fa418cbe71f29ee4a914f3e5750701db9",204737,"Keratella","genus",0.9999,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"16","ea35442c0f902681566def4d17e084fc280d440f",204737,"Keratella","genus",0.9997,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella",""
"17","4d1d9811ebe7f4cd649efa0c2393739dee1a53ab",1302608,"Eiseniella","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Eiseniella",""
"18","877caf8e8536f16e51af9c2daccfdde284a7c43a",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"19","c6ed1218579b46737260ce204304dbd531d1c717",104781,"Adineta","genus",0.9967,"Metazoa","Rotifera","Bdelloidea","Adinetida","Adinetidae","Adineta",""
"20","6d7d74f92c180202f94c38e21bf2c1756e332c47",2809,"Batrachospermum","genus",1,"","","Florideophyceae","Batrachospermales","Batrachospermaceae","Batrachospermum",""
"21","bc1182a55c09231bfdb16f0e9184dfcd4ddef879",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"22","a567a555223b57b6f76939e646cc623be9ca9edd",96445,"Lecane","genus",0.9968,"Metazoa","Rotifera","Monogononta","Ploima","Lecanidae","Lecane",""
"23","3806e6ea766740e02f52d05eadf711e4403b88d1",5812,"Sarcocystis","genus",NA,"","Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae","Sarcocystis",""
"24","bc79b7bd17f864f5d50dc6f4e2f715f7de70be43",177632,"Rhyacophila","genus",0.9992,"Metazoa","Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",""
"25","f17e2fba050200289141bebe465878be7b9979ea",7097,"Malacosoma","genus",NA,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Malacosoma",""
"26","5815d9d85b53fe5121cd2275068bd208c9ecc753",231623,"Rotaria","genus",0.9987,"Metazoa","Rotifera","Bdelloidea","","","Rotaria",""
"27","970925906e0b3d20b2b1ae982da09669f0d9b687",27388,"Aporrectodea","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea",""
"28","54e66dbe97c5cabe5fcbd43f106bb487440283b6",27388,"Aporrectodea","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea",""
"29","075eb6dd0eb25084b554b1dc50090f1394cda6cd",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"30","ca92320d135d64863c42dd1a6cb43a3c42842961",77570,"Stylodrilus","genus",1,"Metazoa","Annelida","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus",""
"31","a7b1832e8203719614b1f7f49e4450046f0b0332",4797,"Pythium","genus",0.9999,"","","Oomycetes","Pythiales","Pythiaceae","Pythium",""
"32","79dc7d5e14f65291adafbe806c370052e4c7f5a7",6083,"Hydra","genus",NA,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra",""
"33","ae8a224edf5e141a1040dc3bcb71cbb46a65ae1e",5800,"Eimeria","genus",1,"","Apicomplexa","Conoidasida","Eucoccidiorida","Eimeriidae","Eimeria",""
"34","4e1906ae4101ac54e0c5a5b18dc81a09062b8132",74726,"Chaetogaster","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","Chaetogaster",""
"35","7d2b06e0265b1af1af4dbd5aef939aae8ea084dc",313557,"Cochliopodium","genus",0.9885,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"36","13fe126719f3b038a3168c2bd72e3cde01974779",177662,"Neophylax","genus",1,"Metazoa","Arthropoda","Insecta","Trichoptera","Uenoidae","Neophylax",""
"37","10ff4abb20978aebadfd7824ded5f4c5e167e090",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"38","818a8694ab294182d458973f0b372d1b10051ee3",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"39","e9ebffe185084f36f9cf3c12316b082e1388638d",189290,"Meloidogyne","genus",1,"Metazoa","Nematoda","Chromadorea","Rhabditida","Meloidogynidae","Meloidogyne",""
"40","09e4160e3e0b6a553773ea85c6689279d459a874",177677,"Dicosmoecus","genus",NA,"Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus",""
"41","dc9247c0358430e50f8a86425297a9ecc8dbaea0",4783,"Phytophthora","genus",1,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"42","8bef2a255b482f0de7f6c79ff0a6246db4869516",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"43","20dd95ebde4654aa15a6892f074793f86cda9df7",1302608,"Eiseniella","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Eiseniella",""
"44","7076c8f6e088610e1ba5c7b1a70950a889ccb7ec",209691,"Ptychoptera","genus",0.9963,"Metazoa","Arthropoda","Insecta","Diptera","Ptychopteridae","Ptychoptera",""
"45","9d22f9f64b53597e91c114c980c7f95a3b52bbd0",27388,"Aporrectodea","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea",""
"46","e0f697e6dd6a6a9a340e3dc7a7dc3ca0c8c8694d",36142,"Isotomurus","genus",1,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Isotomurus",""
"47","988647decda253e3c729cc592b945b4618684a86",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"48","200c2c3e57225ea66b6f16dcecea27d4fce6695a",6542,"Arion","genus",NA,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion",""
"49","07ed3c01fb4526ff69d9f72af7091b1707a51265",177658,"Apatania","genus",1,"Metazoa","Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania",""
"50","474ba93819290f228cd2fd11b35ae45021d1e28e",4797,"Pythium","genus",1,"","","Oomycetes","Pythiales","Pythiaceae","Pythium",""
"51","982da7afebb84a55baf9d89f88765f67fb3b53bc",128123,"Craspedacusta","genus",1,"Metazoa","Cnidaria","Hydrozoa","Limnomedusae","Olindiidae","Craspedacusta",""
"52","639cb96e21aed6a5b5f689bdcefe5fb4ce5bb2c6",9903,"Bos","genus",NA,"Metazoa","Chordata","Mammalia","","Bovidae","Bos",""
"53","a0a28926df243f30e8d0ac1a96be1a45627ba8c4",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"54","01e5074e2b833160bf439d5cb8a3ac62045ca3b2",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"55","9593053670d8b9bcdae020f622434fd54b68a00e",96445,"Lecane","genus",1,"Metazoa","Rotifera","Monogononta","Ploima","Lecanidae","Lecane",""
"56","d6e63fd2eabf228494062c071a11be8649e2a68e",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"57","8e16eca315f9a8bdbdaf5a06b5567246d9e662ad",686035,"Rhynchodemus","genus",1,"Metazoa","Platyhelminthes","","Tricladida","Geoplanidae","Rhynchodemus",""
"58","cdcc5676984a0ac683532e6cc3f3256d39a9faa9",161231,"Octolasion","genus",NA,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Octolasion",""
"59","bae3d44a9049be09d93bc1c4eb331bc34c60250c",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
"60","79d62814629a17202a4498cf589dadb575f7fffb",10114,"Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"61","5bf917c568e54594f403a8e821119b21f8669033",6083,"Hydra","genus",1,"Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra",""
"62","79f37fafbd60d87dfd7e45a2ec652a11ea131fcc",4783,"Phytophthora","genus",1,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"63","861b26f688d3ddbfbeb09d46cffa1920ac28d5a0",4783,"Phytophthora","genus",1,"","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",""
"64","933a398ed0a5589a4071665ef3d4c4c83f95214c",74726,"Chaetogaster","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Naididae","Chaetogaster",""
"65","41c2893086c721f7ed626364224e1710a9370c89",209691,"Ptychoptera","genus",0.9963,"Metazoa","Arthropoda","Insecta","Diptera","Ptychopteridae","Ptychoptera",""
"66","8e01d244251a1655dc74514bb165f2cea85881b7",187625,"Entomobrya","genus",1,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Entomobrya",""
"67","394ca8278e2e8e781618b60953ba3bb6c21366cc",320087,"Euplexia","genus",NA,"Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euplexia",""
"68","b4db9be1639da538edbe1a88aa72d9a0653f814d",6397,"Lumbricus","genus",1,"Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus",""
"69","6dba9722529b37b5b633dc19bfa397f43ce6dd8c",4797,"Pythium","genus",1,"","","Oomycetes","Pythiales","Pythiaceae","Pythium",""
"70","8c7faea131b606657ce9074ae058709a8c836a66",313557,"Cochliopodium","genus",1,"","","","Himatismenida","Cochliopodiidae","Cochliopodium",""
