"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"1","dc78ea7000749cdaa33f9199c52df6f0f90be099","family","Metazoa","Chordata","Aves","Passeriformes","Turdidae",NA,NA,"Turdidae","consensus","consensus"
"2","be1bd85cbedd796b3b70618ed8248f5c66768c49","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch","consensus","consensus"
"3","7ed525639c40b9418b4743e59f833fa5b3bdf355","species","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas","Pimephales promelas","consensus","consensus"
"4","a7517d5f93621c76c69106131eab915faa19f6b4","genus","Metazoa","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",NA,"Epeorus","consensus","consensus"
"5","2aabdc69f5f7834996039f4029fa03ecfe70ffc0","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"6","a7ff5c1558e9bef5fc6d99e97c28e519c3a043cd","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss","consensus","consensus"
"7","23bf5f5d24f589cba120a8635ee13e9817d90a52","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss","consensus","consensus"
"8","b691daf5f3e55296cbb67deae952dd7956d05afd","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"9","27fee94e1e3c2ea7843bbc2828ff3f1d6c7c1fdd","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch","consensus","consensus"
"10","4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b","species","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas","Pimephales promelas","consensus","consensus"
"11","b77414768c25433998316cb19ce1fe5eece7892a","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch","consensus","consensus"
"12","25e8531396b00cb9cdd8c87db81331ec1a0ee28e","species","Metazoa","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Lepomis","Lepomis gibbosus","Lepomis gibbosus","consensus","consensus"
"13","5d2be06aa1ff742a96eae7b10b30f83e45e7047a","genus","Metazoa","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax",NA,"Phalacrocorax","consensus","consensus"
"14","14642c5a02ce5589b6be0bc27e5163c3fef40760","family","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae",NA,NA,"Petromyzontidae","consensus","consensus"
"15","3db492f4716a04f894bceb195ec2df6c0ff627ce","family","Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae",NA,NA,"Macropodidae","consensus","consensus"
"16","a030c863a77b1256e92660407699546af98e83e3","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii","consensus","consensus"
"17","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","family","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae",NA,NA,"Cervidae","consensus","consensus"
"18","7376c01095c17e594e0bbd34da0c1cd87d3f0b34","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"19","660b777a1ee8cbb8bc7ed178567b1aad1dbf7904","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"Cottidae","consensus","consensus"
"20","afb6e29d578074f7a4ffe420bed62b2babbaa2c1","order","Metazoa","Chordata","Mammalia","Diprotodontia",NA,NA,NA,"Diprotodontia","consensus","consensus"
"21","64acd71396ce9fd7a044de196d7f1e36a58c8f32","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"22","e4c01a1e10a39e4fac0690b30faf8143cb962e3d","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"Cottidae","consensus","consensus"
"23","6bb82dc3ab69db941b42e0021db20651357c3dc0","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"24","3c4e754a97efa108e6feec65c0c355365d44d9da","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"25","139ff38d8eb60547dba8a13573cc4d1939382544","family","Metazoa","Chordata","Aves","Passeriformes","Corvidae",NA,NA,"Corvidae","consensus","consensus"
"26","f5b5aded2ca74ffb7f6b02448ffa90a36de662df","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus",NA,"Peromyscus","consensus","consensus"
"27","03fc824c82a462e43b549ff7781076da5132cf94","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"28","435a838b2b2c319f8a742430f1bc4b092e22cadc","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"Cottidae","consensus","consensus"
"29","2eb18eaf3053e4bb306b47b42bd9c34863aef20b","species","Metazoa","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus","Lithobates catesbeianus","consensus","consensus"
"30","c161735732d10ef81323d9b5812491897d2eb5ab","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus","consensus","consensus"
"31","8cef7b027e960afaa1b27b3dae54739f50c9639a","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"Cottidae","consensus","consensus"
"32","c6cb649a3099b3f66e1d20dc768f63c3c58f8ef4","genus","Metazoa","Chordata","Aves","Passeriformes","Turdidae","Turdus",NA,"Turdus","consensus","consensus"
"33","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","family","Metazoa","Chordata","Aves","Passeriformes","Turdidae",NA,NA,"Turdidae","consensus","consensus"
"34","82c076775078679d1b4935f169e44159e0478e47","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","Perca flavescens","consensus","consensus"
"35","d4fd9f42d34c453c51322f2abd76a00d64997106","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","Perca flavescens","consensus","consensus"
"36","b908492eedd74ed009124ee18af389c02f8008a3","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","Perca flavescens","consensus","consensus"
"37","358d0def35bc8bcf2711011fb63f7fc511496cc5","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae","consensus","consensus"
"38","4cc41e662c82239c20d414581dc6d38ad95962d3","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
