"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","580a64b0134da56e49bf06482ed6ee164d8a6ec5",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"2","5e09a54224038d545ffdff782605cf12eeddc349",8321,"Taricha granulosa","species",NA,"Metazoa","Chordata","Amphibia","Caudata","Salamandridae","Taricha","Taricha granulosa"
"3","c6d586dc78d8ef5cac238cba2d5714407775bd69",33213,"Bilateria","clade",NA,"Metazoa","","","","","",""
"4","be1bd85cbedd796b3b70618ed8248f5c66768c49",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"5","76918abfaa90d218d683fdbc4f8024dd430d7d91",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"6","c6cb649a3099b3f66e1d20dc768f63c3c58f8ef4",9126,"Passeriformes","order",0.9951,"Metazoa","Chordata","Aves","Passeriformes","","",""
"7","a7517d5f93621c76c69106131eab915faa19f6b4",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"8","ac83c00af6bef74d90c46be82aae6fbaa8e7eef5",9611,"Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"9","0c369432f7607913ccd9b17d196544d3030c7740",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"10","7d8d284f8419abb75e2ddb771080f1475447d26c",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"11","b691daf5f3e55296cbb67deae952dd7956d05afd",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"12","de157bb3e3e4a1dae1db5b58b831372e9002aaf2",1331674,"Pleurodelinae","subfamily",1,"Metazoa","Chordata","Amphibia","Caudata","Salamandridae","",""
"13","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd",9881,"Odocoileinae","subfamily",1,"Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"14","c54ad49653fe7e6cc57ef6e4ef30176db1611ee8",7746,"Petromyzontidae","family",1,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"15","0136045211815efe585d758255e71b356536a546",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"16","09056af63a208ac838cc2743975ba2be4df9b06f",9126,"Passeriformes","order",0.9953,"Metazoa","Chordata","Aves","Passeriformes","","",""
"17","ca81e476c6d2da5ddd106a710a650d62e6f5a206",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"18","87955ddec80b4f51bb32e09ae8d5df41eeb78fd8",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"19","4a74ec3b8392ddc8db433f692560f727291c0e87",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"20","3444727e70fffd5ecab6f16303976e812a7db959",38609,"Diprotodontia","order",0.9999,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
