"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","580a64b0134da56e49bf06482ed6ee164d8a6ec5",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"2","7c3a071d9b4e988f7367ae8ae7bf3ada64fdd9af",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"3","750a4ef330c32e1e3f479b3cba21182601d69799",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"4","c6d586dc78d8ef5cac238cba2d5714407775bd69",33213,"Bilateria","clade",NA,"Metazoa","","","","","",""
"5","67a79a13614338b98e0a66ee967baebde967cc4c",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"6","76918abfaa90d218d683fdbc4f8024dd430d7d91",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"7","199e257a656754c51df04d3fccc696275d10a201",30962,"Oncorhynchus clarkii","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"8","7d8d284f8419abb75e2ddb771080f1475447d26c",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"9","0ecafcca90025eef2d7cc7e21e8a16227fcd0cb5",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"10","2817aafa6569f8200392aa55112177131860ad70",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"11","0136045211815efe585d758255e71b356536a546",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"12","2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"13","ca4009e9f4961a466d717e77ddddcf64a374073d",8830,"Anatidae","family",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"14","f5f3173c8551c0433c110b48e9dad06a9860cbc0",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
