"","Sample_name","species","tot"
"1","MiFish.0321.1Prt.Dn.1","Oncorhynchus kisutch",5174
"2","MiFish.0321.1Prt.Dn.1TR2","Didelphis virginiana",119
"3","MiFish.0321.1Prt.Dn.1TR3","",245
"4","MiFish.0321.1Prt.Dn.1TR3","Didelphis virginiana",827
"5","MiFish.0321.1Prt.Dn.1TR3","Oncorhynchus clarkii",3957
"6","MiFish.0321.1Prt.Dn.2","Lampetra sp. CBM:ZF:17561",6624
"7","MiFish.0321.1Prt.Dn.3","Oncorhynchus kisutch",1578
"8","MiFish.0321.1Prt.Up.1","",1046
"9","MiFish.0321.1Prt.Up.1","Didelphis virginiana",8
"10","MiFish.0321.1Prt.Up.1","Lampetra sp. CBM:ZF:17561",1475
"11","MiFish.0321.1Prt.Up.1","Oncorhynchus clarkii",20364
"12","MiFish.0321.1Prt.Up.1","Oncorhynchus kisutch",3018
"13","MiFish.0321.1Prt.Up.2","",39
"14","MiFish.0321.1Prt.Up.2","Oncorhynchus clarkii",2480
"15","MiFish.0321.1Prt.Up.2","Oncorhynchus kisutch",1846
"16","MiFish.0321.1Prt.Up.3","Oncorhynchus clarkii",3166
"17","MiFish.0321.1Prt.Up.3","Oncorhynchus kisutch",3477
"18","MiFish.0321.2Brn.Dn.1","",120
"19","MiFish.0321.2Brn.Dn.1","Canis lupus",14
"20","MiFish.0321.2Brn.Dn.1","Lampetra sp. CBM:ZF:17561",1824
"21","MiFish.0321.2Brn.Dn.1","Oncorhynchus clarkii",17814
"22","MiFish.0321.2Brn.Dn.2","Lampetra sp. CBM:ZF:17561",3403
"23","MiFish.0321.2Brn.Dn.2","Oncorhynchus clarkii",2732
"24","MiFish.0321.2Brn.Dn.3","",349
"25","MiFish.0321.2Brn.Dn.3","Lampetra sp. CBM:ZF:17561",1530
"26","MiFish.0321.2Brn.Dn.3","Oncorhynchus clarkii",51449
"27","MiFish.0321.2Brn.Up.1","",75
"28","MiFish.0321.2Brn.Up.1","Lynx rufus",9859
"29","MiFish.0321.2Brn.Up.2","",1558
"30","MiFish.0321.2Brn.Up.2","Lynx rufus",889
"31","MiFish.0321.2Brn.Up.2","Oncorhynchus clarkii",2220
"32","MiFish.0321.2Brn.Up.2","Oncorhynchus mykiss",1042
"33","MiFish.0321.2Brn.Up.3","Lynx rufus",414
"34","MiFish.0321.3Chk.Dn.1","",662
"35","MiFish.0321.3Chk.Dn.1","Didelphis virginiana",244
"36","MiFish.0321.3Chk.Dn.1","Oncorhynchus clarkii",3108
"37","MiFish.0321.3Chk.Dn.2","",5898
"38","MiFish.0321.3Chk.Dn.2","Canis lupus",5
"39","MiFish.0321.3Chk.Dn.2","Oncorhynchus clarkii",4955
"40","MiFish.0321.3Chk.Dn.2","Oncorhynchus kisutch",189
"41","MiFish.0321.3Chk.Dn.2","Oncorhynchus mykiss",3932
"42","MiFish.0321.3Chk.Dn.2","Perca flavescens",930
"43","MiFish.0321.3Chk.Dn.3","",1034
"44","MiFish.0321.3Chk.Dn.3","Oncorhynchus clarkii",92579
"45","MiFish.0321.3Chk.Up.2","",54
"46","MiFish.0321.3Chk.Up.2","Oncorhynchus clarkii",19484
"47","MiFish.0321.3Chk.Up.3","Oncorhynchus clarkii",5171
"48","MiFish.0321.4Pad.Dn.1","",9957
"49","MiFish.0321.4Pad.Dn.1","Oncorhynchus clarkii",7229
"50","MiFish.0321.4Pad.Dn.1","Oncorhynchus kisutch",966
"51","MiFish.0321.4Pad.Dn.1","Oncorhynchus mykiss",4879
"52","MiFish.0321.4Pad.Dn.1","Turdus migratorius",794
"53","MiFish.0321.4Pad.Dn.2","",61991
"54","MiFish.0321.4Pad.Dn.2","Oncorhynchus clarkii",10661
"55","MiFish.0321.4Pad.Dn.2","Oncorhynchus kisutch",9637
"56","MiFish.0321.4Pad.Dn.2","Oncorhynchus mykiss",20029
"57","MiFish.0321.4Pad.Dn.2","Turdus migratorius",124
