"","Sample_name","species","tot"
"1","MiMammal.0321.1Prt.Dn.1","Didelphis virginiana",73713
"2","MiMammal.0321.1Prt.Dn.1","Lampetra sp. CBM:ZF:17561",51
"3","MiMammal.0321.1Prt.Dn.1","Melospiza melodia",1516
"4","MiMammal.0321.1Prt.Dn.1","Oncorhynchus clarkii",3047
"5","MiMammal.0321.1Prt.Dn.1","Oncorhynchus kisutch",2811
"6","MiMammal.0321.1Prt.Dn.2","Aix sponsa",2665
"7","MiMammal.0321.1Prt.Dn.2","Didelphis virginiana",55841
"8","MiMammal.0321.1Prt.Dn.2","Lampetra sp. CBM:ZF:17561",1462
"9","MiMammal.0321.1Prt.Dn.2","Oncorhynchus clarkii",2517
"10","MiMammal.0321.1Prt.Dn.2","Oncorhynchus kisutch",310
"11","MiMammal.0321.1Prt.Dn.2","Pipilo maculatus",9768
"12","MiMammal.0321.1Prt.Dn.3","Aix sponsa",1282
"13","MiMammal.0321.1Prt.Dn.3","Didelphis virginiana",109538
"14","MiMammal.0321.1Prt.Dn.3","Lampetra sp. CBM:ZF:17561",91
"15","MiMammal.0321.1Prt.Dn.3","Oncorhynchus clarkii",4323
"16","MiMammal.0321.1Prt.Dn.3","Oncorhynchus kisutch",1171
"17","MiMammal.0321.1Prt.Up.1","Aix sponsa",650
"18","MiMammal.0321.1Prt.Up.1","Didelphis virginiana",6722
"19","MiMammal.0321.1Prt.Up.1","Lampetra sp. CBM:ZF:17561",11
"20","MiMammal.0321.1Prt.Up.1","Melospiza melodia",805
"21","MiMammal.0321.1Prt.Up.1","Oncorhynchus clarkii",678
"22","MiMammal.0321.1Prt.Up.1","Oncorhynchus kisutch",285
"23","MiMammal.0321.1Prt.Up.1","Pipilo maculatus",29
"24","MiMammal.0321.1Prt.Up.1","Sus scrofa",1978
"25","MiMammal.0321.1Prt.Up.2","Didelphis virginiana",85877
"26","MiMammal.0321.1Prt.Up.2","Lampetra sp. CBM:ZF:17561",152
