"","tot","taxon","marker"
"1",162772,"Osphranter rufus","COI"
"2",103572,"Osphranter rufus","COI"
"3",5386,"Hydra oligactis","COI"
"4",2277,"Hydra oligactis","COI"
"5",1224,"Clytia hemisphaerica","COI"
"6",1169,"Macropus giganteus","COI"
"7",1120,"Macropus fuliginosus","COI"
"8",1062,"Macropus giganteus","COI"
"9",887,"Parapsyche almota","COI"
"10",886,"Lepidostoma cascadense","COI"
"11",730,"Castor canadensis","COI"
"12",679,"Pteronarcys princeps","COI"
"13",592,"Stylodrilus heringianus","COI"
"14",546,"Hydra vulgaris","COI"
"15",542,"Dendrodrilus rubidus","COI"
"16",457,"Lepidostoma unicolor","COI"
"17",379,"Wormaldia anilla","COI"
"18",358,"Psychoglypha alascensis","COI"
"19",346,"Didelphis virginiana","COI"
"20",304,"Synchaeta pectinata","COI"
"21",197,"Meloidogyne naasi","COI"
"22",195,"Hydra vulgaris","COI"
"23",155,"Homo sapiens","COI"
"24",148,"Lumbriculus variegatus","COI"
"25",146,"Lumbricus terrestris","COI"
"26",133,"Rotaria rotatoria","COI"
"27",132,"Osphranter robustus","COI"
"28",126,"Aporrectodea caliginosa","COI"
"29",125,"Hydra vulgaris","COI"
"30",121,"Stylodrilus heringianus","COI"
"31",120,"Stylodrilus heringianus","COI"
"32",114,"Hydra vulgaris","COI"
"33",112,"Pteronarcys princeps","COI"
"34",105,"Oncorhynchus kisutch","COI"
"35",102,"Hydra vulgaris","COI"
"36",96,"Lumbricus terrestris","COI"
"37",91,"Spongilla lacustris","COI"
"38",90,"Aporrectodea caliginosa L3","COI"
"39",80,"Daphnia pulicaria","COI"
"40",74,"Perca flavescens","COI"
"41",73,"Argyresthia goedartella","COI"
"42",68,"Hydra vulgaris","COI"
"43",67,"Dolophilodes novusamericanus","COI"
"44",58,"Lumbricus rubellus","COI"
"45",58,"Argyresthia goedartella","COI"
"46",52,"Tubifex tubifex","COI"
"47",52,"Corbicula fluminea","COI"
"48",51,"Rhyacophila narvae","COI"
"49",50,"Aporrectodea caliginosa","COI"
"50",49,"Eiseniella tetraedra","COI"
"51",48,"Lumbricus terrestris","COI"
"52",44,"Eiseniella tetraedra","COI"
"53",43,"Rana catesbeiana","COI"
"54",42,"Aporrectodea caliginosa L3","COI"
"55",41,"Octolasion cyaneum","COI"
"56",38,"Baetis bicaudatus","COI"
"57",38,"Ardea herodias","COI"
"58",36,"Pimephales promelas","COI"
"59",33,"Dendrodrilus rubidus","COI"
"60",31,"Cyanocitta stelleri","COI"
"61",30,"Onocosmoecus unicolor","COI"
"62",29,"Arion ater","COI"
"63",29,"Pacifastacus leniusculus","COI"
"64",28,"Tipula usitata","COI"
"65",28,"Isotomurus graminis","COI"
"66",28,"Arion rufus","COI"
"67",27,"Rhyacodrilus falciformis","COI"
"68",26,"Stylodrilus heringianus","COI"
"69",26,"Lumbriculus variegatus","COI"
"70",26,"Parapsyche almota","COI"
"71",25,"Spinus spinus","COI"
"72",24,"Hydra viridissima","COI"
"73",24,"Troglodytes troglodytes","COI"
