Sample_name,Locus,Hash,nReads
RS-121,COI,a51a5e3a1c5b68bca299e9bafc87773d0f8215ea,22805
RS-121,COI,5e977d6c7c636bc3abb8e3022cef7385e0f7e916,18044
RS-121,COI,8cd64bc2aa9cfc3ffec13d8baf21b12d22f5de11,669
RS-121,COI,f96019923ddd91753aec4d2c1993306487b62bda,231
RS-121,COI,e124fe6c58b27301d9baaa93e1473296a46f206e,45315
RS-121,COI,de55f72562f05471f7446c7fcd685c6c6ffe1722,232
RS-121,COI,2f05f2134ff0d357b5e30e310fff4fb68442ca85,24309
RS-121,COI,af3ed03d77cf07676d359171265bf88949ebe67c,23543
RS-121,COI,f1d34c14a0d7662896e1c6d7965b5766f906fb17,1837
RS-121,COI,30a13b6d4ae7bef6575db6af8fd64d3b29a475b5,183
RS-121,COI,e8847a0a7dad4300baf1725acd61f6516ba75ec7,124
RS-121,COI,2afa3adf926af204b1f260238cf870ff962c2e5d,195
RS-121,COI,46ede5bb9afc39ef09ed1ed6c86a6c8d3ab87591,3631
RS-121,COI,32d45718918be927274a001cc13b92dbbb9be4b4,10492
RS-121,COI,1338e833c5cc106a1a22f39c43f4ac3db7cb6270,177
RS-121,COI,af0c6844806fd5dda03507064200a38f775f48ec,7700
RS-121,COI,a92a8709633dd7192d8863539768493683349084,71
RS-121,COI,eda8c2b57ad0b29ebc077dad58be8de1ede8a1f4,9694
RS-121,COI,1332ec821da4669cca48489002f4be234998cdee,5716
RS-121,COI,59bb2d4f7dddba0b468479bc275c869aba49a659,46
RS-121,COI,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,4815
RS-121,COI,4aaa31c5ebcfb0ed624ea6bf2d32dbc79f1b8fc5,3182
RS-121,COI,1f2b694c6d517459b78d7ac6bb47d765910b984a,2885
RS-121,COI,6706f26be0a78fda08ec6c8f2b58abbadcf82c28,397
RS-121,COI,8d9e5722cf89951980d7efa687db923c4b996569,273
RS-121,COI,26bb829f15235335a6bd9dbe38b3c771ffbcea95,1019
RS-121,COI,3bbec87d0fef5cf650d5f4205548d3fb531aab85,123
RS-121,COI,7b376b6c8533ef66d3d9206a18d52e89ad6871cf,1352
RS-121,COI,b69e3e6ee60b8f008df49919d79a81ae18d674b7,11
RS-121,COI,162a7ab14a4a76073a3b969950aa8d01a17dae98,82
RS-121,COI,984d468af562ef243e62888c0af93253d20ffaf0,130
RS-121,COI,29f1fb3a6ce712d4035a3e93fdddc178f295c81c,676
RS-121,COI,800a056cac85f6660b813b8342da5da10b61bd03,875
RS-121,COI,30db4d5f2a20a78c0eaaf7ef6bf273b5e7609d50,627
RS-121,COI,9a2fd1a4c4f6d73b521347e26ec3a33c5969c7dc,534
RS-121,COI,e7f12c42acc3466bc7ccde1d14a81b4741589d29,1098
RS-121,COI,d4c2de4da2d1e73e0f8dc7b21b4a95e44758e56e,126
RS-121,COI,c8d6d7ed3626bb16291330ca258e2fbc83127415,474
RS-121,COI,895705ca565169b895da859be98a1e64a0a9661f,541
RS-121,COI,b3e9b401157fb746e36e5810c8919a37bbbf8d31,374
RS-121,COI,db977c54f45712d3e0b54e8d34434c6ad201bffd,325
RS-121,COI,538d38a10b39504ac841b298f510440aec3e5c27,188
RS-121,COI,ebb334f4134da3afdb72ed2a65b8f4d778c44b73,190
RS-121,COI,ef7e83c27ac925266a0d1924bb2549903fa44485,40
RS-121,COI,ee0d7e7f264fb4918665e9a1164aa034912d851a,38
RS-121,COI,a721627ec9808fe5598242f09851add0583607ed,50
RS-121,COI,591c93acacc8a5392b31aac19df28315efecdb94,2
RS-121,COI,0e74313024462c625459846fffd5c6d3c0b2a4d8,173
RS-121,COI,675ef198061e3ae7112e8e60c73d18337831d76c,88
RS-121,COI,3db7048a063332240681ce9df2b22115dd526b43,46
RS-121,COI,71b1fc11440063347d297956e8071aa7cfab1861,64
RS-121,COI,572e97010f3e488727301f1b50d92a458ff6a9b8,46
RS-121,COI,3e3f02340934b424114376a1092f6a2ff9898b85,49
RS-121,COI,29dcc67a3f4010d22378a3c862bc315b3dcd7496,26
RS-121,COI,72394f6ec3077e76a6e5ae115bff83e8a0048256,5
RS-121,COI,036e80759225d0cf983869afe7d037773d19d580,11
