Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
RS-121,COI,307343,251339,249326,250182,238739,238739,196120
RS-122,COI,301836,237198,235139,236354,225570,225570,187528
RS-123,COI,329327,264253,261080,262912,245736,245736,193344
RS-124,COI,314923,252036,249755,250811,241150,241150,207571
RS-125,COI,324715,257457,255242,256295,245409,245409,211666
RS-126,COI,352286,284034,281665,282726,271911,271911,233096
RS-127,COI,330192,245846,245101,245251,241698,241698,219923
RS-128,COI,369784,266803,265665,266105,260089,260089,228516
RS-129,COI,330264,246020,244601,245211,238716,238716,204813
RS-130,COI,310059,224636,223797,224145,221181,221181,205688
RS-131,COI,314266,225254,224405,224847,221882,221882,206908
RS-132,COI,309613,231305,230346,230838,226919,226919,208845
RS-133,COI,316117,262721,261777,261598,255865,255865,226107
RS-134,COI,339902,288781,287494,287887,281995,281995,250026
RS-135,COI,354119,293941,292848,293130,286250,286250,250979
RS-136,COI,375709,313781,312526,312803,306941,306941,275607
RS-137,COI,350457,294995,293958,293852,288609,288609,261530
RS-138,COI,343755,286625,285555,285929,280963,280963,254061
RS-139,COI,321421,254448,252318,252845,240689,240689,234104
RS-140,COI,275896,218639,216614,217288,210074,210074,203729
RS-141,COI,378282,298815,296175,296827,286900,286900,274363
RS-142,COI,2952,2532,2531,2532,2507,2507,2507
RS-143,COI,69,48,47,48,47,47,47
