Sample_name,Locus,file1,file2
RS-121,COI,Locus_COI_RS-121_S25_L001_R1_001.fastq,Locus_COI_RS-121_S25_L001_R2_001.fastq
RS-122,COI,Locus_COI_RS-122_S26_L001_R1_001.fastq,Locus_COI_RS-122_S26_L001_R2_001.fastq
RS-123,COI,Locus_COI_RS-123_S27_L001_R1_001.fastq,Locus_COI_RS-123_S27_L001_R2_001.fastq
RS-124,COI,Locus_COI_RS-124_S28_L001_R1_001.fastq,Locus_COI_RS-124_S28_L001_R2_001.fastq
RS-125,COI,Locus_COI_RS-125_S29_L001_R1_001.fastq,Locus_COI_RS-125_S29_L001_R2_001.fastq
RS-126,COI,Locus_COI_RS-126_S30_L001_R1_001.fastq,Locus_COI_RS-126_S30_L001_R2_001.fastq
RS-127,COI,Locus_COI_RS-127_S31_L001_R1_001.fastq,Locus_COI_RS-127_S31_L001_R2_001.fastq
RS-128,COI,Locus_COI_RS-128_S32_L001_R1_001.fastq,Locus_COI_RS-128_S32_L001_R2_001.fastq
RS-129,COI,Locus_COI_RS-129_S33_L001_R1_001.fastq,Locus_COI_RS-129_S33_L001_R2_001.fastq
RS-130,COI,Locus_COI_RS-130_S34_L001_R1_001.fastq,Locus_COI_RS-130_S34_L001_R2_001.fastq
RS-131,COI,Locus_COI_RS-131_S35_L001_R1_001.fastq,Locus_COI_RS-131_S35_L001_R2_001.fastq
RS-132,COI,Locus_COI_RS-132_S36_L001_R1_001.fastq,Locus_COI_RS-132_S36_L001_R2_001.fastq
RS-133,COI,Locus_COI_RS-133_S37_L001_R1_001.fastq,Locus_COI_RS-133_S37_L001_R2_001.fastq
RS-134,COI,Locus_COI_RS-134_S38_L001_R1_001.fastq,Locus_COI_RS-134_S38_L001_R2_001.fastq
RS-135,COI,Locus_COI_RS-135_S39_L001_R1_001.fastq,Locus_COI_RS-135_S39_L001_R2_001.fastq
RS-136,COI,Locus_COI_RS-136_S40_L001_R1_001.fastq,Locus_COI_RS-136_S40_L001_R2_001.fastq
RS-137,COI,Locus_COI_RS-137_S41_L001_R1_001.fastq,Locus_COI_RS-137_S41_L001_R2_001.fastq
RS-138,COI,Locus_COI_RS-138_S42_L001_R1_001.fastq,Locus_COI_RS-138_S42_L001_R2_001.fastq
RS-139,COI,Locus_COI_RS-139_S43_L001_R1_001.fastq,Locus_COI_RS-139_S43_L001_R2_001.fastq
RS-140,COI,Locus_COI_RS-140_S44_L001_R1_001.fastq,Locus_COI_RS-140_S44_L001_R2_001.fastq
RS-141,COI,Locus_COI_RS-141_S45_L001_R1_001.fastq,Locus_COI_RS-141_S45_L001_R2_001.fastq
RS-142,COI,Locus_COI_RS-142_S46_L001_R1_001.fastq,Locus_COI_RS-142_S46_L001_R2_001.fastq
RS-143,COI,Locus_COI_RS-143_S47_L001_R1_001.fastq,Locus_COI_RS-143_S47_L001_R2_001.fastq
