Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
RS-97,MiFish,237296,211461,210744,210553,204431,204431,178186
RS-98,MiFish,314414,283967,283351,283288,277530,277530,243811
RS-99,MiFish,173536,155423,154841,154735,149987,149987,125672
RS-100,MiFish,151916,137710,137277,137336,133453,133453,116285
RS-101,MiFish,267682,242272,241554,241553,236295,236295,205947
RS-102,MiFish,210831,190035,189405,189387,184412,184412,160059
RS-103,MiFish,166789,150826,150537,150542,146745,146745,127094
RS-104,MiFish,242436,217888,217549,217513,209906,209906,181325
RS-105,MiFish,41435,37442,37334,37377,35978,35978,33027
RS-106,MiFish,245112,221756,221413,221401,217091,217091,207668
RS-107,MiFish,277174,248236,247998,247765,243377,243377,232376
RS-108,MiFish,272706,247600,247341,247478,241322,241322,222964
RS-109,MiFish,319321,291327,291149,291201,287732,287732,260444
RS-110,MiFish,235303,212294,212054,212060,208609,208609,188848
RS-111,MiFish,251357,227369,226964,227251,223886,223886,205059
RS-112,MiFish,293803,264053,263860,263560,260290,260290,238047
RS-113,MiFish,312868,283399,283071,283233,279752,279752,253139
RS-114,MiFish,312621,285021,284719,284815,280777,280777,256104
RS-115,MiFish,47068,42776,42675,42654,41477,41477,37741
RS-116,MiFish,304245,273447,272505,272711,265479,265479,206371
RS-117,MiFish,331182,296889,296021,296081,289416,289416,235780
RS-118,MiFish,201787,183606,183310,183246,179706,179706,166459
RS-119,MiFish,269624,241215,241065,241151,239462,239462,237738
RS-120,MiFish,239189,216300,216215,216130,215215,215215,214807
