Sample_name,Locus,Hash,nReads
RS-145,MiMammal,76918abfaa90d218d683fdbc4f8024dd430d7d91,1287
RS-145,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,15753
RS-145,MiMammal,c6d586dc78d8ef5cac238cba2d5714407775bd69,8177
RS-145,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,4641
RS-145,MiMammal,6f93809b6bc63b61b0d350733addd08a6ab86f2e,6656
RS-145,MiMammal,5a0c3363fdff5328d9329fe07af54c881ec0fbf2,32363
RS-145,MiMammal,215a1f59dbebd89ecaf8223653610b041c1e6baa,30777
RS-145,MiMammal,8b14c93f1397b9332dad055f0a0fc595f3646681,191
RS-145,MiMammal,762874ae34a100fa6212e778b2265633b7113596,9671
RS-145,MiMammal,ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab,11238
RS-145,MiMammal,e747eef0a339a503193d10c42b71ef028bca3fc0,9892
RS-145,MiMammal,1eacd6b8e7ccfd00e53e98c9ff9ecee454f0f29f,10193
RS-145,MiMammal,2888591f23daf76ef3ae53a7d4bd6ffe13361bb8,9012
RS-145,MiMammal,ca10abaa969662cded6eba24df2960dad3485719,112
RS-145,MiMammal,f3b1b944f738536215cd355d76bc8c2bffd66624,191
RS-145,MiMammal,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,121
RS-145,MiMammal,139ff38d8eb60547dba8a13573cc4d1939382544,7258
RS-145,MiMammal,2435eb1079be3ac735d5301e934ec881cf409ceb,6266
RS-145,MiMammal,7ac490417f5aeaf9e327657f193c8fd6a03e2585,6871
RS-145,MiMammal,d5f832529f6b73fadb1b9087af48bf9a8dc101c8,6286
RS-145,MiMammal,7aa929fd12fc38856e105d3092ae8752af4b44da,5357
RS-145,MiMammal,06a946d5a422494c1c67a9c47b31dc42cb821da2,4501
RS-145,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,90
RS-145,MiMammal,0a3f5fde1bbb570e4705a194d016c59a57f82481,47
RS-145,MiMammal,98f92aa12195301ebbd47287eb23c45cffe10ffa,130
RS-145,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,95
RS-145,MiMammal,8519a7f742cabfdb887dc2013feba40c4584b8db,424
RS-145,MiMammal,d15e926efd8720231adb32a8b4e6e40608827676,401
RS-145,MiMammal,c079dc9631f80d61302584576eb03ce937a562f7,3272
RS-145,MiMammal,78c6cda8f1613447cf0cc79a3e7f659d9b9d608b,364
RS-145,MiMammal,f890c05925400fa5c31d090422bd25ffc1dbb2d2,2395
RS-145,MiMammal,31adf9b0bfe620438b8e730fd474cc27e61c3cc4,320
RS-145,MiMammal,f3d5863f9d49fc73652ae616bd0a22b9ab62d094,345
RS-145,MiMammal,38e693e5c3a9002b3c7fe03ba0f5d3e6440d86ea,19
RS-145,MiMammal,34b95af64697c2feb0ab121d484733666197ae1f,1204
RS-145,MiMammal,aa5818327c00eebaf0a1d977dfaac7e0c643c622,1196
RS-145,MiMammal,c458bfbd8c0ac4b00203e7ac33d77c8141488906,1193
RS-145,MiMammal,5dbee979ecb7289c82f08bbf7ff5d91a3f8aae01,1090
RS-145,MiMammal,3790a41fc458cb2fa0b80e27a79405121163ae49,188
RS-145,MiMammal,5d6a5f2116231e5e92600d866977dda093cd30bc,670
