Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
RS-145,MiMammal,271796,241255,240697,240640,234970,234970,203172
RS-146,MiMammal,326847,285828,285086,284976,278663,278663,239316
RS-147,MiMammal,274501,241660,241149,241146,235658,235658,203308
RS-148,MiMammal,282725,245777,244818,245165,239544,239544,207286
RS-149,MiMammal,270716,239948,239415,239103,233362,233362,202148
RS-150,MiMammal,319244,280223,279482,279271,273046,273046,236200
RS-151,MiMammal,287599,262427,262172,262121,260741,260741,254524
RS-152,MiMammal,280440,257152,256910,256745,255519,255519,249160
RS-153,MiMammal,312895,282547,282230,282336,280613,280613,273510
RS-154,MiMammal,249648,228343,228114,228147,226900,226900,221458
RS-155,MiMammal,262359,239305,239048,239143,237630,237630,232264
RS-156,MiMammal,330046,300138,299888,299846,298325,298325,290534
RS-157,MiMammal,281855,255134,255034,254941,252488,252488,238273
RS-158,MiMammal,292063,264785,264553,264496,262369,262369,247530
RS-159,MiMammal,218527,197654,197550,197480,195623,195623,185070
RS-160,MiMammal,251899,230827,230646,230652,229357,229357,216520
RS-161,MiMammal,263062,242481,241909,242185,240074,240074,226784
RS-162,MiMammal,254600,231086,230747,230932,229057,229057,215910
RS-163,MiMammal,222647,195810,195671,195593,193818,193818,192418
RS-164,MiMammal,141813,124225,124093,123980,123274,123274,122885
RS-165,MiMammal,236386,209655,209588,209444,205623,205623,202972
