Sample_name,Locus,Hash,nReads
MiFish-0921-1Prt-Dn-2,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,53840
MiFish-0921-1Prt-Dn-2,MiFish,580a64b0134da56e49bf06482ed6ee164d8a6ec5,341
MiFish-0921-1Prt-Dn-2,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,31050
MiFish-0921-1Prt-Dn-2,MiFish,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,14460
MiFish-0921-1Prt-Dn-2,MiFish,8ed6e061a113f0a3323ef17b1c1e2f2fb575a043,78
MiFish-0921-1Prt-Dn-2,MiFish,629aa86f569921707980e85a596cb12105791f75,65
MiFish-0921-1Prt-Dn-2,MiFish,8ec931f8723a382855753cbfb8c92bd75cf323a8,116
MiFish-0921-1Prt-Dn-2,MiFish,419df96acea16e56d68cfa453e77987304ce4695,184
MiFish-0921-1Prt-Dn-2,MiFish,8399a44ac9eddd3a5e70f87c08014d7e00b2f02a,29
MiFish-0921-1Prt-Dn-2,MiFish,a3031e77ffa4c6cf7242a2a8f110a6689a42e882,28
MiFish-0921-1Prt-Dn-2,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,51
MiFish-0921-1Prt-Dn-2,MiFish,9c944dd49cc66af585d01075d653dc14fb1403c1,35
MiFish-0921-1Prt-Dn-2,MiFish,0f393c323c7d2dcd0cb68a529747e8c4abfd9509,30
MiFish-0921-1Prt-Dn-2,MiFish,ad6053ef8b9c7ececb1449fbd7937cc28583b1eb,55
MiFish-0921-1Prt-Dn-2,MiFish,572d0ebd3c85cad6ac4c8c13468d267182e42a2c,17
MiFish-0921-1Prt-Dn-2,MiFish,50d5a3f2b4d167cfbca17d817316739f8f89fe8d,3871
MiFish-0921-1Prt-Dn-2,MiFish,9c94ba083a52d4995e5bcfae6ea41aa5c0431be8,71
MiFish-0921-1Prt-Dn-2,MiFish,d5702888de20d9944cfa565cfcb59e12c7e484c3,13
MiFish-0921-1Prt-Dn-2,MiFish,8e60f38730fb4e699f048060d34fd7428d1aedd4,44
MiFish-0921-1Prt-Dn-2,MiFish,6f06870181a1a26a9404c4b0b087922f1cf80dbc,11
MiFish-0921-1Prt-Dn-2,MiFish,0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25,6
MiFish-0921-1Prt-Dn-2,MiFish,31f58f5089fdc196a53e11198d538061dd41bb97,247
MiFish-0921-1Prt-Dn-2,MiFish,6fc42ff1c27e1b2416755e7818d5e5c4126bfecb,45
MiFish-0921-1Prt-Dn-2,MiFish,e31692ff1b969276eaaeda69d89bd0730718590a,133
MiFish-0921-1Prt-Dn-2,MiFish,5f8c1b16377ffec63aa5b56d1d7849918b066775,15
MiFish-0921-1Prt-Dn-2,MiFish,c85bde7ee5fbef22260dd6fd67f84887524f0801,6
MiFish-0921-1Prt-Dn-2,MiFish,f9578966b4fcfa7af48bdc6cd4332be661419fcc,22
MiFish-0921-1Prt-Dn-2,MiFish,7b5f91bbfbf89fcc8814f9cb0dc8ad559fe5cf93,9
MiFish-0921-1Prt-Dn-2,MiFish,9c7862e78c6125096094eb37008bbb6febcbeaa2,269
MiFish-0921-1Prt-Dn-2,MiFish,ab9498de53ba0cd1674b75bddbca64497eee691b,8
MiFish-0921-1Prt-Dn-2,MiFish,600f8d01e38d6e657c5a610597899e2aab89db09,27
MiFish-0921-1Prt-Dn-2,MiFish,a92ae0c73cd6d0799d2e63d4d7766c57009f136e,9
MiFish-0921-1Prt-Dn-2,MiFish,140ebebfd79bbc23c6fd63e2d06debfc3a4d7e77,48
MiFish-0921-1Prt-Dn-2,MiFish,189e36e3d949fe8d71b22b02367862d0037b05a9,6
MiFish-0921-1Prt-Dn-2,MiFish,f53c0268906f5a28f163439cc5235a9f5eca5af3,7
MiFish-0921-1Prt-Dn-2,MiFish,c49c0cd9ec5123e4d703a55b32c72ff8818d706a,120
MiFish-0921-1Prt-Dn-2,MiFish,d9b873733030cf712ad5cf86c255ab0f7495e3f1,29
MiFish-0921-1Prt-Dn-2,MiFish,2b1f8198b10577e3ac29ac4f21c2673dbb32d28e,45
MiFish-0921-1Prt-Dn-2,MiFish,70bda67d1a4235114b7efe71e60349a1d57747f8,3
MiFish-0921-1Prt-Dn-2,MiFish,e3bb86462242cc75b2d9159e96f588a2ca09a5d3,238
MiFish-0921-1Prt-Dn-2,MiFish,c81f5219d0cc7b83a0753417ed0815102b995e83,24
