Sample_name,Locus,file1,file2
MiFish-0921-1Prt-Dn-2,MiFish,Locus_MiFish_MiFish-0921-1Prt-Dn-2_S1_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-1Prt-Dn-2_S1_L001_R2_001.fastq
MiFish-0921-1Prt-Up-3,MiFish,Locus_MiFish_MiFish-0921-1Prt-Up-3_S2_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-1Prt-Up-3_S2_L001_R2_001.fastq
MiFish-0921-2Brn-Dn-2,MiFish,Locus_MiFish_MiFish-0921-2Brn-Dn-2_S3_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-2Brn-Dn-2_S3_L001_R2_001.fastq
MiFish-0921-2Brn-Up-2,MiFish,Locus_MiFish_MiFish-0921-2Brn-Up-2_S4_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-2Brn-Up-2_S4_L001_R2_001.fastq
MiFish-0921-2Brn-Up-3,MiFish,Locus_MiFish_MiFish-0921-2Brn-Up-3_S5_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-2Brn-Up-3_S5_L001_R2_001.fastq
MiFish-0921-3Chk-Dn-1,MiFish,Locus_MiFish_MiFish-0921-3Chk-Dn-1_S6_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-3Chk-Dn-1_S6_L001_R2_001.fastq
MiFish-0921-3Chk-Dn-2,MiFish,Locus_MiFish_MiFish-0921-3Chk-Dn-2_S7_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-3Chk-Dn-2_S7_L001_R2_001.fastq
MiFish-0921-3Chk-Dn-3,MiFish,Locus_MiFish_MiFish-0921-3Chk-Dn-3_S8_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-3Chk-Dn-3_S8_L001_R2_001.fastq
MiFish-0921-3Chk-Up-1,MiFish,Locus_MiFish_MiFish-0921-3Chk-Up-1_S9_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-3Chk-Up-1_S9_L001_R2_001.fastq
MiFish-0921-3Chk-Up-3,MiFish,Locus_MiFish_MiFish-0921-3Chk-Up-3_S10_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-3Chk-Up-3_S10_L001_R2_001.fastq
MiFish-0921-4Pad-Dn-1,MiFish,Locus_MiFish_MiFish-0921-4Pad-Dn-1_S11_L001_R1_001.fastq,Locus_MiFish_MiFish-0921-4Pad-Dn-1_S11_L001_R2_001.fastq
