Sample_name,Locus,Hash,nReads
MiFish.0321.1Prt.Dn.1,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,5174
MiFish.0321.1Prt.Dn.1,MiFish,a786ab2b4d6cd6be5394f1351bea438a7d35726e,64
MiFish.0321.1Prt.Dn.1,MiFish,629aa86f569921707980e85a596cb12105791f75,905
MiFish.0321.1Prt.Dn.1,MiFish,8ec931f8723a382855753cbfb8c92bd75cf323a8,376
MiFish.0321.1Prt.Dn.1,MiFish,a9ff5903beb36730262ddb63bb3b19ef024d6e9e,2321
MiFish.0321.1Prt.Dn.1,MiFish,ad6053ef8b9c7ececb1449fbd7937cc28583b1eb,1240
MiFish.0321.1Prt.Dn.1,MiFish,a3031e77ffa4c6cf7242a2a8f110a6689a42e882,53
MiFish.0321.1Prt.Dn.1,MiFish,8399a44ac9eddd3a5e70f87c08014d7e00b2f02a,53
MiFish.0321.1Prt.Dn.1,MiFish,3752acb2d79c35e6b4463e556a13f7f576b238aa,208
MiFish.0321.1Prt.Dn.1,MiFish,773eaddaf7c2b4308f12792a94d3b096d11fa542,30
MiFish.0321.1Prt.Dn.1,MiFish,8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8,41
MiFish.0321.1Prt.Dn.1,MiFish,9c94ba083a52d4995e5bcfae6ea41aa5c0431be8,392
MiFish.0321.1Prt.Dn.1,MiFish,fb434d844c0eecd94ddb6cde96b0f0194c52c80a,76
MiFish.0321.1Prt.Dn.1,MiFish,63ff73a1d7a66ab647ec5c3c6e7259434f902f87,464
MiFish.0321.1Prt.Dn.1,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,189
MiFish.0321.1Prt.Dn.1,MiFish,994670e185ec4788f0fed5a55c81fc317ac5d740,1036
MiFish.0321.1Prt.Dn.1,MiFish,9c944dd49cc66af585d01075d653dc14fb1403c1,61
MiFish.0321.1Prt.Dn.1,MiFish,c702739574b66bfbfb8161c171148965ba3b4c59,363
MiFish.0321.1Prt.Dn.1,MiFish,8ed6e061a113f0a3323ef17b1c1e2f2fb575a043,252
MiFish.0321.1Prt.Dn.1,MiFish,ad5341b4bbcf10ce709fe0ffd855254f4acb16fc,9
MiFish.0321.1Prt.Dn.1,MiFish,f97301b29e339910bf632cf3fab2755f493eac31,199
