Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
MiFish.0321.1Prt.Dn.1,MiFish,143577,112660,112416,112542,26660,26660,26645
MiFish.0321.1Prt.Dn.2,MiFish,165209,106251,106051,105613,24838,24838,24817
MiFish.0321.1Prt.Up.2,MiFish,152545,122259,122020,122015,28221,28221,28063
MiFish.0321.2Brn.Dn.1,MiFish,161670,135049,134938,134969,127171,127171,126396
MiFish.0321.2Brn.Up.1,MiFish,147813,128788,128534,128755,125787,125787,125277
MiFish.0321.2Brn.Up.2,MiFish,157406,133151,133107,133104,120672,120672,120541
MiFish.0321.2Brn.Up.3,MiFish,116683,96571,96395,96526,85560,85560,85557
MiFish.0321.4Pad.Dn.1,MiFish,144400,117292,117249,117167,107780,107780,105995
MiFish.0321.5Sqm.Up.2,MiFish,160451,131692,131651,131656,126725,126725,124249
MiFish.0321.1Prt.Dn.1TR2,MiFish,131810,100247,100118,100126,16940,16940,16940
MiFish.0321.1Prt.Dn.1TR3,MiFish,132557,104441,104310,104328,21020,21020,21013
MiFish.0421.1Prt.Dn.2,MiFish,169656,136885,136602,136551,42906,42906,42223
MiFish.0421.3Chk.Dn.3,MiFish,10290,8473,8454,8437,7588,7588,7588
MiFish.0421.4Pad.Dn.1,MiFish,132850,106571,106519,106496,89415,89415,88384
MiFish.0421.4Pad.Up11.3,MiFish,179486,145775,145371,145347,100286,100286,99361
MiFish.0421.5Sqm.Up.1,MiFish,201482,163680,163661,163658,163544,163544,159293
MiFish.0421.3Chk.Dn.3TR2,MiFish,152681,125968,125925,125915,116514,116514,116481
MiFish.0421.3Chk.Dn.3TR3,MiFish,119188,98859,98830,98804,83204,83204,82877
MiFish.0821.1Prt.Dn.1,MiFish,125738,108769,108605,108751,107750,107750,100129
MiFish.0821.1Prt.Up.1,MiFish,97587,76847,76711,76666,27086,27086,26802
MiFish.0821.2Brn.Up.2,MiFish,161785,143776,143286,143706,126911,126911,126577
MiFish.0821.3Chk.Dn.2,MiFish,153846,125608,125275,125344,108603,108603,107742
MiFish.0821.4Pad.Dn.2,MiFish,201533,160932,160705,160823,157576,157576,151817
MiFish.0821.4Pad.Up11.3,MiFish,189091,153838,153706,153754,147444,147444,140015
MiFish.0821.4Pad.Up5.3,MiFish,135346,108648,108409,108324,28535,28535,28535
MiFish.0821.5Sqm.Dn.2,MiFish,152543,128757,128445,128730,128108,128108,122773
MiFish.Kangaroo.Run.3,MiFish,185435,167252,167248,167234,166541,166541,166507
