Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0277,MiMammal,91925,70635,70318,70081,66237,66237,66234
NGN0278,MiMammal,69997,54311,54252,54068,53090,53090,53025
NGN0279,MiMammal,80686,62852,62752,62721,60359,60359,60336
NGN0280,MiMammal,67234,50721,50650,50504,46519,46519,46411
NGN0281,MiMammal,77203,60634,60527,60378,57838,57838,57838
NGN0282,MiMammal,77033,60540,60369,60288,56250,56250,56209
NGN0283,MiMammal,61826,47254,47196,47136,45869,45869,45828
NGN0284,MiMammal,67632,54543,54449,54064,50903,50903,49547
NGN0285,MiMammal,93314,73087,72958,72710,67408,67408,67394
NGN0286,MiMammal,68274,53222,53196,53086,51965,51965,51915
NGN0287,MiMammal,80689,63304,63117,63061,59703,59703,59657
NGN0288,MiMammal,60159,45000,44740,44366,43733,43733,43555
NGN0289,MiMammal,76412,58467,58349,57837,57103,57103,56930
NGN0290,MiMammal,57191,43416,43304,42823,40303,40303,39515
NGN0291,MiMammal,6455,5044,5022,5022,5002,5002,5002
NGN0292,MiMammal,62493,46963,46848,46476,43898,43898,43662
NGN0293,MiMammal,77871,59394,59333,58948,55783,55783,55621
NGN0294,MiMammal,73297,55422,55341,55129,52918,52918,52866
NGN0295,MiMammal,60228,44649,44565,44419,41613,41613,41464
NGN0296,MiMammal,52588,39846,39733,39313,38661,38661,38661
NGN0297,MiMammal,66775,51290,51148,50721,49731,49731,49730
NGN0298,MiMammal,79750,59902,59832,59362,54088,54088,53975
NGN0300,MiMammal,73207,53447,53355,52695,50934,50934,48038
NGN0301,MiMammal,82820,68228,68194,68195,64829,64829,64442
NGN0360,MiMammal,118810,94713,94539,94445,87382,87382,87382
NGN0361,MiMammal,98284,79775,79556,79656,73423,73423,73408
NGN0362,MiMammal,30604,23657,23624,23514,21898,21898,21898
NGN0363,MiMammal,134193,104317,104162,103462,98484,98484,98380
NGN0364,MiMammal,97983,76373,76164,76166,74578,74578,74263
NGN0365,MiMammal,128847,99075,98945,98774,94461,94461,94083
