Sample_name,Locus,Hash,nReads
NGN0277,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,14588
NGN0277,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,1534
NGN0277,MiMammal,f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd,3194
NGN0277,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,464
NGN0277,MiMammal,5dbce0075732b37e517721c275ba3c2e14e50196,3024
NGN0277,MiMammal,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,3608
NGN0277,MiMammal,a56843c86d60d4423f69f4836868d31ea7eadf22,727
NGN0277,MiMammal,cf62a26ab8c1b5312a68133cb90988e0b24ee387,9746
NGN0277,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,1056
NGN0277,MiMammal,358d0def35bc8bcf2711011fb63f7fc511496cc5,1345
NGN0277,MiMammal,deaadc11b0189c975741718d011ab0f6897f6066,3361
NGN0277,MiMammal,b2adee11d0798c70d512e9c4a4ec72cf72fdab7a,74
NGN0277,MiMammal,de153c34b212edc93e83a42901b4b97d6e887c7f,8
NGN0277,MiMammal,3ae1991ffdf36b0474c5c826509d80f84af07ac3,334
NGN0277,MiMammal,1817c9310d0145992696f8490f9c0dea4501cf52,25
NGN0277,MiMammal,406aec86258ef8821827fb46e2447a9aa2885cec,121
NGN0277,MiMammal,dafa5b01399623dcb32603db6d2ca3e1dc84cb65,230
NGN0277,MiMammal,1fadccc74870a97d9f81bc8e1d5605812c9a2b4e,42
NGN0277,MiMammal,70a3e53e3e2c41bc4c57cbd79f14cc0d9c515f5c,168
NGN0277,MiMammal,4a44fff3f00a0adcd644a92cea26b371d028aa13,129
NGN0277,MiMammal,ba53600f3ad463671553c38e8c8ad2ca05187967,119
NGN0277,MiMammal,b8d2da9f5137fbabf1e691e02e2c4c2cc77b021c,111
NGN0277,MiMammal,63283ebd575153d54e2bc0a92a096c3cae26a821,37
NGN0277,MiMammal,95c52d7b4a5f30249153cd1a37ad6de573d501ae,100
NGN0277,MiMammal,a92cec1102aab8fa45e169fa36958017863a70e9,3
NGN0277,MiMammal,5b6caeb888f690d3223af08d03fcc9785def9d0e,71
NGN0277,MiMammal,efcea643b129b2517d794985d068c241ff7534d3,91
NGN0277,MiMammal,3fb271469c16a0263ae285a8bd995cb5cdf82390,13
NGN0277,MiMammal,fd82c6767d2620083b78e6d627d57fec286d9d58,61
NGN0277,MiMammal,8f90335084467c8c8bf662de1e70d054e0439671,58
NGN0277,MiMammal,aef2abd24d6cd9de586b630e2a1d2be2b5884834,54
NGN0277,MiMammal,db0b1239d8634c820470de6616c0c1fa7f5196a2,54
NGN0277,MiMammal,f8055badfceaf433add5f5dc07313c6618a04860,49
NGN0277,MiMammal,20adf47b5449cdcab840ff428ab164780c63e81d,45
NGN0277,MiMammal,68d0a64c4ed698d83790ccbe6f117dea953986cc,41
NGN0277,MiMammal,1a3414e34ab324d9f1abef3c5ccb05815f865e98,39
NGN0277,MiMammal,d2e0b864aebe9ca3d950300787a156132e1d3172,39
NGN0277,MiMammal,30f29b4190d2ed03c1fcd01a3091e3f72ea9c8cd,39
NGN0277,MiMammal,5cc218dc3b99d10509d050e8992cc8b08c4a599e,37
