Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0277,MiMammal,91925,45899,45874,45854,45062,45062,45062
NGN0278,MiMammal,69997,36827,36810,36793,36627,36627,36586
NGN0279,MiMammal,80686,42925,42893,42895,42794,42794,42777
NGN0280,MiMammal,67234,33113,33102,33076,32580,32580,32508
NGN0281,MiMammal,77203,40559,40528,40514,39809,39809,39809
NGN0282,MiMammal,77033,42414,42377,42324,41599,41599,41580
NGN0283,MiMammal,61826,31965,31950,31848,31801,31801,31777
NGN0284,MiMammal,67632,38904,38888,38811,37655,37655,36672
NGN0285,MiMammal,93314,48936,48786,48903,48232,48232,48223
NGN0286,MiMammal,68274,36332,36320,36180,36020,36020,35982
NGN0287,MiMammal,80689,45225,45162,45198,44526,44526,44494
NGN0288,MiMammal,60159,27300,27227,27170,27067,27067,26959
NGN0289,MiMammal,76412,39398,39365,39337,39275,39275,39154
NGN0290,MiMammal,57191,26341,26246,26242,25528,25528,25346
NGN0291,MiMammal,6455,3686,3682,3675,3672,3672,3672
NGN0292,MiMammal,62493,30037,29907,29928,29031,29031,29005
NGN0293,MiMammal,77871,37186,37150,36956,36510,36510,36421
NGN0294,MiMammal,73297,33361,33346,33334,33226,33226,33192
NGN0295,MiMammal,60228,26410,26352,26377,25960,25960,25879
NGN0296,MiMammal,52588,24639,24592,24558,24360,24360,24360
NGN0297,MiMammal,66775,34000,33906,33853,33749,33749,33749
NGN0298,MiMammal,79750,36489,36478,36339,35774,35774,35740
NGN0300,MiMammal,73207,31773,31746,31654,31379,31379,29696
NGN0301,MiMammal,82820,53289,53212,53270,52536,52536,52195
NGN0360,MiMammal,118810,68439,68413,68407,66526,66526,66526
NGN0361,MiMammal,98284,59698,59690,59689,58133,58133,58119
NGN0362,MiMammal,30604,16241,16240,16212,15602,15602,15602
NGN0363,MiMammal,134193,71268,71187,71153,69111,69111,69039
NGN0364,MiMammal,97983,50775,50755,50745,50530,50530,50417
NGN0365,MiMammal,128847,66274,66192,66201,65716,65716,65491
