Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
Ac16S.PadUp11.5.0321,Ac16S,298566,259787,258828,259768,250662,250662,224228
Ac16S.PadUp11.6.0321,Ac16S,281969,240461,240003,240095,234459,234459,172232
Ac16S.PadUp5.4.0321,Ac16S,268494,230582,230248,230376,223989,223989,184696
Ac16S.PadUp5.5.0321,Ac16S,245784,209692,209423,209445,202793,202793,175361
Ac16S.PadUp5.6.0321,Ac16S,269561,235813,235578,235773,232989,232989,231303
Ac16S.PadUp11.1.0421,Ac16S,292198,253778,253578,253748,249672,249672,232033
Ac16S.PadUp11.2.0421,Ac16S,302555,258117,257414,257599,249104,249104,173401
Ac16S.PadUp11.3.0421,Ac16S,287611,243680,243090,243354,237856,237856,185668
Ac16S.PadUp5.1.0421,Ac16S,274366,225278,224987,225019,218712,218712,180297
Ac16S.PadUp5.2.0421,Ac16S,249901,207292,207095,207235,202272,202272,159786
Ac16S.PadUp5.3.0421,Ac16S,27557,22744,22706,22726,22177,22177,18858
Ac16S.ChkDn1.0321,Ac16S,296460,252544,252010,252161,243905,243905,188554
Ac16S.ChkDn2.0321,Ac16S,292840,256049,255937,255970,253817,253817,240012
Ac16S.ChkDn3.0321,Ac16S,339607,293517,293423,292156,289204,289204,289161
Ac16S.ChkUp1.0321,Ac16S,333067,288333,287589,288202,282970,282970,273761
Ac16S.ChkUp2.0321,Ac16S,267688,231442,231144,231438,227504,227504,215830
Ac16S.ChkUp3.0321,Ac16S,278065,241758,241497,241649,237997,237997,237097
