Sample_name,Locus,file1,file2
MiFish.0621.1Prt.Dn.2,MiFish,Locus_MiFish_MiFish-0621-1Prt-Dn-2_S41_L001_R1_001.fastq,Locus_MiFish_MiFish-0621-1Prt-Dn-2_S41_L001_R2_001.fastq
MiFish.0621.1Prt.Up.2,MiFish,Locus_MiFish_MiFish-0621-1Prt-Up-2_S42_L001_R1_001.fastq,Locus_MiFish_MiFish-0621-1Prt-Up-2_S42_L001_R2_001.fastq
MiFish.0621.3Chk.Dn.3,MiFish,Locus_MiFish_MiFish-0621-3Chk-Dn-3_S43_L001_R1_001.fastq,Locus_MiFish_MiFish-0621-3Chk-Dn-3_S43_L001_R2_001.fastq
MiFish.0621.4Pad.Up11.2,MiFish,Locus_MiFish_MiFish-0621-4Pad-Up11-2_S44_L001_R1_001.fastq,Locus_MiFish_MiFish-0621-4Pad-Up11-2_S44_L001_R2_001.fastq
MiFish.0621.5Sqm.Dn.1,MiFish,Locus_MiFish_MiFish-0621-5Sqm-Dn-1_S46_L001_R1_001.fastq,Locus_MiFish_MiFish-0621-5Sqm-Dn-1_S46_L001_R2_001.fastq
MiFish.0621.5Sqm.Up.2,MiFish,Locus_MiFish_MiFish-0621-5Sqm-Up-2_S47_L001_R1_001.fastq,Locus_MiFish_MiFish-0621-5Sqm-Up-2_S47_L001_R2_001.fastq
MiFish.0721.1Prt.Dn.1,MiFish,Locus_MiFish_MiFish-0721-1Prt-Dn-1_S48_L001_R1_001.fastq,Locus_MiFish_MiFish-0721-1Prt-Dn-1_S48_L001_R2_001.fastq
MiFish.0721.1Prt.Up.3,MiFish,Locus_MiFish_MiFish-0721-1Prt-Up-3_S49_L001_R1_001.fastq,Locus_MiFish_MiFish-0721-1Prt-Up-3_S49_L001_R2_001.fastq
MiFish.0721.2Brn.Dn.1,MiFish,Locus_MiFish_MiFish-0721-2Brn-Dn-1_S50_L001_R1_001.fastq,Locus_MiFish_MiFish-0721-2Brn-Dn-1_S50_L001_R2_001.fastq
MiFish.0721.2Brn.Up.3,MiFish,Locus_MiFish_MiFish-0721-2Brn-Up-3_S51_L001_R1_001.fastq,Locus_MiFish_MiFish-0721-2Brn-Up-3_S51_L001_R2_001.fastq
