Sample_name,Locus,file1,file2
MiMammal.0621.2Brn.Dn.3,MiMammal,Locus_MiMammal_MiMammal-0621-2Brn-Dn-3_S1_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-2Brn-Dn-3_S1_L001_R2_001.fastq
MiMammal.0621.2Brn.Up.1,MiMammal,Locus_MiMammal_MiMammal-0621-2Brn-Up-1_S2_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-2Brn-Up-1_S2_L001_R2_001.fastq
MiMammal.0621.3Chk.Dn.2,MiMammal,Locus_MiMammal_MiMammal-0621-3Chk-Dn-2_S3_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-3Chk-Dn-2_S3_L001_R2_001.fastq
MiMammal.0621.4Pad.Dn.1,MiMammal,Locus_MiMammal_MiMammal-0621-4Pad-Dn-1_S4_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-4Pad-Dn-1_S4_L001_R2_001.fastq
MiMammal.0621.4Pad.Dn.3,MiMammal,Locus_MiMammal_MiMammal-0621-4Pad-Dn-3_S5_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-4Pad-Dn-3_S5_L001_R2_001.fastq
MiMammal.0621.4Pad.Up11.1,MiMammal,Locus_MiMammal_MiMammal-0621-4Pad-Up11-1_S6_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-4Pad-Up11-1_S6_L001_R2_001.fastq
MiMammal.0621.4Pad.Up11.2,MiMammal,Locus_MiMammal_MiMammal-0621-4Pad-Up11-2_S7_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-4Pad-Up11-2_S7_L001_R2_001.fastq
MiMammal.0621.4Pad.Up11.3,MiMammal,Locus_MiMammal_MiMammal-0621-4Pad-Up11-3_S8_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-4Pad-Up11-3_S8_L001_R2_001.fastq
MiMammal.0621.5Sqm.Dn.2,MiMammal,Locus_MiMammal_MiMammal-0621-5Sqm-Dn-2_S9_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-5Sqm-Dn-2_S9_L001_R2_001.fastq
MiMammal.0621.5Sqm.Up.1,MiMammal,Locus_MiMammal_MiMammal-0621-5Sqm-Up-1_S10_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-5Sqm-Up-1_S10_L001_R2_001.fastq
MiMammal.0621.5Sqm.Up.3,MiMammal,Locus_MiMammal_MiMammal-0621-5Sqm-Up-3_S11_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0621-5Sqm-Up-3_S11_L001_R2_001.fastq
MiMammal.0721.1Prt.Up.2,MiMammal,Locus_MiMammal_MiMammal-0721-1Prt-Up-2_S12_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-1Prt-Up-2_S12_L001_R2_001.fastq
MiMammal.0721.1Prt.Up.3,MiMammal,Locus_MiMammal_MiMammal-0721-1Prt-Up-3_S13_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-1Prt-Up-3_S13_L001_R2_001.fastq
MiMammal.0721.2Brn.Dn.3,MiMammal,Locus_MiMammal_MiMammal-0721-2Brn-Dn-3_S14_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-2Brn-Dn-3_S14_L001_R2_001.fastq
MiMammal.0721.3Chk.Dn.2,MiMammal,Locus_MiMammal_MiMammal-0721-3Chk-Dn-2_S15_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-3Chk-Dn-2_S15_L001_R2_001.fastq
MiMammal.0721.3Chk.Dn.3,MiMammal,Locus_MiMammal_MiMammal-0721-3Chk-Dn-3_S16_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-3Chk-Dn-3_S16_L001_R2_001.fastq
MiMammal.0721.3Chk.Up.1,MiMammal,Locus_MiMammal_MiMammal-0721-3Chk-Up-1_S17_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-3Chk-Up-1_S17_L001_R2_001.fastq
MiMammal.0721.4Pad.Dn.1,MiMammal,Locus_MiMammal_MiMammal-0721-4Pad-Dn-1_S18_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-4Pad-Dn-1_S18_L001_R2_001.fastq
MiMammal.0721.4Pad.Up11.3,MiMammal,Locus_MiMammal_MiMammal-0721-4Pad-Up11-3_S20_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-4Pad-Up11-3_S20_L001_R2_001.fastq
MiMammal.0721.5Sqm.Dn.2,MiMammal,Locus_MiMammal_MiMammal-0721-5Sqm-Dn-2_S21_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-5Sqm-Dn-2_S21_L001_R2_001.fastq
MiMammal.0721.5Sqm.Up.1,MiMammal,Locus_MiMammal_MiMammal-0721-5Sqm-Up-1_S22_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-5Sqm-Up-1_S22_L001_R2_001.fastq
MiMammal.0721.5Sqm.Up.3,MiMammal,Locus_MiMammal_MiMammal-0721-5Sqm-Up-3_S23_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-5Sqm-Up-3_S23_L001_R2_001.fastq
MiMammal.0721.5Sqm.Up.1.TR2,MiMammal,Locus_MiMammal_MiMammal-0721-5Sqm-Up-1-TR2_S24_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-5Sqm-Up-1-TR2_S24_L001_R2_001.fastq
MiMammal.0721.5Sqm.Up.1.TR3,MiMammal,Locus_MiMammal_MiMammal-0721-5Sqm-Up-1-TR3_S25_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0721-5Sqm-Up-1-TR3_S25_L001_R2_001.fastq
MiMammal.0521.1Prt.Dn.1,MiMammal,Locus_MiMammal_MiMammal-0521-1Prt-Dn-1_S26_L001_R1_001.fastq,Locus_MiMammal_MiMammal-0521-1Prt-Dn-1_S26_L001_R2_001.fastq
