Sample_name,Locus,Hash,nReads
NGN0559,COI,5fb2c5b8a1da76223c3c28c406e65c8483d5fc85,99
NGN0559,COI,e9ae04a410735949efe3ed7149bb088bf3e57e70,91
NGN0559,COI,b4a254d6544f4bb2a1dd4f143fc4e4b213a18917,61
NGN0559,COI,09a13a0b702d3550d7d8100040b3550264d27f64,17
NGN0559,COI,632fc231ae48a82b422d56899551151b21c9dfb1,40
NGN0559,COI,9a1f6d2da9d5a1635e264c93cfc78a58df510547,14
NGN0559,COI,15d6731c795edfd49bec2a98873758cce6fbbc56,122
NGN0559,COI,ef7342bea578dd8a7447b1f4d6e47534a1984f0c,25
NGN0559,COI,b7d1f56aab4e5f7e42595b00729be54224d6e1ab,18
NGN0559,COI,039e0414d886942cb7fc3ae379e6c63cc09c4675,21
NGN0559,COI,2a39476fdaf89807dca76ebba3cb66ac32026783,19
NGN0559,COI,49d935a0e77687b8cd47c8752bac803ea8a3098b,4
NGN0559,COI,b3c2c1112be9184ab5ec63ff47829fc89f3c29a7,12
NGN0559,COI,4a21aa74ed0ea09a4dd54d43fae7a53adaef11fe,9
NGN0559,COI,45f8085af5a237eaeb1e8b68acca24633a76aeeb,13
NGN0559,COI,7f1a2f4786fe312c41ec5afea42c4d9440645cf1,5
NGN0559,COI,d01cc814034edbbbb1df0810523f01f0ff69b996,4
NGN0560,COI,698784c5a3420ce8de01ce964c7f73380d9d3dce,8
NGN0560,COI,fc807d59198735e63f02e89a2daee91b1f97bf87,56
NGN0560,COI,e99a9b974db01d5a6519703fd53ded634eff0144,32
NGN0560,COI,1d83734ad1508a2bc3da6c3e93043f11d6241edd,22
NGN0560,COI,f9d1cbdcbbf9f33de5749e6f8d6d616194ca856a,6
NGN0560,COI,5cd48790d89c200fd38197377fd8b053c8be8217,31
NGN0560,COI,918ed8774668116ff9d3e8c53a6e8edc93796824,20
NGN0560,COI,71c13ba3b4baeb1706c3b5b2797992bc289d03c5,24
NGN0560,COI,ee54f0c8c53de7c34e7271d571d65b8767c76347,31
NGN0560,COI,c3609475b7e596a98dcc926b6a995de60273d8df,33
NGN0560,COI,eb3f71cfeee4891dd901b70ce7921b96cd48e0ab,31
NGN0560,COI,12e6761f1e696b875429319f89068f76773d063c,11
NGN0560,COI,4d08d94e3c7ea82f33d22b03e6006766552f83f1,28
NGN0560,COI,8a5dd1d72d8d07b9d9a0bd3e96be716271c1681b,12
NGN0560,COI,adcfed638955d9216bf94abf780f24ca7afb6efd,14
NGN0560,COI,92a12e355a1bb9870beb55df87cd7bd4d17394ec,13
NGN0560,COI,81c9237fc71d8717c29deb193b1f492a614b0381,3
NGN0560,COI,f8698562f733f50891684b594b9535f8d723dcf1,3
NGN0561,COI,e9ae04a410735949efe3ed7149bb088bf3e57e70,16
NGN0561,COI,b4a254d6544f4bb2a1dd4f143fc4e4b213a18917,14
NGN0561,COI,fc807d59198735e63f02e89a2daee91b1f97bf87,489
NGN0561,COI,e99a9b974db01d5a6519703fd53ded634eff0144,70
NGN0561,COI,e8da07052900d1394cee992be34f83aa07639f8f,77
NGN0561,COI,1d83734ad1508a2bc3da6c3e93043f11d6241edd,58
NGN0561,COI,598de9eb0a98a2566ec11ca998c4b0bad19947da,112
NGN0561,COI,3d8e693ad35e0c28cdcae210a574902b6072f045,97
NGN0561,COI,5cd48790d89c200fd38197377fd8b053c8be8217,25
NGN0561,COI,8933e3a2611c163e6e3ad0741b50b70af997efac,116
NGN0561,COI,918ed8774668116ff9d3e8c53a6e8edc93796824,75
NGN0561,COI,71c13ba3b4baeb1706c3b5b2797992bc289d03c5,27
NGN0561,COI,ee54f0c8c53de7c34e7271d571d65b8767c76347,43
NGN0561,COI,7ef607d3e977cb759a83547f6a2b28aab2af01e7,25
NGN0561,COI,1bfb270ce1678a0a4cafb13f453652ef2433add2,60
NGN0561,COI,6a45cf5ff9c982afbbbb600c928ad4b296a91824,53
NGN0561,COI,f8a1e801e6a6e595786afb18115eb2513127bd35,43
NGN0561,COI,aca07a8b049f115ffd789ef5ce15521df4dc1a77,24
NGN0561,COI,8a5dd1d72d8d07b9d9a0bd3e96be716271c1681b,13
NGN0561,COI,5cfeebe712c753daec0080149f1aff85e01d4ad2,23
NGN0561,COI,c95ce7d562f4733c768f576237d3f840db4fa019,16
NGN0561,COI,0c25af1b16a7e3736c057f9c3ab29324fbdbad71,13
NGN0561,COI,596f34db788f71ff24242487a2028936ed4bf1cb,13
NGN0561,COI,f42ce56dc5c1170a7ce74df2d8faa90e5dd06b8f,5
NGN0561,COI,b32f700b23ceb2fdc0523e1ebf1cc25863fc8ad2,9
NGN0561,COI,61127a32363924d08a2e98db096f2a9de56ca04e,9
NGN0561,COI,e2a026fd0330f15e90abd4add57380deacae57dc,9
NGN0561,COI,fcc43b7ea0af94f979f7bebfbf908f94d6d484f2,6
NGN0561,COI,aeb6c5fa0cca44e777325f1b4754806a00d049d8,8
NGN0561,COI,b9d3edeb076cd33650d1e0047338659e4d88981a,8
NGN0561,COI,4603836ea7106e7eb0e458dcef41d3313adeec65,8
NGN0561,COI,e04355bd088d062f8577c5e852d0411305401339,6
NGN0561,COI,ed877a0f5a59af32ddfe4a939956ecba05ace81f,6
