Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0559,COI,13359,2073,1267,973,574,574,574
NGN0560,COI,13589,2278,1381,931,379,379,378
NGN0561,COI,25735,4130,2947,2331,1587,1587,1587
NGN0562,COI,16463,3189,1989,1798,855,855,855
NGN0563,COI,14091,1352,957,795,396,396,393
NGN0564,COI,14339,2818,2050,1766,485,485,485
NGN0565,COI,24438,4213,3230,2724,859,859,859
NGN0566,COI,51105,9941,8620,7795,6118,6118,6110
NGN0567,COI,15365,3397,2826,2611,2191,2191,2191
NGN0568,COI,16340,1933,1136,754,480,480,460
NGN0569,COI,30128,3022,1975,1376,856,856,856
NGN0570,COI,26686,5129,3541,2708,1581,1581,1536
NGN0571,COI,9046,1345,1030,943,849,849,849
NGN0572,COI,15291,2973,2002,1674,1119,1119,1119
NGN0573,COI,13772,2947,2042,1592,1073,1073,1073
NGN0574,COI,15660,1959,1228,962,703,703,703
NGN0575,COI,17323,3275,2155,1772,1252,1252,1251
NGN0576,COI,14770,2391,1952,1791,1598,1598,1598
NGN0577,COI,13536,1669,867,447,258,258,258
NGN0578,COI,28871,4137,3408,3092,1078,1078,1053
NGN0579,COI,15689,2347,1954,1771,777,777,777
NGN0580,COI,19536,2714,1907,1488,805,805,805
NGN0581,COI,14087,2070,1367,924,533,533,533
NGN0582,COI,15286,3282,2901,2759,2634,2634,2626
NGN0583,COI,13112,2724,2369,2293,2149,2149,2143
NGN0584,COI,17301,3976,3079,2691,2027,2027,2027
NGN0586,COI,13209,2066,1917,1871,518,518,518
NGN0587,COI,14888,2964,2778,2689,1472,1472,1472
NGN0588,COI,16443,1998,1180,1019,605,605,605
NGN0589,COI,21830,4415,3011,2472,1363,1363,1361
NGN0591,COI,16170,3084,2152,1721,807,807,807
NGN0592,COI,7869,894,492,192,172,172,172
NGN0593,COI,16268,1915,1370,861,588,588,588
NGN0594,COI,19310,4172,2947,2594,1283,1283,1283
NGN0595,COI,15022,1719,1148,973,408,408,408
NGN0596,COI,19961,3525,2959,2653,2171,2171,2169
NGN0597,COI,16493,2904,2419,2206,1682,1682,1682
NGN0598,COI,14563,2243,1831,1675,1356,1356,1356
NGN0599,COI,16867,968,968,963,963,963,963
