Sample_name,Locus,Hash,nReads
NGN0496,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,939
NGN0496,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,1329
NGN0496,MiMammal,580a64b0134da56e49bf06482ed6ee164d8a6ec5,348
NGN0496,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,200
NGN0496,MiMammal,e3bb86462242cc75b2d9159e96f588a2ca09a5d3,1072
NGN0496,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,879
NGN0496,MiMammal,2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f,1729
NGN0496,MiMammal,3fa5cad0e8bd81303eed0492a7c0dd91d85747be,623
NGN0496,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,75
NGN0496,MiMammal,0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25,54
NGN0496,MiMammal,de153c34b212edc93e83a42901b4b97d6e887c7f,78
NGN0496,MiMammal,034ad32380b4ad5e301963d8e7bacf3b6008d0aa,48
NGN0496,MiMammal,2531183f8bc7817d92bb4735504497896cd9e57f,42
NGN0496,MiMammal,902594b48801052dac48e08782d3b5b8e7f0e05e,32
NGN0496,MiMammal,557dc8b2527116fbc3be3d770b29984161dd643c,21
NGN0496,MiMammal,d0d8c51b9f791b998a12a3706cf09d4118b9d23c,10
NGN0497,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,688
NGN0497,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,1583
NGN0497,MiMammal,580a64b0134da56e49bf06482ed6ee164d8a6ec5,214
NGN0497,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,422
NGN0497,MiMammal,e3bb86462242cc75b2d9159e96f588a2ca09a5d3,675
NGN0497,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,435
NGN0497,MiMammal,2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f,822
NGN0497,MiMammal,5dbce0075732b37e517721c275ba3c2e14e50196,577
NGN0497,MiMammal,f3b74c85c0bdd0beba57a87b50994f3a01ddd199,286
NGN0497,MiMammal,1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16,152
NGN0497,MiMammal,da56b1b8cf1fb161ba73132aac5b3db82eed53bd,156
NGN0497,MiMammal,de99103917cdf896c2129bcee3ed6d3f61b0fa94,41
NGN0497,MiMammal,db1a2e2ca576b6981fc0248d31a706e411de658a,47
NGN0497,MiMammal,d9b873733030cf712ad5cf86c255ab0f7495e3f1,3
NGN0498,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,1812
NGN0498,MiMammal,c161735732d10ef81323d9b5812491897d2eb5ab,436
NGN0498,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,291
NGN0498,MiMammal,e3bb86462242cc75b2d9159e96f588a2ca09a5d3,1211
NGN0498,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,560
NGN0498,MiMammal,2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f,749
NGN0498,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,186
NGN0498,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,823
NGN0498,MiMammal,3f708d787180e545865dbec57d80c1679ec0e6ca,84
NGN0498,MiMammal,6aefe88b7cba067dda1a506701f2e2a0608c5095,63
NGN0498,MiMammal,bc44870e2d0fb1c4f323bbdc2950eaeba2533d60,42
NGN0498,MiMammal,450361b8853a02548d0f12fa930d84ed6b223f75,28
NGN0498,MiMammal,d7338b1863832afdc5df38c25edee83538b7a2a5,28
NGN0498,MiMammal,d2edb3d4967962518ed7050d71213248a0e5e7b8,24
NGN0498,MiMammal,d9ae9c3a6e4593e9e9fd7d11350c260a6fa859fc,23
NGN0498,MiMammal,7e00180f321d3cc90a4c5a9f09c0aabdc0feb3af,16
NGN0498,MiMammal,6c8e6db78cd12731ffd8f00e491c2240501c388f,15
NGN0498,MiMammal,3218ff2c022fa2563868a65f6451959013aeba92,8
NGN0499,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,2196
NGN0499,MiMammal,f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd,110
NGN0499,MiMammal,580a64b0134da56e49bf06482ed6ee164d8a6ec5,720
NGN0499,MiMammal,76918abfaa90d218d683fdbc4f8024dd430d7d91,1706
NGN0499,MiMammal,a48239a814ca2f97d04e6d8f3da83a28fb959072,25
NGN0500,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,3899
NGN0500,MiMammal,580a64b0134da56e49bf06482ed6ee164d8a6ec5,817
NGN0500,MiMammal,c4d0096190dc53bb98f355db24050078ec972c4e,136
NGN0500,MiMammal,2b20ae06e9f8098abfe97ee2e6f69384eb284363,114
NGN0500,MiMammal,c77be242697ac78451d71722d65c9e6aeabd60de,134
NGN0500,MiMammal,f74cf42a45c5bf302e7b2233452e0cca0a14cbba,126
NGN0500,MiMammal,0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25,27
NGN0500,MiMammal,98e1795cc773f6f91fbd1f095ac10029facc37d0,106
NGN0500,MiMammal,8399a44ac9eddd3a5e70f87c08014d7e00b2f02a,103
NGN0500,MiMammal,9abc47c7765bafe86fa0b8c0c4be7ab58dfa8061,95
NGN0500,MiMammal,62267015403ac12fbbb8ddffdbd68235216afe9e,78
NGN0500,MiMammal,28ef1d29869af79238afa22ec2c96a23a12564a6,86
NGN0500,MiMammal,088559ed4a2b36b1663158d373a963950a452685,47
NGN0500,MiMammal,78398923c6c69e284597e3ceadb582b981ec0b7f,45
NGN0500,MiMammal,87b27e7286ac87b2369215a69af854d1aaa36407,30
NGN0500,MiMammal,319199a59bd238b27cc8cd21c11d24f242baf997,27
NGN0500,MiMammal,fa47f745e81b72abacd1fe6042a5187396c55616,26
NGN0500,MiMammal,034f1f4036528fdcf0a844ef062241ae38d7ea91,22
NGN0500,MiMammal,47de8fe84eecdc44120ddaa7b906638d1a2d67c6,17
NGN0500,MiMammal,371bb788f39032efb01ab1f76b1575fad5c2645b,12
NGN0500,MiMammal,c69d4b6e00748ca8f70e3d68ee8ae36f3e6250bf,9
NGN0500,MiMammal,56be5c527d6f465bc7ccd308c1f379bf34c04a9e,6
NGN0501,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,4024
NGN0501,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,45
NGN0501,MiMammal,580a64b0134da56e49bf06482ed6ee164d8a6ec5,800
NGN0501,MiMammal,a56843c86d60d4423f69f4836868d31ea7eadf22,136
NGN0501,MiMammal,298dae79d14c3c665b4a97bad3ba5129f4d3edf1,54
NGN0501,MiMammal,96751cd5f71d830f39666f62d6de08e350b14ec5,32
NGN0501,MiMammal,2b1f8198b10577e3ac29ac4f21c2673dbb32d28e,5
NGN0502,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,5452
NGN0502,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,83
NGN0502,MiMammal,580a64b0134da56e49bf06482ed6ee164d8a6ec5,930
NGN0502,MiMammal,f3b74c85c0bdd0beba57a87b50994f3a01ddd199,62
NGN0502,MiMammal,af28e10e5abee11c7cf2cbc4d17f1701e0308883,58
NGN0502,MiMammal,86192beffdb20507fc83226d579f8a2f2676bb48,55
NGN0502,MiMammal,5d6a5f2116231e5e92600d866977dda093cd30bc,95
NGN0502,MiMammal,02442fdb4ad48b35d5d65b21ad0683b1f3cfba0a,16
NGN0502,MiMammal,a786ab2b4d6cd6be5394f1351bea438a7d35726e,16
NGN0502,MiMammal,da9e0e932325b5ff43d40e8db4fe0463b692a42e,13
NGN0502,MiMammal,d1dbb68f9ff3177058078a66f5b020020de32cd2,9
NGN0502,MiMammal,ed6e1448c045fb5baaa6842d6fa9fbe45fe3925a,4
NGN0503,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,7043
NGN0503,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,278
NGN0503,MiMammal,580a64b0134da56e49bf06482ed6ee164d8a6ec5,289
NGN0503,MiMammal,acb132e82e2ef43f8eac6c7e5dd85c551168b718,1255
NGN0503,MiMammal,de153c34b212edc93e83a42901b4b97d6e887c7f,4
NGN0503,MiMammal,86192beffdb20507fc83226d579f8a2f2676bb48,50
NGN0503,MiMammal,6c10b5899bba357b017747ab42656440e6bd11e6,60
NGN0503,MiMammal,501dd410cd3af49a07de42b5469c2ed3e9e8df39,7
NGN0503,MiMammal,f3ec2356fc7a1bf0866b67f8eedfb89e8242bcc2,5
NGN0504,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,1794
NGN0504,MiMammal,f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd,11901
NGN0504,MiMammal,3fa5cad0e8bd81303eed0492a7c0dd91d85747be,51
NGN0504,MiMammal,de50006c0606a56568f714e8edd3a9d7dbaafd05,17
NGN0504,MiMammal,02aaf3cd3aed8108f916d40649a12271d7c0dde0,16
NGN0504,MiMammal,eccfd48eb4674a8cfcb69e95f0a2b4abc5a80ea8,12
NGN0505,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,35
NGN0505,MiMammal,f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd,6176
NGN0506,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,4234
NGN0506,MiMammal,5c024b1d5c5f25af45599d69bd92b8837b2ba62f,2280
NGN0506,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,876
NGN0506,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1068
NGN0506,MiMammal,63a7d0273f9bdd41fc062c411d5c529730a67ff1,81
NGN0506,MiMammal,c6d586dc78d8ef5cac238cba2d5714407775bd69,3049
NGN0506,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,2795
NGN0506,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,523
NGN0506,MiMammal,06a946d5a422494c1c67a9c47b31dc42cb821da2,132
NGN0506,MiMammal,d15e926efd8720231adb32a8b4e6e40608827676,302
NGN0506,MiMammal,1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16,109
NGN0506,MiMammal,5760723c6e28c8e3422ee285d0f778f5923b74fb,92
NGN0506,MiMammal,de153c34b212edc93e83a42901b4b97d6e887c7f,23
NGN0506,MiMammal,629aa86f569921707980e85a596cb12105791f75,18
NGN0506,MiMammal,cb0cf229832374ff8f4ce89c20348a90da9c04e1,59
NGN0506,MiMammal,2435eb1079be3ac735d5301e934ec881cf409ceb,34
NGN0506,MiMammal,cd96104d5817e1d988581df7bd3e69e90fdb9b7a,38
NGN0506,MiMammal,1446ec7d3c01ace8d9bb2ba09f3b06aabeb42795,11
NGN0506,MiMammal,4469963007906f1a3b3b48fc9a9583f392160985,11
NGN0506,MiMammal,e037a4f4bf14f4dac3dbb4f9fc50c1c6b2d46195,6
NGN0506,MiMammal,438c6462968cec9141b9624af425076c0df41022,6
NGN0506,MiMammal,4e4983fbb85e3b81cb97f608ff64451ca59290ae,5
NGN0507,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,2728
NGN0507,MiMammal,5c024b1d5c5f25af45599d69bd92b8837b2ba62f,533
NGN0507,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,351
NGN0507,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,335
NGN0507,MiMammal,c6d586dc78d8ef5cac238cba2d5714407775bd69,944
NGN0507,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,752
NGN0507,MiMammal,a56843c86d60d4423f69f4836868d31ea7eadf22,36
NGN0507,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,135
NGN0507,MiMammal,06a946d5a422494c1c67a9c47b31dc42cb821da2,101
NGN0507,MiMammal,d15e926efd8720231adb32a8b4e6e40608827676,82
NGN0507,MiMammal,5760723c6e28c8e3422ee285d0f778f5923b74fb,99
NGN0507,MiMammal,cb0cf229832374ff8f4ce89c20348a90da9c04e1,14
NGN0507,MiMammal,3d6805a33d82861249370295909b75949fd6d3f9,45
NGN0507,MiMammal,e747eef0a339a503193d10c42b71ef028bca3fc0,32
NGN0507,MiMammal,f0536f4e4bb4d7f10d36b30b5181c21e468e9c7d,21
NGN0507,MiMammal,5433f97dacc41c9aa19cc32f05d56ea55e977527,12
NGN0508,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,1917
NGN0508,MiMammal,580a64b0134da56e49bf06482ed6ee164d8a6ec5,329
NGN0508,MiMammal,c161735732d10ef81323d9b5812491897d2eb5ab,1580
NGN0508,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,729
NGN0508,MiMammal,e3bb86462242cc75b2d9159e96f588a2ca09a5d3,1966
NGN0508,MiMammal,63a7d0273f9bdd41fc062c411d5c529730a67ff1,683
NGN0508,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,90
NGN0508,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,283
NGN0508,MiMammal,bb87f4d05cc6774f5a47305343551793e64ea656,389
