Sample_name,Locus,Hash,nReads
NGN0600,Ac16S,d238d6fffab502c39dcc81b9144f183b6029f26b,2061
NGN0600,Ac16S,9794a0d15bfdf9d002e1564c85eb0fbf612049ed,12923
NGN0600,Ac16S,3cdb756a4829bf3d077ec0af970d9f46af6963b8,1203
NGN0600,Ac16S,c3dbdf346cff3c1adad46ee0962d54e90cfd75fa,10834
NGN0600,Ac16S,daef6d2f7188a7be298938d3ff50ef6f7d31df43,9652
NGN0600,Ac16S,538afe58ff9215120fb2a08e109127c6f2562e4e,3756
NGN0600,Ac16S,bf42a5bb1ec15e8fe11e20b2b71bddfe749af866,1881
NGN0600,Ac16S,4450e479e7a3b55ed4ff30101b2aa81cf02916b4,744
NGN0600,Ac16S,7532fa7463fea3a15b14683c88823277f11e3d59,58
NGN0600,Ac16S,eab85944775276b4a1cf1d7a10bd43d2ecfb12ef,360
NGN0600,Ac16S,55a584c67b4936371ad9be5f87b710414e20d453,368
NGN0600,Ac16S,cbc613b47c0deff3f58dd291848ef2f85a382a66,42
NGN0600,Ac16S,e78cacb282d1da13dab5b7615ffbb32b29e07c4f,163
NGN0600,Ac16S,5fc1fbd87aa8f05381a888df4d3b5be4a13fe43a,1128
NGN0600,Ac16S,9ebdcafe0e7a5b57776319a772d87124f91655b1,302
NGN0600,Ac16S,18c826654ec1d76cc856b35ce4e75549def1818f,288
NGN0600,Ac16S,ed94784a83f69775f3d10d63c9511fab27c74ad9,205
NGN0600,Ac16S,e4c7e61e36f5cde5de9e498fe68a3fc5d2f10b6b,394
NGN0600,Ac16S,77af390c3fa10fa3285968de5f3de5826447b295,179
NGN0600,Ac16S,3a5fbebd8bb0c1917481aabf20a02bb61bb725d9,158
NGN0600,Ac16S,096429040520e63d1c996bd37f89ae0317badcbc,158
NGN0600,Ac16S,02a3d2707251b1808d4dd42b24a6987dc0eab9c0,148
NGN0600,Ac16S,2ed0ba7e8c47a5324260b62448c020bef34b4ec4,108
NGN0600,Ac16S,dea37ff80dabd32abb1cd5b2e4fadfcd4cfb83b7,105
NGN0601,Ac16S,d238d6fffab502c39dcc81b9144f183b6029f26b,30922
NGN0601,Ac16S,3cdb756a4829bf3d077ec0af970d9f46af6963b8,17643
NGN0601,Ac16S,c3dbdf346cff3c1adad46ee0962d54e90cfd75fa,1237
NGN0601,Ac16S,bf42a5bb1ec15e8fe11e20b2b71bddfe749af866,900
NGN0601,Ac16S,4450e479e7a3b55ed4ff30101b2aa81cf02916b4,923
NGN0601,Ac16S,7532fa7463fea3a15b14683c88823277f11e3d59,975
NGN0601,Ac16S,cbc613b47c0deff3f58dd291848ef2f85a382a66,525
NGN0601,Ac16S,e78cacb282d1da13dab5b7615ffbb32b29e07c4f,614
NGN0601,Ac16S,ecf469d00fac1052d28f063710713c13bf303fdd,118
NGN0601,Ac16S,8a0ca07c74912da614fd5078c946dd1ba58ac338,1029
NGN0601,Ac16S,326a6f7516e2d30e49d1b8d7d7fc6825b7d5ab67,167
NGN0601,Ac16S,fc86ef5bf92be7229560badeea52216f16632c6e,608
NGN0601,Ac16S,13fc684c79cebba17d1b779c7acf1ae6c405e319,315
NGN0601,Ac16S,223ddbcb7d0e505ca7294e2b920745db2394bc75,240
NGN0601,Ac16S,06970dbc38445cba5feb5d5dfa4812734b964dd8,210
NGN0602,Ac16S,d238d6fffab502c39dcc81b9144f183b6029f26b,67803
NGN0602,Ac16S,3cdb756a4829bf3d077ec0af970d9f46af6963b8,1596
NGN0602,Ac16S,7532fa7463fea3a15b14683c88823277f11e3d59,2064
NGN0602,Ac16S,cbc613b47c0deff3f58dd291848ef2f85a382a66,48
NGN0602,Ac16S,cebdd744614a01da9815f040d45e58d53064feb3,344
NGN0602,Ac16S,8fe809ad362709df5e8ae3555ce187f1a44880f4,275
NGN0602,Ac16S,d174e024318b55ca44f22b4992ac7298577f8a9d,263
NGN0602,Ac16S,fcdd1c264f6d164cee2c09ad22dac7038ae9f50c,255
NGN0602,Ac16S,1a81693c2794c3dbc835617159ac9992e38b7729,195
NGN0602,Ac16S,2231e58ec880e5a1b294cbb59a765fd78ed09196,163
NGN0602,Ac16S,eff622610c91df38e72a79c82775941860bb29d2,107
NGN0603,Ac16S,d238d6fffab502c39dcc81b9144f183b6029f26b,8844
NGN0603,Ac16S,3cdb756a4829bf3d077ec0af970d9f46af6963b8,50314
NGN0603,Ac16S,c3dbdf346cff3c1adad46ee0962d54e90cfd75fa,398
NGN0603,Ac16S,bf42a5bb1ec15e8fe11e20b2b71bddfe749af866,346
NGN0603,Ac16S,4450e479e7a3b55ed4ff30101b2aa81cf02916b4,1472
NGN0603,Ac16S,7532fa7463fea3a15b14683c88823277f11e3d59,279
NGN0603,Ac16S,cbc613b47c0deff3f58dd291848ef2f85a382a66,1486
NGN0603,Ac16S,e78cacb282d1da13dab5b7615ffbb32b29e07c4f,643
NGN0603,Ac16S,bba443dacc4e0ae20254cdd4acffb726ecb6dd84,1179
NGN0603,Ac16S,b48faa17eecc148f3d92eac47251f88bfe7f5804,1179
NGN0603,Ac16S,ce3f8d18ca51d269fa7bc85fb67d7390f9c80ae0,942
NGN0603,Ac16S,326a6f7516e2d30e49d1b8d7d7fc6825b7d5ab67,700
NGN0603,Ac16S,8b8395144b7aff167ef61f01f632a41f7824e029,510
NGN0603,Ac16S,d2f74ff65dae4e68436fc09d35c8a3128386e501,467
NGN0603,Ac16S,35db48eec310c38efa37174d14444237eba865b7,293
NGN0603,Ac16S,04835071750b4be0c50b378e51be103ccc2061b5,102
NGN0604,Ac16S,d238d6fffab502c39dcc81b9144f183b6029f26b,23039
NGN0604,Ac16S,3cdb756a4829bf3d077ec0af970d9f46af6963b8,23178
NGN0604,Ac16S,c3dbdf346cff3c1adad46ee0962d54e90cfd75fa,1292
NGN0604,Ac16S,bf42a5bb1ec15e8fe11e20b2b71bddfe749af866,895
NGN0604,Ac16S,4450e479e7a3b55ed4ff30101b2aa81cf02916b4,1082
NGN0604,Ac16S,7532fa7463fea3a15b14683c88823277f11e3d59,745
NGN0604,Ac16S,cbc613b47c0deff3f58dd291848ef2f85a382a66,711
NGN0604,Ac16S,e78cacb282d1da13dab5b7615ffbb32b29e07c4f,676
NGN0604,Ac16S,8a0ca07c74912da614fd5078c946dd1ba58ac338,339
NGN0604,Ac16S,0340f74702d0acb3d9a9dc7420e835d7458a293d,833
NGN0604,Ac16S,c172edb593d7290bed66203b389d79285aa79ff8,315
NGN0604,Ac16S,e7b3123304f5fd2c2037108c391dcc6110d738fd,279
NGN0604,Ac16S,075b1d350fefdb5671e045da5efe0b11708af9b3,233
NGN0604,Ac16S,71e86bd22e041432ca2a1a6747832c9f9bbf519f,112
NGN0604,Ac16S,58cffbc777518a18d6ee33d98e460b8d4b993029,99
NGN0605,Ac16S,d238d6fffab502c39dcc81b9144f183b6029f26b,48436
